"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/2''-14 ";"1/8''-28 ";"26,0 ";"20,0 ";"11,0 ";"8,5 ";"22 ";"A ";"1050517-08-02 ";"12,05 ";"";"1897 "
"400 ";"1/2''-14 ";"1/4''-19 ";"27,0 ";"20,0 ";"17,0 ";"13,0 ";"24 ";"A ";"1050517-08-04 ";"12,05 ";"";"1898 "
"400 ";"3/4''-14 ";"3/8''-19 ";"28,0 ";"20,0 ";"17,0 ";"15,0 ";"27 ";"A ";"1050517-12-06 ";"22,1 ";"";"1899 "
"400 ";"1''-11,5 ";"1/2''-14 ";"34,0 ";"25,0 ";"20,0 ";"19,0 ";"36 ";"A ";"1050517-16-08 ";"23,6 ";"";"1900 "
"200 ";"1 1/4''-11,5 ";"3/4''-14 ";"40,0 ";"25,5 ";"22,5 ";"24,2 ";"46 ";"A ";"1050517-20-12 ";"38 ";"";"1901 "
"200 ";"1 1/4''-11,5 ";"1''-11 ";"40,0 ";"25,5 ";"25,0 ";"30,6 ";"46 ";"A ";"1050517-20-16 ";"38 ";"";"1902 "
"200 ";"1 1/2''-11,5 ";"1''-11 ";"40,0 ";"26,0 ";"25,0 ";"30,6 ";"55 ";"A ";"1050517-24-16 ";"53,5 ";"";"1903 "
