"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/4'' NPT ";"23,5 ";"30,5 ";"16,4 ";"19 ";"MV-L-06-NPT-1/4''-OMD ";"12,08 ";"L ";"6284 "
"315 ";"6 ";"1/2'' NPT ";"31,0 ";"38,0 ";"22,6 ";"27 ";"MV-L-06-NPT-1/2''-OMD ";"18,14 ";"L ";"6285 "
"315 ";"8 ";"1/4'' NPT ";"23,5 ";"30,5 ";"16,4 ";"19 ";"MV-L-08-NPT-1/4''-OMD ";"12,1 ";"L ";"6286 "
"315 ";"8 ";"1/2'' NPT ";"31,0 ";"38,0 ";"22,6 ";"27 ";"MV-L-08-NPT-1/2''-OMD ";"18,75 ";"L ";"6287 "
"315 ";"10 ";"1/4'' NPT ";"24,0 ";"31,0 ";"16,4 ";"19 ";"MV-L-10-NPT-1/4''-OMD ";"12,57 ";"L ";"6288 "
"315 ";"10 ";"1/2'' NPT ";"32,0 ";"39,0 ";"22,6 ";"27 ";"MV-L-10-NPT-1/2''-OMD ";"18,75 ";"L ";"6289 "
"315 ";"12 ";"1/4'' NPT ";"24,0 ";"31,0 ";"16,4 ";"19 ";"MV-L-12-NPT-1/4''-OMD ";"12,93 ";"L ";"6290 "
"315 ";"12 ";"1/2'' NPT ";"32,0 ";"39,0 ";"22,6 ";"27 ";"MV-L-12-NPT-1/2''-OMD ";"19,12 ";"L ";"6291 "
"630 ";"6 ";"1/2'' NPT ";"33,0 ";"40,0 ";"22,6 ";"27 ";"MV-S-06-NPT-1/2''-OMD ";"17,66 ";"S ";"6292 "
"630 ";"8 ";"1/2'' NPT ";"33,0 ";"40,0 ";"22,6 ";"27 ";"MV-S-08-NPT-1/2''-OMD ";"18,35 ";"S ";"6293 "
"630 ";"10 ";"1/2'' NPT ";"32,5 ";"40,0 ";"22,6 ";"27 ";"MV-S-10-NPT-1/2''-OMD ";"18,17 ";"S ";"6294 "
"630 ";"12 ";"1/2'' NPT ";"32,5 ";"40,0 ";"22,6 ";"27 ";"MV-S-12-NPT-1/2''-OMD ";"18,56 ";"S ";"6295 "
