"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"6 ";"M 12 x 1,5 ";"13,0 ";"32,0 ";"12 ";"17 ";"GE-S-06-M 12x1,5-wd-OMD ";"8,94 ";"S ";"4331 "
"800 ";"6 ";"M 14 x 1,5 ";"13,0 ";"32,0 ";"12 ";"19 ";"GE-S-06-M 14x1,5-wd-OMD ";"12,55 ";"S ";"4332 "
"800 ";"8 ";"M 12 x 1,5 ";"15,0 ";"34,0 ";"12 ";"17 ";"GE-S-08-M 12x1,5-wd-OMD ";"16,5 ";"S ";"4333 "
"800 ";"8 ";"M 14 x 1,5 ";"15,0 ";"34,0 ";"12 ";"19 ";"GE-S-08-M 14x1,5-wd-OMD ";"10,07 ";"S ";"4334 "
"800 ";"8 ";"M 16 x 1,5 ";"15,5 ";"34,5 ";"12 ";"22 ";"GE-S-08-M 16x1,5-wd-OMD ";"12,75 ";"S ";"4335 "
"800 ";"10 ";"M 14 x 1,5 ";"14,5 ";"34,0 ";"12 ";"19 ";"GE-S-10-M 14x1,5-wd-OMD ";"15,9 ";"S ";"4336 "
"800 ";"10 ";"M 16 x 1,5 ";"15,0 ";"34,5 ";"12 ";"22 ";"GE-S-10-M 16x1,5-wd-OMD ";"10,45 ";"S ";"4337 "
"630 ";"10 ";"M 18 x 1,5 ";"15,0 ";"34,5 ";"12 ";"24 ";"GE-S-10-M 18x1,5-wd-OMD ";"14,56 ";"S ";"4338 "
"800 ";"12 ";"M 12 x 1,5 ";"14,5 ";"36,0 ";"14 ";"22 ";"GE-S-12-M 12x1,5-wd-OMD ";"18,9 ";"S ";"12193 "
"630 ";"12 ";"M 14 x 1,5 ";"16,0 ";"35,5 ";"12 ";"22 ";"GE-S-12-M 14x1,5-wd-OMD ";"12,5 ";"S ";"4339 "
"630 ";"12 ";"M 16 x 1,5 ";"17,0 ";"36,5 ";"12 ";"22 ";"GE-S-12-M 16x1,5-wd-OMD ";"12,95 ";"S ";"4340 "
"630 ";"12 ";"M 18 x 1,5 ";"17,0 ";"36,5 ";"12 ";"24 ";"GE-S-12-M 18x1,5-wd-OMD ";"10,71 ";"S ";"4341 "
"630 ";"12 ";"M 20 x 1,5 ";"17,5 ";"39,0 ";"14 ";"27 ";"GE-S-12-M 20x1,5-wd-OMD ";"19 ";"S ";"4342 "
"630 ";"12 ";"M 22 x 1,5 ";"17,5 ";"39,0 ";"14 ";"27 ";"GE-S-12-M 22x1,5-wd-OMD ";"13,55 ";"S ";"4343 "
"630 ";"14 ";"M 20 x 1,5 ";"19,0 ";"41,0 ";"14 ";"27 ";"GE-S-14-M 20x1,5-wd-OMD ";"13,24 ";"S ";"4344 "
"630 ";"14 ";"M 22 x 1,5 ";"18,5 ";"41,0 ";"14 ";"27 ";"GE-S-14-M 22x1,5-wd-OMD ";"23,4 ";"S ";"4345 "
"630 ";"16 ";"M 18 x 1,5 ";"18,0 ";"38,5 ";"12 ";"27 ";"GE-S-16-M 18x1,5-wd-OMD ";"16,89 ";"S ";"4346 "
"630 ";"16 ";"M 22 x 1,5 ";"18,5 ";"41,0 ";"14 ";"27 ";"GE-S-16-M 22x1,5-wd-OMD ";"14,8 ";"S ";"4347 "
"420 ";"20 ";"M 27 x 2 ";"20,5 ";"47,0 ";"16 ";"32 ";"GE-S-20-M 27x2-wd-OMD ";"21,99 ";"S ";"4348 "
"420 ";"25 ";"M 33 x 2 ";"23,0 ";"53,0 ";"18 ";"41 ";"GE-S-25-M 33x2-wd-OMD ";"33,02 ";"S ";"4349 "
"420 ";"30 ";"M 42 x 2 ";"23,5 ";"57,0 ";"20 ";"50 ";"GE-S-30-M 42x2-wd-OMD ";"38,17 ";"S ";"4350 "
"420 ";"38 ";"M 48 x 2 ";"26,0 ";"64,0 ";"22 ";"55 ";"GE-S-38-M 48x2-wd-OMD ";"45,83 ";"S ";"4351 "
