"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G = UNF/UN";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"22,5 ";"16,7 ";"4,0 ";"17 ";"12 ";"1252514-04-04 ";"23,5 ";"";"2299 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"24,0 ";"17,5 ";"5,5 ";"17 ";"14 ";"1252514-05-05 ";"21,4 ";"";"2300 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"27,0 ";"22,5 ";"7,5 ";"19 ";"14 ";"1252514-06-06 ";"26,8 ";"";"2301 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"32,0 ";"24,5 ";"10,0 ";"24 ";"22 ";"1252514-08-08 ";"32,7 ";"";"2302 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"37,5 ";"29,5 ";"12,0 ";"27 ";"24 ";"1252514-10-10 ";"35,35 ";"";"2303 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"42,0 ";"31,0 ";"15,5 ";"32 ";"24 ";"1252514-12-12 ";"41,75 ";"";"2304 "
"250 ";"25 ";"1'' ";"1 5/16''-12 ";"46,0 ";"35,7 ";"21,5 ";"41 ";"36 ";"1252514-16-16 ";"63,55 ";"";"2305 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"52,5 ";"42,8 ";"27,5 ";"50 ";"41 ";"1252514-20-20 ";"90,75 ";"";"2306 "
"140 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"59,0 ";"47,2 ";"33,0 ";"55 ";"50 ";"1252514-24-24 ";"125 ";"";"2307 "
"150 ";"50 ";"2'' ";"2 1/2''-12 ";"77,5 ";"62,1 ";"45,0 ";"70 ";"65 ";"1252514-32-32 ";"537 ";"";"2308 "
