"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"420 ";"1/8''-27 ";"20,0 ";"20,0 ";"8,6 ";"17 ";"1350521-02 ";"27,3 ";"";"11144 "
"420 ";"1/4''-18 ";"22,5 ";"22,5 ";"11,8 ";"19 ";"1350521-04 ";"27,3 ";"";"11145 "
"420 ";"3/8''-18 ";"26,2 ";"26,2 ";"15,2 ";"24 ";"1350521-06 ";"35,6 ";"";"11146 "
"420 ";"1/2''-14 ";"31,5 ";"31,5 ";"19,0 ";"27 ";"1350521-08 ";"45,4 ";"";"11147 "
"420 ";"3/4''-14 ";"33,5 ";"33,5 ";"24,6 ";"36 ";"1350521-12 ";"51,6 ";"";"11148 "
"420 ";"1''-11,5 ";"43,0 ";"43,0 ";"30,7 ";"41 ";"1350521-16 ";"61,75 ";"";"11149 "
"315 ";"1 1/4''-11,5 ";"51,0 ";"51,0 ";"39,3 ";"50 ";"1350521-20 ";"166,15 ";"";"11150 "
"315 ";"1 1/2''-11,5 ";"53,0 ";"53,0 ";"45,2 ";"65 ";"1350521-24 ";"517,4 ";"";"11151 "
