"    DN";"    LW";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  L10";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    RA";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"4 ";"5,0 ";"400 ";"M 14 x 1,5 ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"";"";"35 ";"";"M 5 ";"6 ";"";"9 ";"BK3-6-S-4423-TA ";"";"";"10256 "
"4 ";"5,0 ";"400 ";"M 16 x 1,5 ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"12 ";"73 ";"35 ";"44,5 ";"M 5 ";"8 ";"22 ";"9 ";"BK3-8-S-4423-TA ";"";"";"10257 "
"6 ";"6,0 ";"400 ";"M 18 x 1,5 ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"12 ";"73 ";"35 ";"44,5 ";"M 5 ";"10 ";"22 ";"9 ";"BK3-10-S-4423-TA ";"";"";"10258 "
"8 ";"7,0 ";"400 ";"M 20 x 1,5 ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"12 ";"77 ";"35 ";"46,0 ";"M 5 ";"12 ";"22 ";"9 ";"BK3-12-S-4423-TA ";"";"";"10259 "
"10 ";"9,0 ";"400 ";"M 22 x 1,5 ";"45 ";"51,5 ";"40 ";"8,0 ";"18,0 ";"14 ";"84 ";"42 ";"48,5 ";"M 5 ";"14 ";"27 ";"9 ";"BK3-14-S-4423-TA ";"";"";"10260 "
"13 ";"11,5 ";"400 ";"M 24 x 1,5 ";"50 ";"56,0 ";"40 ";"8,0 ";"17,0 ";"14 ";"87 ";"47 ";"51,5 ";"M 5 ";"16 ";"30 ";"9 ";"BK3-16-S-4423-TA ";"";"";"10261 "
"13 ";"11,5 ";"400 ";"M 30 x 2 ";"50 ";"56,0 ";"40 ";"8,0 ";"17,0 ";"16 ";"91 ";"47 ";"51,5 ";"M 5 ";"20 ";"32 ";"9 ";"BK3-20-S-4423-TA ";"";"";"10262 "
"20 ";"18,0 ";"320 ";"M 36 x 2 ";"65 ";"73,5 ";"57 ";"12,0 ";"24,5 ";"18 ";"110 ";"61 ";"64,5 ";"M 6 ";"25 ";"41 ";"14 ";"BK3-25-S-4423-TA ";"";"";"10263 "
"25 ";"22,0 ";"350 ";"M 42 x 2 ";"80 ";"81,5 ";"65 ";"12,0 ";"30,0 ";"20 ";"120 ";"63 ";"78,0 ";"M 6 ";"30 ";"46 ";"14 ";"BK3-30-S-4423-TA ";"";"";"10264 "
"32 ";"30,0 ";"350 ";"M 52 x 2 ";"100 ";"99,0 ";"80 ";"13,5 ";"38,0 ";"22 ";"140 ";"78 ";"92,0 ";"M 8 ";"38 ";"60 ";"17 ";"BK3-38-S-4423-TA ";"";"";"10265 "
