"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"27 ";"12,0 ";"12 ";"14 ";"WV-L-06-SC ";"16,31 ";"L ";"2917 "
"500 ";"8 ";"29 ";"14,0 ";"12 ";"17 ";"WV-L-08-SC ";"17,32 ";"L ";"2918 "
"500 ";"10 ";"30 ";"15,0 ";"14 ";"19 ";"WV-L-10-SC ";"20,05 ";"L ";"2919 "
"400 ";"12 ";"32 ";"17,0 ";"17 ";"22 ";"WV-L-12-SC ";"23,11 ";"L ";"2920 "
"400 ";"15 ";"36 ";"21,0 ";"19 ";"27 ";"WV-L-15-SC ";"31,1 ";"L ";"2921 "
"400 ";"18 ";"40 ";"23,5 ";"24 ";"32 ";"WV-L-18-SC ";"44,75 ";"L ";"2922 "
"250 ";"22 ";"44 ";"27,5 ";"27 ";"36 ";"WV-L-22-SC ";"56,06 ";"L ";"2923 "
"250 ";"28 ";"47 ";"30,5 ";"36 ";"41 ";"WV-L-28-SC ";"101,15 ";"L ";"2924 "
"250 ";"35 ";"56 ";"34,5 ";"41 ";"50 ";"WV-L-35-SC ";"158,27 ";"L ";"2925 "
"250 ";"42 ";"63 ";"40,0 ";"50 ";"60 ";"WV-L-42-SC ";"246,39 ";"L ";"2926 "
"800 ";"6 ";"31 ";"16,0 ";"12 ";"17 ";"WV-S-06-SC ";"18,01 ";"S ";"2927 "
"800 ";"8 ";"32 ";"17,0 ";"14 ";"19 ";"WV-S-08-SC ";"20,57 ";"S ";"2928 "
"800 ";"10 ";"34 ";"17,5 ";"17 ";"22 ";"WV-S-10-SC ";"24,44 ";"S ";"2929 "
"630 ";"12 ";"38 ";"21,5 ";"17 ";"24 ";"WV-S-12-SC ";"28,19 ";"S ";"2930 "
"630 ";"14 ";"40 ";"22,0 ";"19 ";"27 ";"WV-S-14-SC ";"35,03 ";"S ";"2931 "
"630 ";"16 ";"43 ";"24,5 ";"24 ";"30 ";"WV-S-16-SC ";"45 ";"S ";"2932 "
"420 ";"20 ";"48 ";"26,5 ";"27 ";"36 ";"WV-S-20-SC ";"59,75 ";"S ";"2933 "
"420 ";"25 ";"54 ";"30,0 ";"36 ";"46 ";"WV-S-25-SC ";"113,37 ";"S ";"2934 "
"420 ";"30 ";"62 ";"35,5 ";"41 ";"50 ";"WV-S-30-SC ";"158,64 ";"S ";"2935 "
"420 ";"38 ";"72 ";"41,0 ";"50 ";"60 ";"WV-S-38-SC ";"241,36 ";"S ";"2936 "
