"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"6 ";"G 1/8'' ";"28,0 ";"13,0 ";"8 ";"14 ";"17 ";"GE-SR-06-G 1/8''-wd ";"10,84 ";"S ";"3914 "
"800 ";"6 ";"G 1/4'' ";"28,0 ";"13,0 ";"12 ";"19 ";"17 ";"GE-SR-06-G 1/4''-wd ";"10,84 ";"S ";"3915 "
"800 ";"6 ";"G 3/8'' ";"30,0 ";"15,5 ";"12 ";"22 ";"19 ";"GE-SR-06-G 3/8''-wd ";"13,09 ";"S ";"3916 "
"630 ";"6 ";"G 1/2'' ";"34,0 ";"17,0 ";"14 ";"27 ";"19 ";"GE-SR-06-G 1/2''-wd ";"17,23 ";"S ";"3917 "
"800 ";"8 ";"G 1/8'' ";"30,0 ";"14,0 ";"8 ";"17 ";"19 ";"GE-SR-08-G 1/8''-wd ";"12,48 ";"S ";"3918 "
"800 ";"8 ";"G 1/4'' ";"30,0 ";"15,0 ";"12 ";"19 ";"19 ";"GE-SR-08-G 1/4''-wd ";"10,53 ";"S ";"3919 "
"800 ";"8 ";"G 3/8'' ";"31,5 ";"15,5 ";"12 ";"22 ";"19 ";"GE-SR-08-G 3/8''-wd ";"11,84 ";"S ";"3920 "
"630 ";"8 ";"G 1/2'' ";"31,5 ";"15,0 ";"14 ";"27 ";"19 ";"GE-SR-08-G 1/2''-wd ";"17,38 ";"S ";"3921 "
"800 ";"10 ";"G 1/8'' ";"31,0 ";"13,5 ";"8 ";"19 ";"22 ";"GE-SR-10-G 1/8''-wd ";"15,08 ";"S ";"3922 "
"800 ";"10 ";"G 1/4'' ";"32,0 ";"14,5 ";"12 ";"19 ";"22 ";"GE-SR-10-G 1/4''-wd ";"13,29 ";"S ";"3923 "
"800 ";"10 ";"G 3/8'' ";"33,0 ";"15,0 ";"12 ";"22 ";"22 ";"GE-SR-10-G 3/8''-wd ";"12,99 ";"S ";"3924 "
"630 ";"10 ";"G 1/2'' ";"32,0 ";"13,5 ";"14 ";"27 ";"22 ";"GE-SR-10-G 1/2''-wd ";"17,84 ";"S ";"3925 "
"420 ";"10 ";"G 3/4'' ";"35,0 ";"17,5 ";"16 ";"32 ";"22 ";"GE-SR-10-G 3/4''-wd ";"28,89 ";"S ";"3926 "
"630 ";"12 ";"G 1/4'' ";"34,5 ";"16,5 ";"12 ";"22 ";"24 ";"GE-SR-12-G 1/4''-wd ";"14,9 ";"S ";"3927 "
"630 ";"12 ";"G 3/8'' ";"33,0 ";"17,0 ";"12 ";"22 ";"24 ";"GE-SR-12-G 3/8''-wd ";"13,91 ";"S ";"3928 "
"630 ";"12 ";"G 1/2'' ";"34,0 ";"17,5 ";"14 ";"27 ";"24 ";"GE-SR-12-G 1/2''-wd ";"19,63 ";"S ";"3929 "
"420 ";"12 ";"G 3/4'' ";"36,0 ";"17,5 ";"16 ";"32 ";"24 ";"GE-SR-12-G 3/4''-wd ";"29,4 ";"S ";"3930 "
"630 ";"14 ";"G 1/4'' ";"37,0 ";"17,0 ";"12 ";"24 ";"27 ";"GE-SR-14-G 1/4''-wd ";"29,35 ";"S ";"3931 "
"630 ";"14 ";"G 3/8'' ";"37,0 ";"17,0 ";"12 ";"24 ";"27 ";"GE-SR-14-G 3/8''-wd ";"17,18 ";"S ";"3932 "
"630 ";"14 ";"G 1/2'' ";"37,0 ";"19,0 ";"14 ";"27 ";"27 ";"GE-SR-14-G 1/2''-wd ";"18,71 ";"S ";"3933 "
"420 ";"14 ";"G 3/4'' ";"38,0 ";"19,0 ";"16 ";"32 ";"27 ";"GE-SR-14-G 3/4''-wd ";"29,4 ";"S ";"3934 "
"630 ";"16 ";"G 1/4'' ";"38,0 ";"17,5 ";"12 ";"27 ";"30 ";"GE-SR-16-G 1/4''-wd ";"27,35 ";"S ";"3935 "
"630 ";"16 ";"G 3/8'' ";"38,0 ";"18,0 ";"12 ";"27 ";"30 ";"GE-SR-16-G 3/8''-wd ";"24,64 ";"S ";"3936 "
"630 ";"16 ";"G 1/2'' ";"37,0 ";"18,5 ";"14 ";"27 ";"30 ";"GE-SR-16-G 1/2''-wd ";"24,54 ";"S ";"3937 "
"420 ";"16 ";"G 3/4'' ";"39,0 ";"20,5 ";"16 ";"32 ";"30 ";"GE-SR-16-G 3/4''-wd ";"30,93 ";"S ";"3938 "
"420 ";"16 ";"G 1'' ";"43,5 ";"22,5 ";"18 ";"41 ";"30 ";"GE-SR-16-G 1''-wd ";"42,59 ";"S ";"3939 "
"420 ";"20 ";"G 3/8'' ";"42,0 ";"18,0 ";"12 ";"32 ";"36 ";"GE-SR-20-G 3/8''-wd ";"37,07 ";"S ";"3940 "
"420 ";"20 ";"G 1/2'' ";"44,5 ";"20,5 ";"14 ";"32 ";"36 ";"GE-SR-20-G 1/2''-wd ";"34,51 ";"S ";"3941 "
"420 ";"20 ";"G 3/4'' ";"44,5 ";"20,5 ";"16 ";"32 ";"36 ";"GE-SR-20-G 3/4''-wd ";"31,6 ";"S ";"3942 "
"420 ";"20 ";"G 1'' ";"47,0 ";"22,5 ";"18 ";"41 ";"36 ";"GE-SR-20-G 1''-wd ";"42,59 ";"S ";"3943 "
"420 ";"20 ";"G 1 1/4'' ";"47,0 ";"22,5 ";"20 ";"50 ";"36 ";"GE-SR-20-G 1 1/4''-wd ";"49,08 ";"S ";"3944 "
"420 ";"25 ";"G 1/2'' ";"50,5 ";"23,0 ";"14 ";"41 ";"46 ";"GE-SR-25-G 1/2''-wd ";"54,15 ";"S ";"3945 "
"420 ";"25 ";"G 3/4'' ";"50,0 ";"23,0 ";"16 ";"41 ";"46 ";"GE-SR-25-G 3/4''-wd ";"52,59 ";"S ";"3946 "
"420 ";"25 ";"G 1'' ";"50,0 ";"23,0 ";"18 ";"41 ";"46 ";"GE-SR-25-G 1''-wd ";"52,15 ";"S ";"3947 "
"420 ";"25 ";"G 1 1/4'' ";"50,0 ";"23,0 ";"20 ";"50 ";"46 ";"GE-SR-25-G 1 1/4''-wd ";"59,18 ";"S ";"3948 "
"420 ";"30 ";"G 3/4'' ";"54,0 ";"25,5 ";"16 ";"46 ";"50 ";"GE-SR-30-G 3/4''-wd ";"64,37 ";"S ";"3949 "
"420 ";"30 ";"G 1'' ";"52,0 ";"23,5 ";"18 ";"46 ";"50 ";"GE-SR-30-G 1''-wd ";"61,41 ";"S ";"3950 "
"420 ";"30 ";"G 1 1/4'' ";"52,0 ";"23,5 ";"20 ";"50 ";"50 ";"GE-SR-30-G 1 1/4''-wd ";"61,61 ";"S ";"3951 "
"420 ";"30 ";"G 1 1/2'' ";"52,0 ";"23,5 ";"22 ";"55 ";"50 ";"GE-SR-30-G 1 1/2''-wd ";"70,87 ";"S ";"3952 "
"420 ";"38 ";"G 1'' ";"57,0 ";"26,0 ";"18 ";"55 ";"60 ";"GE-SR-38-G 1''-wd ";"91,01 ";"S ";"3953 "
"420 ";"38 ";"G 1 1/4'' ";"59,5 ";"23,0 ";"20 ";"55 ";"60 ";"GE-SR-38-G 1 1/4''-wd ";"77,64 ";"S ";"3954 "
