"Max. Betriebsdruck  Max. Working Pressure  bar";"SAE Baugrˆﬂe  Nominal Flange Size  in.";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  E";"Ca. Maﬂe  Approx. Dimensions  F";"Ca. Maﬂe  Approx. Dimensions  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  I";"Ca. Maﬂe  Approx. Dimensions  L";"Schrauben  Screws  metr.";"Schrauben  Screws  unc.";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"345 ";"1/2'' ";"30,96 ";"24,26 ";"38,10 ";"54,0 ";"8,74 ";"22,8 ";"19,0 ";"13,0 ";"6,22 ";"8,50 ";"M 8 x 25 ";"5/16'' x 1 1/4'' ";"FLH-3-1/2'' ";"8,95 ";"LOCHBILD / 3000 P.S.I. ";"959 "
"345 ";"3/4'' ";"38,89 ";"32,13 ";"47,63 ";"65,0 ";"11,13 ";"25,9 ";"22,0 ";"14,0 ";"6,22 ";"10,50 ";"M 10 x 30 ";"3/8'' x 1 1/4'' ";"FLH-3-3/4'' ";"11,13 ";"LOCHBILD / 3000 P.S.I. ";"960 "
"345 ";"1'' ";"45,24 ";"38,48 ";"52,37 ";"70,0 ";"13,08 ";"29,2 ";"24,0 ";"16,0 ";"7,49 ";"10,50 ";"M 10 x 30 ";"3/8'' x 1 1/4'' ";"FLH-3-1'' ";"12,08 ";"LOCHBILD / 3000 P.S.I. ";"961 "
"276 ";"1 1/4'' ";"51,59 ";"43,69 ";"58,72 ";"79,0 ";"15,09 ";"36,3 ";"22,0 ";"16,0 ";"7,49 ";"12,00 ";"M 10 x 35 ";"7/16'' x 1 1/2'' ";"FLH-3-1 1/4'' ";"16,1 ";"LOCHBILD / 3000 P.S.I. ";"962 "
"207 ";"1 1/2'' ";"61,09 ";"50,80 ";"69,85 ";"94,0 ";"17,86 ";"41,1 ";"25,0 ";"16,0 ";"7,49 ";"13,50 ";"M 12 x 35 ";"1/2'' x 1 1/2'' ";"FLH-3-1 1/2'' ";"17,18 ";"LOCHBILD / 3000 P.S.I. ";"963 "
"207 ";"2'' ";"72,24 ";"62,74 ";"77,77 ";"102,0 ";"21,44 ";"48,2 ";"26,0 ";"16,0 ";"9,02 ";"13,50 ";"M 12 x 35 ";"1/2'' x 1 1/2'' ";"FLH-3-2'' ";"17,18 ";"LOCHBILD / 3000 P.S.I. ";"964 "
"172 ";"2 1/2'' ";"84,94 ";"74,93 ";"88,90 ";"114,0 ";"25,40 ";"54,1 ";"38,0 ";"19,0 ";"9,02 ";"13,50 ";"M 12 x 40 ";"1/2'' x 1 1/2'' ";"FLH-3-2 1/2'' ";"26,38 ";"LOCHBILD / 3000 P.S.I. ";"965 "
"138 ";"3'' ";"102,39 ";"90,93 ";"106,38 ";"135,0 ";"30,96 ";"65,3 ";"41,0 ";"22,0 ";"9,02 ";"16,75 ";"M 16 x 45 ";"5/8'' x 2'' ";"FLH-3-3'' ";"40,13 ";"LOCHBILD / 3000 P.S.I. ";"966 "
"420 ";"1/2'' ";"32,45 ";"24,64 ";"40,49 ";"56,0 ";"9,12 ";"23,6 ";"22,0 ";"16,0 ";"7,24 ";"8,50 ";"M 8 x 30 ";"5/16'' x 1 1/4'' ";"FLH-6-1/2'' ";"11,63 ";"LOCHBILD / 6000 P.S.I. ";"967 "
"420 ";"3/4'' ";"42,06 ";"32,51 ";"50,80 ";"71,0 ";"11,91 ";"30,0 ";"28,0 ";"19,0 ";"8,26 ";"10,50 ";"M 10 x 35 ";"3/8'' x 1 1/2'' ";"FLH-6-3/4'' ";"12,08 ";"LOCHBILD / 6000 P.S.I. ";"968 "
"420 ";"1'' ";"48,41 ";"38,86 ";"57,15 ";"81,0 ";"13,89 ";"34,8 ";"33,0 ";"24,0 ";"9,02 ";"12,50 ";"M 12 x 45 ";"";"FLH-6-1'' ";"15,33 ";"LOCHBILD / 6000 P.S.I. ";"969 "
"420 ";"1 1/4'' ";"54,76 ";"44,45 ";"66,68 ";"95,0 ";"15,88 ";"38,6 ";"38,0 ";"27,0 ";"9,78 ";"14,50 ";"M 14 x 50 ";"";"FLH-6-1 1/4'' ";"21,65 ";"LOCHBILD / 6000 P.S.I. ";"970 "
"420 ";"1 1/2'' ";"64,29 ";"51,56 ";"79,38 ";"113,0 ";"18,26 ";"47,5 ";"43,0 ";"30,0 ";"12,07 ";"16,75 ";"M 16 x 55 ";"5/8'' x 2'' ";"FLH-6-1 1/2'' ";"32,88 ";"LOCHBILD / 6000 P.S.I. ";"971 "
"420 ";"2'' ";"80,16 ";"67,56 ";"96,82 ";"133,0 ";"22,23 ";"56,9 ";"52,0 ";"37,0 ";"12,07 ";"21,00 ";"M 20 x 65 ";"3/4'' x 2 1/2'' ";"FLH-6-2'' ";"52,33 ";"LOCHBILD / 6000 P.S.I. ";"972 "
"420 ";"2 1/2'' ";"108,5 ";"89,5 ";"123,8 ";"176,0 ";"29,35 ";"75,0 ";"48,0 ";"48,0 ";"20,0 ";"25,0 ";"M 24 x 90 ";"";"FLH-6-2 1/2'' ";"";"LOCHBILD / 6000 P.S.I. ";"12324 "
"420 ";"2'' ";"132,5 ";"114,5 ";"152,4 ";"215,0 ";"35,7 ";"88,0 ";"58,0 ";"58,0 ";"25,0 ";"31,0 ";"M x 30 x 100 ";"";"FLH-6-3'' ";"";"LOCHBILD / 6000 P.S.I. ";"12325 "
