"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"26,0 ";"12 ";"14 ";"ET-DKOL-06-SC ";"38,55 ";"L ";"8750 "
"500 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"27,5 ";"12 ";"17 ";"ET-DKOL-08-SC ";"40,07 ";"L ";"8751 "
"500 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"29,0 ";"14 ";"19 ";"ET-DKOL-10-SC ";"49,27 ";"L ";"8752 "
"400 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"29,5 ";"17 ";"22 ";"ET-DKOL-12-SC ";"54,27 ";"L ";"8753 "
"400 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"32,5 ";"19 ";"27 ";"ET-DKOL-15-SC ";"73,74 ";"L ";"8754 "
"400 ";"18 ";"M 26 x 1,5 ";"40 ";"23,5 ";"35,5 ";"24 ";"32 ";"ET-DKOL-18-SC ";"97,87 ";"L ";"8755 "
"250 ";"22 ";"M 30 x 2 ";"44 ";"27,5 ";"38,5 ";"27 ";"36 ";"ET-DKOL-22-SC ";"113,45 ";"L ";"8756 "
"250 ";"28 ";"M 36 x 2 ";"47 ";"30,5 ";"41,5 ";"36 ";"41 ";"ET-DKOL-28-SC ";"195,74 ";"L ";"8757 "
"250 ";"35 ";"M 45 x 2 ";"56 ";"34,5 ";"51,0 ";"41 ";"50 ";"ET-DKOL-35-SC ";"288,65 ";"L ";"8758 "
"250 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"56,0 ";"50 ";"60 ";"ET-DKOL-42-SC ";"384,45 ";"L ";"8759 "
"800 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"27,0 ";"12 ";"17 ";"ET-DKOS-06-SC ";"40,33 ";"S ";"8760 "
"800 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"27,5 ";"14 ";"19 ";"ET-DKOS-08-SC ";"43,65 ";"S ";"8761 "
"800 ";"10 ";"M 18 x 1,5 ";"34 ";"17,5 ";"30,0 ";"17 ";"22 ";"ET-DKOS-10-SC ";"54,5 ";"S ";"8762 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,5 ";"31,0 ";"17 ";"24 ";"ET-DKOS-12-SC ";"59,97 ";"S ";"8763 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"35,0 ";"19 ";"27 ";"ET-DKOS-14-SC ";"77,26 ";"S ";"8764 "
"630 ";"16 ";"M 24 x 1,5 ";"43 ";"24,5 ";"36,5 ";"24 ";"30 ";"ET-DKOS-16-SC ";"97,71 ";"S ";"8765 "
"420 ";"20 ";"M 30 x 2 ";"48 ";"26,5 ";"44,5 ";"27 ";"36 ";"ET-DKOS-20-SC ";"123,92 ";"S ";"8766 "
"420 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"50,0 ";"36 ";"46 ";"ET-DKOS-25-SC ";"197,74 ";"S ";"8767 "
"420 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"55,0 ";"41 ";"50 ";"ET-DKOS-30-SC ";"258,86 ";"S ";"8768 "
"420 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"63,0 ";"50 ";"60 ";"ET-DKOS-38-SC ";"394,75 ";"S ";"8769 "
