"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"1/4'' ";"7/16''-20 ";"1/8'' ";"18 ";"27 ";"14 ";"14 ";"8 x 2,2 ";"1252534-04-02 ";"31 ";"";"2359 "
"200 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4'' ";"21 ";"29 ";"19 ";"14 ";"10,77 x 2,62 ";"1252534-04-04 ";"31 ";"";"2360 "
"200 ";"8 ";"5/16'' ";"1/2''-20 ";"1/8'' ";"20 ";"27 ";"14 ";"14 ";"8 x 2,2 ";"1252534-05-02 ";"31 ";"";"2361 "
"200 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4'' ";"21 ";"27 ";"19 ";"14 ";"10,77 x 2,62 ";"1252534-05-04 ";"31 ";"";"2362 "
"200 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4'' ";"21 ";"29 ";"19 ";"14 ";"10,77 x 2,62 ";"1252534-06-04 ";"31,4 ";"";"2363 "
"200 ";"10 ";"3/8'' ";"9/16''-18 ";"3/8'' ";"22 ";"33 ";"22 ";"19 ";"13,94 x 2,62 ";"1252534-06-06 ";"41,25 ";"";"2364 "
"200 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2'' ";"22 ";"39 ";"27 ";"22 ";"17,86 x 2,62 ";"1252534-06-08 ";"49 ";"";"2365 "
"200 ";"12 ";"1/2'' ";"3/4''-16 ";"3/8'' ";"25 ";"33 ";"22 ";"19 ";"13,94 x 2,62 ";"1252534-08-06 ";"44,7 ";"";"2366 "
"200 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2'' ";"25 ";"39 ";"27 ";"27 ";"17,86 x 2,62 ";"1252534-08-08 ";"49 ";"";"2367 "
"200 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"1/2'' ";"28 ";"39 ";"27 ";"22 ";"17,86 x 2,62 ";"1252534-10-08 ";"49 ";"";"2368 "
"200 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"3/4'' ";"33 ";"44 ";"36 ";"30 ";"23,47 x 2,62 ";"1252534-12-12 ";"67,65 ";"";"2369 "
"200 ";"25 ";"1'' ";"1 5/16''-12 ";"1'' ";"37,5 ";"47 ";"41 ";"36 ";"29,74 x 3,53 ";"1252534-16-16 ";"119 ";"";"12171 "
