"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"7/16''-20 ";"21,0 ";"14,0 ";"3,0 ";"12 ";"AGJ-7/16''-DN 05 ";"13,6 ";"";"642 "
"06 ";"1/4'' ";"7/16''-20 ";"27,5 ";"14,0 ";"4,0 ";"14 ";"AGJ-7/16''-DN 06 ";"10,83 ";"";"643 "
"05 ";"3/16'' ";"1/2''-20 ";"21,0 ";"14,0 ";"3,0 ";"14 ";"AGJ-1/2''-DN 05 ";"13,7 ";"";"644 "
"06 ";"1/4'' ";"1/2''-20 ";"27,5 ";"14,0 ";"4,0 ";"17 ";"AGJ-1/2''-DN 06 ";"10,58 ";"";"645 "
"08 ";"5/16'' ";"1/2''-20 ";"27,5 ";"14,0 ";"5,5 ";"17 ";"AGJ-1/2''-DN 08 ";"10,73 ";"";"646 "
"05 ";"3/16'' ";"9/16''-18 ";"22,0 ";"14,1 ";"3,0 ";"17 ";"AGJ-9/16''-DN 05 ";"13,9 ";"";"647 "
"06 ";"1/4'' ";"9/16''-18 ";"29,5 ";"14,1 ";"4,0 ";"17 ";"AGJ-9/16''-DN 06 ";"10,58 ";"";"648 "
"08 ";"5/16'' ";"9/16''-18 ";"29,5 ";"14,1 ";"5,5 ";"17 ";"AGJ-9/16''-DN 08 ";"10,83 ";"";"649 "
"10 ";"3/8'' ";"9/16''-18 ";"29,5 ";"14,1 ";"7,0 ";"17 ";"AGJ-9/16''-DN 10 ";"10,83 ";"";"650 "
"10 ";"3/8'' ";"3/4''-16 ";"33,0 ";"16,7 ";"7,0 ";"22 ";"AGJ-3/4''-DN 10 ";"11,53 ";"";"651 "
"12 ";"1/2'' ";"3/4''-16 ";"31,0 ";"16,7 ";"9,5 ";"22 ";"AGJ-3/4''-DN 12 ";"14,13 ";"";"652 "
"10 ";"3/8'' ";"7/8''-14 ";"36,0 ";"19,3 ";"7,0 ";"24 ";"AGJ-7/8''-DN 10 ";"15 ";"";"653 "
"12 ";"1/2'' ";"7/8''-14 ";"36,5 ";"19,3 ";"9,5 ";"24 ";"AGJ-7/8''-DN 12 ";"15 ";"";"654 "
"16 ";"5/8'' ";"7/8''-14 ";"37,0 ";"19,3 ";"12,5 ";"24 ";"AGJ-7/8''-DN 16 ";"15 ";"";"655 "
"12 ";"1/2'' ";"1 1/16''-12 ";"38,5 ";"22,0 ";"9,5 ";"27 ";"AGJ-1 1/16''-DN 12 ";"19,95 ";"";"656 "
"16 ";"5/8'' ";"1 1/16''-12 ";"40,0 ";"22,0 ";"12,5 ";"27 ";"AGJ-1 1/16''-DN 16 ";"15,5 ";"";"657 "
"19 ";"3/4'' ";"1 1/16''-12 ";"43,0 ";"22,0 ";"14,5 ";"27 ";"AGJ-1 1/16''-DN 19 ";"15,5 ";"";"658 "
"19 ";"3/4'' ";"1 5/16''-12 ";"44,0 ";"23,1 ";"14,5 ";"36 ";"AGJ-1 5/16''-DN 19 ";"25 ";"";"659 "
"25 ";"1'' ";"1 5/16''-12 ";"44,0 ";"23,1 ";"20,0 ";"36 ";"AGJ-1 5/16''-DN 25 ";"25 ";"";"660 "
"25 ";"1'' ";"1 5/8''-12 ";"50,0 ";"24,4 ";"20,0 ";"46 ";"AGJ-1 5/8''-DN 25 ";"50,2 ";"";"661 "
"31 ";"1 1/4'' ";"1 5/8''-12 ";"48,0 ";"24,4 ";"25,5 ";"46 ";"AGJ-1 5/8''-DN 31 ";"47,58 ";"";"662 "
"31 ";"1 1/4'' ";"1 7/8''-12 ";"51,0 ";"27,5 ";"25,5 ";"50 ";"AGJ-1 7/8''-DN 31 ";"62,75 ";"";"663 "
"38 ";"1 1/2'' ";"1 7/8''-12 ";"53,5 ";"27,5 ";"31,5 ";"50 ";"AGJ-1 7/8''-DN 38 ";"52,6 ";"";"664 "
"38 ";"1 1/2'' ";"2 1/2''-12 ";"62,0 ";"33,9 ";"31,5 ";"65 ";"AGJ-2 1/2''-DN 38 ";"150 ";"";"665 "
"51 ";"2'' ";"2 1/2''-12 ";"63,0 ";"33,9 ";"43,0 ";"65 ";"AGJ-2 1/2''-DN 51 ";"120 ";"";"666 "
