"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"3/4''-14 ";"90 ";"39 ";"14,5 ";"32 ";"17,0 x 1,5 ";"I-DKOR-3/4''-45∞-DN 19 ";"53,5 ";"";"1218 "
"25 ";"1'' ";"1''-11 ";"97 ";"46 ";"20,0 ";"41 ";"22,0 x 1,0 ";"I-DKOR-1''-45∞-DN 25 ";"75 ";"";"1219 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"117 ";"52 ";"25,0 ";"50 ";"29,0 x 1,5 ";"I-DKOR-1 1/4''-45∞-DN 31 ";"142,5 ";"";"1220 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"134 ";"49 ";"31,0 ";"60 ";"34,0 x 1,5 ";"I-DKOR-1 1/2''-45∞-DN 38 ";"198,75 ";"";"1221 "
"51 ";"2'' ";"2''-11 ";"170 ";"81 ";"41,0 ";"70 ";"48,0 x 1,5 ";"I-DKOR-2''-45∞-DN 51 ";"370 ";"";"1222 "
