"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"26,0 ";"12 ";"14 ";"EVW-L-06-SC ";"19,38 ";"L ";"6943 "
"315 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"27,5 ";"12 ";"17 ";"EVW-L-08-SC ";"20,28 ";"L ";"6944 "
"315 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"29,0 ";"14 ";"19 ";"EVW-L-10-SC ";"26,44 ";"L ";"6945 "
"315 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"29,5 ";"17 ";"22 ";"EVW-L-12-SC ";"30,93 ";"L ";"6946 "
"315 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"32,5 ";"19 ";"27 ";"EVW-L-15-SC ";"40,58 ";"L ";"6947 "
"315 ";"18 ";"M 26 x 1,5 ";"40 ";"23,5 ";"35,5 ";"24 ";"32 ";"EVW-L-18-SC ";"58,6 ";"L ";"6948 "
"160 ";"22 ";"M 30 x 2 ";"44 ";"27,5 ";"38,5 ";"27 ";"36 ";"EVW-L-22-SC ";"69,99 ";"L ";"6949 "
"160 ";"28 ";"M 36 x 2 ";"47 ";"30,5 ";"43,5 ";"36 ";"41 ";"EVW-L-28-SC ";"98,59 ";"L ";"6950 "
"160 ";"35 ";"M 45 x 2 ";"56 ";"34,5 ";"54,0 ";"41 ";"50 ";"EVW-L-35-SC ";"148,05 ";"L ";"6951 "
"160 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"56,0 ";"50 ";"60 ";"EVW-L-42-SC ";"210,6 ";"L ";"6952 "
"630 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"27,0 ";"12 ";"17 ";"EVW-S-06-SC ";"22,61 ";"S ";"6953 "
"630 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"27,5 ";"14 ";"19 ";"EVW-S-08-SC ";"26,21 ";"S ";"6954 "
"630 ";"10 ";"M 18 x 1,5 ";"34 ";"17,5 ";"30,0 ";"17 ";"22 ";"EVW-S-10-SC ";"30,67 ";"S ";"6955 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,5 ";"31,0 ";"17 ";"24 ";"EVW-S-12-SC ";"36,4 ";"S ";"6956 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"35,0 ";"19 ";"27 ";"EVW-S-14-SC ";"44,56 ";"S ";"6957 "
"400 ";"16 ";"M 24 x 1,5 ";"43 ";"24,5 ";"36,5 ";"24 ";"30 ";"EVW-S-16-SC ";"57,83 ";"S ";"6958 "
"400 ";"20 ";"M 30 x 2 ";"48 ";"26,5 ";"44,5 ";"27 ";"36 ";"EVW-S-20-SC ";"71,84 ";"S ";"6959 "
"400 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"50,0 ";"36 ";"46 ";"EVW-S-25-SC ";"105,7 ";"S ";"6960 "
"400 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"55,0 ";"41 ";"50 ";"EVW-S-30-SC ";"151,48 ";"S ";"6961 "
"250 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"63,0 ";"50 ";"60 ";"EVW-S-38-SC ";"218,36 ";"S ";"6962 "
