"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"19,0 ";"17 ";"18 ";"WHV-L-06-M 10x1-OMD ";"76,94 ";"L ";"6765 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"WHV-L-08-M 12x1,5-OMD ";"81,56 ";"L ";"6766 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"WHV-L-10-M 14x1,5-OMD ";"86,12 ";"L ";"6767 "
"315 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"25,5 ";"24 ";"27 ";"WHV-L-12-M 16x1,5-OMD ";"98,37 ";"L ";"6768 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27,5 ";"27 ";"30 ";"WHV-L-15-M 18x1,5-OMD ";"125,24 ";"L ";"6769 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"28,5 ";"30 ";"32 ";"WHV-L-18-M 22x1,5-OMD ";"155 ";"L ";"6770 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"35,0 ";"36 ";"40 ";"WHV-L-22-M 26x1,5-OMD ";"247,9 ";"L ";"6771 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"39,5 ";"46 ";"50 ";"WHV-L-28-M 33x2-OMD ";"378,85 ";"L ";"6772 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"46,5 ";"55 ";"60 ";"WHV-L-35-M 42x2-OMD ";"574,55 ";"L ";"6773 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"51,0 ";"60 ";"70 ";"WHV-L-42-M 48x2-OMD ";"823,88 ";"L ";"6774 "
"100 ";"4 ";"M 8 x 1 ";"11,0 ";"24 ";"17,0 ";"17 ";"18 ";"WHV-LL-04-M 8x1-OMD ";"77,87 ";"LL ";"6762 "
"100 ";"6 ";"M 10 x 1 ";"11,5 ";"24 ";"17,0 ";"17 ";"18 ";"WHV-LL-06-M 10x1-OMD ";"77,49 ";"LL ";"6763 "
"100 ";"8 ";"M 10 x 1 ";"12,5 ";"24 ";"18,0 ";"17 ";"18 ";"WHV-LL-08-M 10x1-OMD ";"77,03 ";"LL ";"6764 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"WHV-S-06-M 12x1,5-OMD ";"81,57 ";"S ";"6775 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"WHV-S-08-M 14x1,5-OMD ";"88,83 ";"S ";"6776 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"25,5 ";"24 ";"27 ";"WHV-S-10-M 16x1,5-OMD ";"100,88 ";"S ";"6777 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"27,5 ";"27 ";"30 ";"WHV-S-12-M 18x1,5-OMD ";"115,71 ";"S ";"6778 "
"400 ";"14 ";"M 20 x 1,5 ";"22,5 ";"43,5 ";"";"30 ";"32 ";"WHV-S-14-M 20x1,5-OMD ";"135,11 ";"S ";"6779 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"30,5 ";"30 ";"32 ";"WHV-S-16-M 22x1,5-OMD ";"170,74 ";"S ";"6780 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"37,0 ";"36 ";"40 ";"WHV-S-20-M 27x2-OMD ";"252,74 ";"S ";"6781 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"43,5 ";"46 ";"50 ";"WHV-S-25-M 33x2-OMD ";"359,74 ";"S ";"6782 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"51,0 ";"55 ";"60 ";"WHV-S-30-M 42x2-OMD ";"592,68 ";"S ";"6783 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"57,0 ";"60 ";"70 ";"WHV-S-38-M 48x2-OMD ";"860,41 ";"S ";"6784 "
