"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/8''-28 ";"13,5 ";"4,0 ";"14 ";"DRF-1/8''-DN 06 ";"12,9 ";"";"502 "
"05 ";"3/16'' ";"1/8''-28 ";"13,5 ";"3,0 ";"14 ";"DRF-1/8''-DN 05 ";"13,9 ";"";"501 "
"05 ";"3/16'' ";"1/4''-19 ";"14,5 ";"3,0 ";"17 ";"DRF-1/4''-DN 05 ";"13,9 ";"";"503 "
"06 ";"1/4'' ";"1/4''-19 ";"16,5 ";"4,0 ";"17 ";"DRF-1/4''-DN 06 ";"11,9 ";"";"504 "
"10 ";"5/16'' ";"1/4''-19 ";"16,5 ";"5,0 ";"17 ";"DRF-1/4''-DN 08 ";"13,9 ";"";"505 "
"10 ";"3/8'' ";"1/4''-19 ";"17,0 ";"4,0 ";"19 ";"DRF-1/4''-DN 10 ";"13,9 ";"";"506 "
"06 ";"1/4'' ";"3/8''-19 ";"17,0 ";"4,0 ";"19 ";"DRF-3/8''-DN 06 ";"12,3 ";"";"507 "
"08 ";"5/16'' ";"3/8''-19 ";"17,5 ";"5,5 ";"19 ";"DRF-3/8''-DN 08 ";"12,3 ";"";"508 "
"10 ";"3/8'' ";"3/8''-19 ";"17,5 ";"7,0 ";"19 ";"DRF-3/8''-DN 10 ";"12 ";"";"509 "
"12 ";"1/2'' ";"3/8''-19 ";"20,5 ";"8,0 ";"22 ";"DRF-3/8''-DN 12 ";"14,5 ";"";"510 "
"06 ";"1/4'' ";"1/2''-14 ";"20,5 ";"4,0 ";"27 ";"DRF-1/2''-DN 06 ";"18,55 ";"";"511 "
"08 ";"5/16'' ";"1/2''-14 ";"16,5 ";"5,5 ";"27 ";"DRF-1/2''-DN 08 ";"18,55 ";"";"512 "
"10 ";"3/8'' ";"1/2''-14 ";"16,5 ";"7,0 ";"27 ";"DRF-1/2''-DN 10 ";"16,65 ";"";"513 "
"12 ";"1/2'' ";"1/2''-14 ";"19,5 ";"9,5 ";"27 ";"DRF-1/2''-DN 12 ";"15,4 ";"";"514 "
"16 ";"5/8'' ";"1/2''-14 ";"16,5 ";"11,5 ";"27 ";"DRF-1/2''-DN 16 ";"23,9 ";"";"515 "
"19 ";"3/4'' ";"1/2''-14 ";"19,0 ";"11,5 ";"27 ";"DRF-1/2''-DN 19 ";"23,9 ";"";"11642 "
"12 ";"1/2'' ";"5/8''-14 ";"20,0 ";"9,5 ";"27 ";"DRF-5/8''-DN 12 ";"23,9 ";"";"516 "
"16 ";"5/8'' ";"5/8''-14 ";"19,0 ";"12,5 ";"27 ";"DRF-5/8''-DN 16 ";"23,9 ";"";"517 "
"12 ";"1/2'' ";"3/4''-14 ";"19,5 ";"9,5 ";"32 ";"DRF-3/4''-DN 12 ";"26,85 ";"";"518 "
"16 ";"5/8'' ";"3/4''-14 ";"21,0 ";"12,5 ";"32 ";"DRF-3/4''-DN 16 ";"19,6 ";"";"519 "
"19 ";"3/4'' ";"3/4''-14 ";"21,5 ";"14,5 ";"32 ";"DRF-3/4''-DN 19 ";"17,6 ";"";"520 "
"25 ";"1'' ";"3/4''-14 ";"20,0 ";"16,5 ";"32 ";"DRF-3/4''-DN 25 ";"29,8 ";"";"11715 "
"19 ";"3/4'' ";"1''-11 ";"22,0 ";"14,5 ";"41 ";"DRF-1''-DN 19 ";"29,9 ";"";"521 "
"25 ";"1'' ";"1''-11 ";"23,5 ";"20,0 ";"41 ";"DRF-1''-DN 25 ";"29,8 ";"";"522 "
"19 ";"3/4'' ";"1 1/4''-11 ";"";"14,5 ";"50 ";"DRF-1 1/4''-DN 19 ";"55 ";"";"523 "
"25 ";"1'' ";"1 1/4''-11 ";"27,0 ";"20,0 ";"50 ";"DRF-1 1/4''-DN 25 ";"48,9 ";"";"524 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"23,5 ";"25,5 ";"50 ";"DRF-1 1/4''-DN 31 ";"44,8 ";"";"525 "
"31 ";"1 1/4'' ";"1 1/2''-11 ";"41,0 ";"25,5 ";"55 ";"DRF-1 1/2''-DN 31 ";"78,5 ";"";"526 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"41,0 ";"31,5 ";"55 ";"DRF-1 1/2''-DN 38 ";"63,9 ";"";"527 "
"51 ";"2'' ";"2''-11 ";"28,0 ";"43,0 ";"70 ";"DRF-2''-DN 51 ";"121,2 ";"";"528 "
"60 ";"2 3/8'' ";"2 1/2''-11 ";"";"";"";"DRF-2 1/2''-DN 60 ";"";"";"529 "
