"Gewinde  Thread  ";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  H";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"G 1/4'' ";"6 ";"11,3 ";"4,5 ";"DKRi-G 1/4'' ";"2,33 ";"";"8344 "
"G 3/8'' ";"9,4 ";"14,5 ";"4,5 ";"DKRi-G 3/8'' ";"7,9 ";"";"8345 "
"G 1/2'' ";"12 ";"18,5 ";"5,0 ";"DKRi-G 1/2'' ";"2,81 ";"";"8346 "
"M 18 x 1,5 ";"";"";"";"DKRi-M 18x1,5 ";"";"";"8347 "
"M 20 x 1,5 ";"12 ";"17,5 ";"5,0 ";"DKRi-M 20x1,5 ";"2,53 ";"";"8348 "
