"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"G 1/8''  ";"41 ";"26,5 ";"8 ";"17 ";"17 ";"14 ";"RZ-L-06-G 1/8''-wd-SC ";"54,01 ";"L ";"7570 "
"250 ";"8 ";"G 1/4''  ";"43 ";"28,5 ";"12 ";"19 ";"17 ";"17 ";"RZ-L-08-G 1/4''-wd-SC ";"59,24 ";"L ";"7571 "
"250 ";"10 ";"G 1/4''  ";"53 ";"38,5 ";"12 ";"24 ";"22 ";"19 ";"RZ-L-10-G 1/4''-wd-SC ";"69,47 ";"L ";"7572 "
"250 ";"12 ";"G 3/8''  ";"55 ";"40,5 ";"12 ";"30 ";"27 ";"22 ";"RZ-L-12-G 3/8''-wd-SC ";"82,37 ";"L ";"7573 "
"250 ";"15 ";"G 1/2''  ";"58 ";"42,5 ";"14 ";"30 ";"27 ";"27 ";"RZ-L-15-G 1/2''-wd-SC ";"93,11 ";"L ";"7574 "
"160 ";"18 ";"G 1/2''  ";"64 ";"48,0 ";"14 ";"36 ";"36 ";"32 ";"RZ-L-18-G 1/2''-wd-SC ";"121,8 ";"L ";"7575 "
"160 ";"22 ";"G 3/4''  ";"72 ";"56,0 ";"16 ";"46 ";"41 ";"36 ";"RZ-L-22-G 3/4''-wd-SC ";"173,56 ";"L ";"7576 "
"100 ";"28 ";"G 1''  ";"81 ";"64,0 ";"18 ";"55 ";"50 ";"41 ";"RZ-L-28-G 1''-wd-SC ";"234,64 ";"L ";"7577 "
"100 ";"35 ";"G 1 1/4''  ";"92 ";"70,0 ";"20 ";"60 ";"60 ";"50 ";"RZ-L-35-G 1 1/4''-wd-SC ";"338,62 ";"L ";"7578 "
"100 ";"42 ";"G 1 1/2''  ";"104 ";"71,5 ";"22 ";"70 ";"65 ";"60 ";"RZ-L-42-G 1 1/2''-wd-SC ";"477,27 ";"L ";"7579 "
"630 ";"6 ";"G 1/4''  ";"46 ";"31,5 ";"12 ";"19 ";"19 ";"17 ";"RZ-S-06-G 1/4''-wd-SC ";"59,24 ";"S ";"7580 "
"630 ";"8 ";"G 1/4''  ";"46 ";"31,5 ";"12 ";"22 ";"19 ";"19 ";"RZ-S-08-G 1/4''-wd-SC ";"61,8 ";"S ";"7581 "
"630 ";"10 ";"G 3/8''  ";"54 ";"38,0 ";"12 ";"27 ";"24 ";"22 ";"RZ-S-10-G 3/8''-wd-SC ";"72,14 ";"S ";"7582 "
"630 ";"12 ";"G 3/8''  ";"57 ";"41,0 ";"12 ";"30 ";"27 ";"24 ";"RZ-S-12-G 3/8''-wd-SC ";"77,53 ";"S ";"7583 "
"630 ";"14 ";"G 1/2''  ";"61 ";"43,5 ";"14 ";"32 ";"27 ";"27 ";"RZ-S-14-G 1/2''-wd-SC ";"88,48 ";"S ";"7584 "
"400 ";"16 ";"G 1/2''  ";"64 ";"46,0 ";"14 ";"36 ";"32 ";"30 ";"RZ-S-16-G 1/2''-wd-SC ";"106,38 ";"S ";"7585 "
"400 ";"20 ";"G 3/4''  ";"72 ";"50,0 ";"16 ";"46 ";"41 ";"36 ";"RZ-S-20-G 3/4''-wd-SC ";"168,05 ";"S ";"7586 "
"400 ";"25 ";"G 1''  ";"79 ";"54,5 ";"18 ";"50 ";"46 ";"46 ";"RZ-S-25-G 1''-wd-SC ";"215,19 ";"S ";"7587 "
"250 ";"30 ";"G 1 1/4''  ";"91 ";"64,0 ";"20 ";"60 ";"55 ";"50 ";"RZ-S-30-G 1 1/4''-wd-SC ";"310,94 ";"S ";"7588 "
"250 ";"38 ";"G 1 1/2''  ";"102 ";"71,5 ";"22 ";"70 ";"65 ";"60 ";"RZ-S-38-G 1 1/2''-wd-SC ";"419,79 ";"S ";"7589 "
