"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"12,0 ";"26,0 ";"19,0 ";"12 ";"14 ";"EVW-L-06-OMD ";"16,43 ";"L ";"6963 "
"315 ";"8 ";"M 14 x 1,5 ";"14,0 ";"27,5 ";"21,0 ";"12 ";"17 ";"EVW-L-08-OMD ";"16,6 ";"L ";"6964 "
"315 ";"10 ";"M 16 x 1,5 ";"15,0 ";"29,0 ";"22,0 ";"14 ";"19 ";"EVW-L-10-OMD ";"22,2 ";"L ";"6965 "
"315 ";"12 ";"M 18 x 1,5 ";"17,0 ";"29,5 ";"24,0 ";"17 ";"22 ";"EVW-L-12-OMD ";"25,92 ";"L ";"6966 "
"315 ";"15 ";"M 22 x 1,5 ";"21,0 ";"32,5 ";"28,0 ";"19 ";"27 ";"EVW-L-15-OMD ";"33,28 ";"L ";"6967 "
"315 ";"18 ";"M 26 x 1,5 ";"23,5 ";"35,5 ";"31,0 ";"24 ";"32 ";"EVW-L-18-OMD ";"46,7 ";"L ";"6968 "
"160 ";"22 ";"M 30 x 2 ";"27,5 ";"38,5 ";"35,0 ";"27 ";"36 ";"EVW-L-22-OMD ";"56,16 ";"L ";"6969 "
"160 ";"28 ";"M 36 x 2 ";"30,5 ";"43,5 ";"38,0 ";"36 ";"41 ";"EVW-L-28-OMD ";"79,74 ";"L ";"6970 "
"160 ";"35 ";"M 45 x 2 ";"34,5 ";"54,0 ";"45,0 ";"41 ";"50 ";"EVW-L-35-OMD ";"119,5 ";"L ";"6971 "
"160 ";"42 ";"M 52 x 2 ";"40,0 ";"56,0 ";"51,0 ";"50 ";"60 ";"EVW-L-42-OMD ";"174,53 ";"L ";"6972 "
"630 ";"6 ";"M 14 x 1,5 ";"16,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"EVW-S-06-OMD ";"18,94 ";"S ";"6973 "
"630 ";"8 ";"M 16 x 1,5 ";"17,0 ";"27,5 ";"24,0 ";"14 ";"19 ";"EVW-S-08-OMD ";"22,13 ";"S ";"6974 "
"630 ";"10 ";"M 18 x 1,5 ";"17,5 ";"30,0 ";"25,0 ";"17 ";"22 ";"EVW-S-10-OMD ";"25,61 ";"S ";"6975 "
"630 ";"12 ";"M 20 x 1,5 ";"21,5 ";"31,0 ";"29,0 ";"17 ";"24 ";"EVW-S-12-OMD ";"30,27 ";"S ";"6976 "
"630 ";"14 ";"M 22 x 1,5 ";"22,0 ";"35,0 ";"30,0 ";"19 ";"27 ";"EVW-S-14-OMD ";"35,94 ";"S ";"6977 "
"400 ";"16 ";"M 24 x 1,5 ";"24,5 ";"36,5 ";"33,0 ";"24 ";"30 ";"EVW-S-16-OMD ";"46,5 ";"S ";"6978 "
"400 ";"20 ";"M 30 x 2 ";"26,5 ";"44,5 ";"37,0 ";"27 ";"36 ";"EVW-S-20-OMD ";"57,5 ";"S ";"6979 "
"400 ";"25 ";"M 36 x 2 ";"30,0 ";"50,0 ";"42,0 ";"36 ";"46 ";"EVW-S-25-OMD ";"81,08 ";"S ";"6980 "
"400 ";"30 ";"M 42 x 2 ";"35,5 ";"55,0 ";"49,0 ";"41 ";"50 ";"EVW-S-30-OMD ";"119,72 ";"S ";"6981 "
"250 ";"38 ";"M 52 x 2 ";"41,0 ";"63,0 ";"57,0 ";"50 ";"60 ";"EVW-S-38-OMD ";"175,27 ";"S ";"6982 "
