"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"18 ";"85,0 ";"56,0 ";"14 ";"ESV-L-06-SC ";"18,79 ";"L ";"9494 "
"500 ";"8 ";"20 ";"85,0 ";"56,0 ";"17 ";"ESV-L-08-SC ";"20,67 ";"L ";"9495 "
"500 ";"10 ";"22 ";"87,0 ";"58,0 ";"19 ";"ESV-L-10-SC ";"24,4 ";"L ";"9496 "
"400 ";"12 ";"25 ";"87,0 ";"58,0 ";"22 ";"ESV-L-12-SC ";"27,45 ";"L ";"9497 "
"400 ";"15 ";"28 ";"100,0 ";"70,0 ";"27 ";"ESV-L-15-SC ";"39,89 ";"L ";"9498 "
"400 ";"18 ";"32 ";"101,0 ";"69,0 ";"32 ";"ESV-L-18-SC ";"52,88 ";"L ";"9499 "
"250 ";"22 ";"36 ";"105,0 ";"73,0 ";"36 ";"ESV-L-22-SC ";"77,66 ";"L ";"9500 "
"250 ";"28 ";"40 ";"106,0 ";"73,0 ";"41 ";"ESV-L-28-SC ";"98,59 ";"L ";"9501 "
"250 ";"35 ";"50 ";"114,0 ";"71,0 ";"50 ";"ESV-L-35-SC ";"127,6 ";"L ";"9502 "
"250 ";"42 ";"60 ";"115,0 ";"70,0 ";"60 ";"ESV-L-42-SC ";"185,04 ";"L ";"9503 "
"800 ";"6 ";"20 ";"89,0 ";"60,0 ";"17 ";"ESV-S-06-SC ";"21,84 ";"S ";"9504 "
"800 ";"8 ";"22 ";"89,0 ";"60,0 ";"19 ";"ESV-S-08-SC ";"24,86 ";"S ";"9505 "
"800 ";"10 ";"25 ";"91,0 ";"59,0 ";"22 ";"ESV-S-10-SC ";"29,24 ";"S ";"9506 "
"630 ";"12 ";"28 ";"91,0 ";"59,0 ";"24 ";"ESV-S-12-SC ";"34,56 ";"S ";"9507 "
"630 ";"14 ";"30 ";"107,0 ";"72,0 ";"27 ";"ESV-S-14-SC ";"49,01 ";"S ";"9508 "
"630 ";"16 ";"35 ";"107,0 ";"71,0 ";"30 ";"ESV-S-16-SC ";"58,65 ";"S ";"9509 "
"420 ";"20 ";"38 ";"114,0 ";"71,0 ";"36 ";"ESV-S-20-SC ";"95,79 ";"S ";"9510 "
"420 ";"25 ";"45 ";"120,0 ";"72,0 ";"46 ";"ESV-S-25-SC ";"105,7 ";"S ";"9511 "
"420 ";"30 ";"50 ";"126,0 ";"73,0 ";"50 ";"ESV-S-30-SC ";"131,03 ";"S ";"9512 "
"420 ";"38 ";"60 ";"133,0 ";"72,0 ";"60 ";"ESV-S-38-SC ";"187,68 ";"S ";"9513 "
