"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"34 ";"19,5 ";"12,5 ";"14 ";"14 ";"GAI-L-06-M 10x1 ";"14,11 ";"L ";"6491 "
"315 ";"8 ";"M 12 x 1,5 ";"39 ";"24,0 ";"17,0 ";"17 ";"17 ";"GAI-L-08-M 12x1,5 ";"16,62 ";"L ";"6492 "
"315 ";"10 ";"M 14 x 1,5 ";"40 ";"25,0 ";"17,0 ";"19 ";"19 ";"GAI-L-10-M 14x1,5 ";"19,45 ";"L ";"6493 "
"315 ";"12 ";"M 16 x 1,5 ";"41 ";"26,0 ";"17,0 ";"22 ";"22 ";"GAI-L-12-M 16x1,5 ";"23,16 ";"L ";"6494 "
"315 ";"15 ";"M 18 x 1,5 ";"43 ";"28,0 ";"17,0 ";"24 ";"27 ";"GAI-L-15-M 18x1,5 ";"32,85 ";"L ";"6495 "
"315 ";"18 ";"M 22 x 1,5 ";"46 ";"29,5 ";"19,0 ";"30 ";"32 ";"GAI-L-18-M 22x1,5 ";"35,59 ";"L ";"6496 "
"315 ";"18 ";"M 26 x 1,5 ";"46 ";"29,5 ";"19,0 ";"32 ";"32 ";"GAI-L-18-M 26x1,5 ";"42,8 ";"L ";"11881 "
"160 ";"22 ";"M 26 x 1,5 ";"51 ";"34,5 ";"21,0 ";"32 ";"36 ";"GAI-L-22-M 26x1,5 ";"42,08 ";"L ";"6497 "
"160 ";"28 ";"M 33 x 2 ";"54 ";"37,5 ";"24,0 ";"41 ";"41 ";"GAI-L-28-M 33x2 ";"61,36 ";"L ";"6498 "
"160 ";"35 ";"M 42 x 2 ";"62 ";"40,5 ";"26,0 ";"55 ";"50 ";"GAI-L-35-M 42x2 ";"103,79 ";"L ";"6499 "
"160 ";"42 ";"M 48 x 2 ";"65 ";"42,0 ";"28,0 ";"55 ";"60 ";"GAI-L-42-M 48x2 ";"137,74 ";"L ";"6500 "
"630 ";"6 ";"M 12 x 1,5 ";"41 ";"26,0 ";"17,0 ";"17 ";"17 ";"GAI-S-06-M 12x1,5 ";"16,82 ";"S ";"6501 "
"630 ";"8 ";"M 14 x 1,5 ";"41 ";"26,0 ";"17,0 ";"19 ";"19 ";"GAI-S-08-M 14x1,5 ";"19,15 ";"S ";"6502 "
"630 ";"10 ";"M 16 x 1,5 ";"43 ";"26,5 ";"17,0 ";"22 ";"22 ";"GAI-S-10-M 16x1,5 ";"23,32 ";"S ";"6503 "
"630 ";"12 ";"M 18 x 1,5 ";"44 ";"27,5 ";"17,0 ";"24 ";"24 ";"GAI-S-12-M 18x1,5 ";"27,56 ";"S ";"6504 "
"630 ";"14 ";"M 20 x 1,5 ";"49 ";"31,0 ";"19,0 ";"27 ";"27 ";"GAI-S-14-M 20x1,5 ";"33,49 ";"S ";"6505 "
"400 ";"16 ";"M 22 x 1,5 ";"49 ";"30,5 ";"19,0 ";"30 ";"30 ";"GAI-S-16-M 22x1,5 ";"36,76 ";"S ";"6506 "
"400 ";"20 ";"M 27 x 2 ";"56 ";"34,5 ";"22,0 ";"32 ";"36 ";"GAI-S-20-M 27x2 ";"47,04 ";"S ";"6507 "
"400 ";"25 ";"M 33 x 2 ";"61 ";"37,0 ";"24,0 ";"41 ";"46 ";"GAI-S-25-M 33x2 ";"65,96 ";"S ";"6508 "
"400 ";"30 ";"M 42 x 2 ";"68 ";"41,5 ";"26,0 ";"50 ";"50 ";"GAI-S-30-M 42x2 ";"108,4 ";"S ";"6509 "
"315 ";"38 ";"M 48 x 2 ";"74 ";"43,0 ";"28,0 ";"55 ";"60 ";"GAI-S-38-M 48x2 ";"140,1 ";"S ";"11885 "
