"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"7/16''-20 UNF ";"23,5 ";"9,0 ";"9,2 ";"17 ";"14 ";"8,92 x 1,83 ";"GE-L-06-7/16''-UNF-SC ";"23,03 ";"L ";"4865 "
"315 ";"6 ";"1/2''-20 UNF ";"28,0 ";"10,0 ";"9,2 ";"17 ";"14 ";"10,52 x 1,83 ";"GE-L-06-1/2''-UNF-SC ";"23,03 ";"L ";"4866 "
"315 ";"6 ";"9/16''-18 UNF ";"27,5 ";"10,0 ";"10,0 ";"19 ";"14 ";"11,90 x 1,98 ";"GE-L-06-9/16''-UNF-SC ";"23,03 ";"L ";"4867 "
"315 ";"8 ";"7/16''-20 UNF ";"25,0 ";"10,0 ";"9,2 ";"17 ";"17 ";"8,92 x 1,83 ";"GE-L-08-7/16''-UNF-SC ";"23,64 ";"L ";"4868 "
"315 ";"8 ";"1/2''-20 UNF ";"25,0 ";"10,0 ";"9,2 ";"17 ";"17 ";"10,52 x 1,83 ";"GE-L-08-1/2''-UNF-SC ";"23,64 ";"L ";"4869 "
"315 ";"8 ";"9/16''-18 UNF ";"25,0 ";"10,0 ";"10,0 ";"19 ";"17 ";"11,90 x 1,98 ";"GE-L-08-9/16''-UNF-SC ";"23,64 ";"L ";"4870 "
"315 ";"10 ";"7/16''-20 UNF ";"26,0 ";"11,0 ";"9,2 ";"17 ";"19 ";"8,92 x 1,83 ";"GE-L-10-7/16''-UNF-SC ";"24,2 ";"L ";"4871 "
"315 ";"10 ";"1/2''-20 UNF ";"26,0 ";"11,0 ";"9,2 ";"17 ";"19 ";"10,52 x 1,83 ";"GE-L-10-1/2''-UNF-SC ";"24,2 ";"L ";"4872 "
"315 ";"10 ";"9/16''-18 UNF ";"26,0 ";"11,0 ";"10,0 ";"19 ";"19 ";"11,90 x 1,98 ";"GE-L-10-9/16''-UNF-SC ";"24,2 ";"L ";"4873 "
"315 ";"10 ";"3/4''-16 UNF ";"30,5 ";"13,0 ";"11,2 ";"24 ";"19 ";"16,36 x 2,20 ";"GE-L-10-3/4''-UNF-SC ";"25,85 ";"L ";"4874 "
"315 ";"12 ";"9/16''-18 UNF ";"26,0 ";"12,5 ";"10,0 ";"19 ";"22 ";"11,90 x 1,98 ";"GE-L-12-9/16''-UNF-SC ";"24,2 ";"L ";"4875 "
"315 ";"12 ";"3/4''-16 UNF ";"27,0 ";"12,5 ";"11,2 ";"24 ";"22 ";"16,36 x 2,20 ";"GE-L-12-3/4''-UNF-SC ";"26,5 ";"L ";"4876 "
"315 ";"12 ";"7/8''-14 UNF ";"27,5 ";"13,5 ";"12,7 ";"27 ";"22 ";"19,18 x 2,46 ";"GE-L-12-7/8''-UNF-SC ";"27,2 ";"L ";"4877 "
"315 ";"15 ";"9/16''-18 UNF ";"29,0 ";"14,0 ";"10,0 ";"24 ";"27 ";"11,90 x 1,98 ";"GE-L-15-9/16''-UNF-SC ";"30,07 ";"L ";"4878 "
"315 ";"15 ";"3/4''-16 UNF ";"29,0 ";"14,0 ";"11,2 ";"24 ";"27 ";"16,36 x 2,20 ";"GE-L-15-3/4''-UNF-SC ";"28,27 ";"L ";"4879 "
"315 ";"15 ";"7/8''-14 UNF ";"29,0 ";"14,0 ";"12,7 ";"27 ";"27 ";"19,18 x 2,46 ";"GE-L-15-7/8''-UNF-SC ";"28,97 ";"L ";"4880 "
