"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"7/16''-20 UNF ";"8,92 x 1,83 ";"GE-S-06-7/16''-UNF-OMD ";"20,4 ";"S ";"4981 "
"630 ";"6 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-S-06-9/16''-UNF-OMD ";"21,11 ";"S ";"4982 "
"630 ";"8 ";"7/16''-20 UNF ";"8,92 x 1,83 ";"GE-S-08-7/16''-UNF-OMD ";"20,4 ";"S ";"4983 "
"630 ";"8 ";"1/2''-20 UNF ";"10,52 x 1,83 ";"GE-S-08-1/2''-UNF-OMD ";"20,4 ";"S ";"4984 "
"630 ";"8 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-S-08-9/16''-UNF-OMD ";"20,4 ";"S ";"4985 "
"630 ";"10 ";"7/16''-20 UNF ";"8,92 x 1,83 ";"GE-S-10-7/16''-UNF-OMD ";"26 ";"S ";"12195 "
"630 ";"10 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-S-10-9/16''-UNF-OMD ";"20,4 ";"S ";"4986 "
"630 ";"10 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-S-10-3/4''-UNF-OMD ";"22,05 ";"S ";"4987 "
"630 ";"12 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-S-12-9/16''-UNF-OMD ";"21,95 ";"S ";"4988 "
"630 ";"12 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-S-12-3/4''-UNF-OMD ";"22,05 ";"S ";"4989 "
"630 ";"12 ";"7/8''-14 UNF ";"19,18 x 2,46 ";"GE-S-12-7/8''-UNF-OMD ";"22,75 ";"S ";"4990 "
"630 ";"14 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-S-14-9/16''-UNF-OMD ";"34,4 ";"S ";"4991 "
"630 ";"14 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-S-14-3/4''-UNF-OMD ";"24,76 ";"S ";"4992 "
"400 ";"16 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-S-16-9/16''-UNF-OMD ";"35,3 ";"S ";"12196 "
"400 ";"16 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-S-16-3/4''-UNF-OMD ";"22,05 ";"S ";"4993 "
"400 ";"16 ";"7/8''-14 UNF ";"19,18 x 2,46 ";"GE-S-16-7/8''-UNF-OMD ";"23,85 ";"S ";"4994 "
"400 ";"16 ";"1 1/16''-12 UN ";"23,47 x 2,95 ";"GE-S-16-1 1/16''-UN-OMD ";"36,1 ";"S ";"4995 "
"400 ";"20 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-S-20-3/4''-UNF-OMD ";"36,1 ";"S ";"4996 "
"400 ";"20 ";"7/8''-14 UNF ";"19,18 x 2,46 ";"GE-S-20-7/8''-UNF-OMD ";"36,1 ";"S ";"4997 "
"400 ";"20 ";"1 1/16''-12 UN ";"23,47 x 2,95 ";"GE-S-20-1 1/16''-UN-OMD ";"36,1 ";"S ";"4998 "
"400 ";"20 ";"1 5/16''-12 UN ";"29,74 x 2,95 ";"GE-S-20-1 5/16''-UN-OMD ";"63,45 ";"S ";"4999 "
"400 ";"25 ";"1 1/16''-12 UN ";"23,47 x 2,95 ";"GE-S-25-1 1/16''-UN-OMD ";"53,95 ";"S ";"5000 "
"400 ";"25 ";"1 5/16''-12 UN ";"29,74 x 2,95 ";"GE-S-25-1 5/16''-UN-OMD ";"53,95 ";"S ";"5001 "
"400 ";"30 ";"1 1/16''-12 UN ";"23,47 x 2,95 ";"GE-S-30-1 1/16''-UN-OMD ";"160,03 ";"S ";"5002 "
"400 ";"30 ";"1 5/16''-12 UN ";"29,74 x 2,95 ";"GE-S-30-1 5/16''-UN-OMD ";"128 ";"S ";"5003 "
"400 ";"30 ";"1 5/8''-12 UN ";"37,46 x 3,00 ";"GE-S-30-1 5/8''-UN-OMD ";"128 ";"S ";"5004 "
"315 ";"38 ";"1 5/16''-12 UN ";"29,74 x 2,95 ";"GE-S-38-1 5/16''-UN-OMD ";"196,69 ";"S ";"11873 "
"315 ";"38 ";"1 5/8''-12 UN ";"37,46 x 3,00 ";"GE-S-38-1 5/8''-UN-OMD ";"169,4 ";"S ";"5005 "
"315 ";"38 ";"1 7/8''-12 UN ";"43,69 x 3,00 ";"GE-S-38-1 7/8''-UN-OMD ";"169,4 ";"S ";"11874 "
