"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16ì ";"1/8ì-27 NPT ";"21,0 ";"3,0 ";"11 ";"AGN-1/8''-DN 05 ";"13,5 ";"";"781 "
"06 ";"1/4ì ";"1/8ì-27 NPT ";"23,5 ";"4,0 ";"14 ";"AGN-1/8''-DN 06 ";"8,5 ";"";"782 "
"10 ";"3/8'' ";"1/8''-27 NPT ";"23,5 ";"5,0 ";"17 ";"AGN-1/8''-DN 10 ";"";"";"12165 "
"05 ";"3/16ì ";"1/4ì-18 NPT ";"26,5 ";"3,0 ";"14 ";"AGN-1/4''-DN 05 ";"13,6 ";"";"783 "
"06 ";"1/4ì ";"1/4ì-18 NPT ";"25,5 ";"4,0 ";"14 ";"AGN-1/4''-DN 06 ";"6,65 ";"";"784 "
"08 ";"5/16ì ";"1/4ì-18 NPT ";"29,5 ";"5,5 ";"14 ";"AGN-1/4''-DN 08 ";"7,07 ";"";"785 "
"10 ";"3/8ì ";"1/4ì-18 NPT ";"29,0 ";"7,0 ";"17 ";"AGN-1/4''-DN 10 ";"12 ";"";"786 "
"06 ";"1/4ì ";"3/8ì-18 NPT ";"29,0 ";"4,0 ";"19 ";"AGN-3/8''-DN 06 ";"9,5 ";"";"787 "
"08 ";"5/16ì ";"3/8ì-18 NPT ";"28,5 ";"5,5 ";"19 ";"AGN-3/8''-DN 08 ";"8,35 ";"";"788 "
"10 ";"3/8ì ";"3/8ì-18 NPT ";"29,5 ";"7,0 ";"19 ";"AGN-3/8''-DN 10 ";"7,95 ";"";"789 "
"12 ";"1/2ì ";"3/8ì-18 NPT ";"31,5 ";"9,5 ";"19 ";"AGN-3/8''-DN 12 ";"12 ";"";"790 "
"10 ";"3/8ì ";"1/2ì-14 NPT ";"33,5 ";"7,0 ";"22 ";"AGN-1/2''-DN 10 ";"11,85 ";"";"791 "
"12 ";"1/2ì ";"1/2ì-14 NPT ";"34,0 ";"9,5 ";"22 ";"AGN-1/2''-DN 12 ";"11,53 ";"";"792 "
"16 ";"5/8ì ";"1/2ì-14 NPT ";"35,5 ";"12,5 ";"24 ";"AGN-1/2''-DN 16 ";"11,68 ";"";"793 "
"19 ";"3/4ì ";"1/2ì-14 NPT ";"40,0 ";"14,5 ";"27 ";"AGN-1/2''-DN 19 ";"19,9 ";"";"794 "
"12 ";"1/2ì ";"3/4ì-14 NPT ";"35,5 ";"9,5 ";"27 ";"AGN-3/4''-DN 12 ";"19,6 ";"";"795 "
"16 ";"5/8ì ";"3/4ì-14 NPT ";"36,5 ";"12,5 ";"27 ";"AGN-3/4''-DN 16 ";"17,78 ";"";"796 "
"19 ";"3/4ì ";"3/4ì-14 NPT ";"38,5 ";"14,5 ";"27 ";"AGN-3/4''-DN 19 ";"16,95 ";"";"797 "
"25 ";"1ì ";"3/4ì-14 NPT ";"40,0 ";"15,0 ";"32 ";"AGN-3/4''-DN 25 ";"26,5 ";"";"798 "
"19 ";"3/4ì ";"1ì-11,5 NPT ";"43,5 ";"14,5 ";"36 ";"AGN-1''-DN 19 ";"32,83 ";"";"799 "
"25 ";"1ì ";"1ì-11,5 NPT ";"46,5 ";"20,0 ";"36 ";"AGN-1''-DN 25 ";"27,2 ";"";"800 "
"25 ";"1ì ";"1 1/4ì-11,5 NPT ";"46,0 ";"20,0 ";"46 ";"AGN-1 1/4''-DN 25 ";"55,45 ";"";"801 "
"31 ";"1 1/4ì ";"1 1/4ì-11,5 NPT ";"48,0 ";"25,5 ";"46 ";"AGN-1 1/4''-DN 31 ";"43,38 ";"";"802 "
"31 ";"1 1/4ì ";"1 1/2ì-11,5 NPT ";"44,0 ";"25,5 ";"50 ";"AGN-1 1/2''-DN 31 ";"63,66 ";"";"803 "
"38 ";"1 1/2ì ";"1 1/2ì-11,5 NPT ";"54,5 ";"31,5 ";"50 ";"AGN-1 1/2''-DN 38 ";"57,9 ";"";"804 "
"51 ";"2ì ";"2ì-11,5 NPT ";"56,0 ";"43,0 ";"65 ";"AGN-2''-DN 51 ";"97,65 ";"";"805 "
