"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"7/16''-20 ";"29,0 ";"29,0 ";"3,0 ";"17 ";"DKJ-7/16''-90∞-DN 05 ";"22,5 ";"";"608 "
"06 ";"1/4'' ";"7/16''-20 ";"27,5 ";"31,0 ";"4,0 ";"17 ";"DKJ-7/16''-90∞-DN 06 ";"21,7 ";"";"609 "
"05 ";"3/16'' ";"1/2''-20 ";"29,0 ";"29,0 ";"3,0 ";"17 ";"DKJ-1/2''-90∞-DN 05 ";"22,5 ";"";"610 "
"06 ";"1/4'' ";"1/2''-20 ";"27,5 ";"31,0 ";"4,0 ";"17 ";"DKJ-1/2''-90∞-DN 06 ";"21,7 ";"";"611 "
"08 ";"5/16'' ";"1/2''-20 ";"26,0 ";"32,0 ";"5,5 ";"17 ";"DKJ-1/2''-90∞-DN 08 ";"24,75 ";"";"612 "
"05 ";"3/16'' ";"9/16''-18 ";"29,0 ";"27,0 ";"3,0 ";"19 ";"DKJ-9/16''-90∞-DN 05 ";"26,5 ";"";"613 "
"06 ";"1/4'' ";"9/16''-18 ";"27,5 ";"26,0 ";"4,0 ";"19 ";"DKJ-9/16''-90∞-DN 06 ";"21,7 ";"";"614 "
"08 ";"5/16'' ";"9/16''-18 ";"35,5 ";"36,0 ";"5,5 ";"19 ";"DKJ-9/16''-90∞-DN 08 ";"24,75 ";"";"615 "
"10 ";"3/8'' ";"9/16''-18 ";"36,0 ";"35,0 ";"7,0 ";"19 ";"DKJ-9/16''-90∞-DN 10 ";"21,7 ";"";"616 "
"10 ";"3/8'' ";"3/4''-16 ";"36,0 ";"30,5 ";"7,0 ";"22 ";"DKJ-3/4''-90∞-DN 10 ";"21,78 ";"";"617 "
"12 ";"1/2'' ";"3/4''-16 ";"43,0 ";"45,0 ";"9,5 ";"24 ";"DKJ-3/4''-90∞-DN 12 ";"21,78 ";"";"618 "
"10 ";"3/8'' ";"7/8''-14 ";"42,5 ";"38,0 ";"7,0 ";"27 ";"DKJ-7/8''-90∞-DN 10 ";"25,05 ";"";"619 "
"12 ";"1/2'' ";"7/8''-14 ";"43,0 ";"46,5 ";"9,5 ";"27 ";"DKJ-7/8''-90∞-DN 12 ";"25,05 ";"";"620 "
"16 ";"5/8'' ";"7/8''-14 ";"56,5 ";"55,5 ";"12,5 ";"27 ";"DKJ-7/8''-90∞-DN 16 ";"26,75 ";"";"621 "
"12 ";"1/2'' ";"1 1/16''-12 ";"45,5 ";"60,5 ";"9,5 ";"32 ";"DKJ-1 1/16''-90∞-DN 12 ";"60,5 ";"";"622 "
"16 ";"5/8'' ";"1 1/16''-12 ";"58,0 ";"51,5 ";"12,5 ";"32 ";"DKJ-1 1/16''-90∞-DN 16 ";"28,45 ";"";"623 "
"19 ";"3/4'' ";"1 1/16''-12 ";"58,5 ";"61,5 ";"14,5 ";"32 ";"DKJ-1 1/16''-90∞-DN 19 ";"33,75 ";"";"624 "
"19 ";"3/4'' ";"1 5/16''-12 ";"68,0 ";"66,0 ";"14,5 ";"41 ";"DKJ-1 5/16''-90∞-DN 19 ";"60,05 ";"";"625 "
"25 ";"1'' ";"1 5/16''-12 ";"80,0 ";"73,5 ";"20,0 ";"41 ";"DKJ-1 5/16''-90∞-DN 25 ";"46,32 ";"";"626 "
"25 ";"1'' ";"1 5/8''-12 ";"105,0 ";"94,5 ";"20,0 ";"50 ";"DKJ-1 5/8''-90∞-DN 25 ";"125,9 ";"";"627 "
"31 ";"1 1/4'' ";"1 5/8''-12 ";"101,0 ";"94,0 ";"25,0 ";"50 ";"DKJ-1 5/8''-90∞-DN 31 ";"100,2 ";"";"628 "
"31 ";"1 1/4'' ";"1 7/8''-12 ";"127,0 ";"95,0 ";"25,0 ";"55 ";"DKJ-1 7/8''-90∞-DN 31 ";"159 ";"";"629 "
"38 ";"1 1/2'' ";"1 7/8''-12 ";"104,5 ";"103,0 ";"31,5 ";"55 ";"DKJ-1 7/8''-90∞-DN 38 ";"135,5 ";"";"630 "
"38 ";"1 1/2'' ";"2 1/2''-12 ";"121,0 ";"123,0 ";"31,5 ";"70 ";"DKJ-2 1/2''-90∞-DN 38 ";"389 ";"";"631 "
"51 ";"2'' ";"2 1/2''-12 ";"149,0 ";"150,0 ";"42,0 ";"70 ";"DKJ-2 1/2''-90∞-DN 51 ";"340 ";"";"632 "
