"Gewicht  Weight  kg";"    DN";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    RA";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"0,3 ";"5 ";"100 ";"M 14 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"73 ";"36 ";"M 5 ";"6 ";"22 ";"9 ";"RKH-06-S-4446 ";"";"";"10065 "
"0,35 ";"5 ";"100 ";"M 16 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"73 ";"36 ";"M 5 ";"8 ";"22 ";"9 ";"RKH-08-S-4446 ";"";"";"10066 "
"0,35 ";"6 ";"100 ";"M 18 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"73 ";"36 ";"M 5 ";"10 ";"22 ";"9 ";"RKH-10-S-4446 ";"";"";"10067 "
"0,35 ";"8 ";"100 ";"M 20 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"76 ";"36 ";"M 5 ";"12 ";"22 ";"9 ";"RKH-12-S-4446 ";"";"";"10068 "
"0,5 ";"10 ";"100 ";"M 22 x 1,5 ";"42 ";"49,5 ";"38 ";"8,0 ";"16,5 ";"14 ";"84 ";"43 ";"M 5 ";"14 ";"27 ";"9 ";"RKH-14-S-4446 ";"";"";"10069 "
"0,6 ";"13 ";"100 ";"M 24 x 1,5 ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"14 ";"87 ";"48 ";"M 5 ";"16 ";"30 ";"9 ";"RKH-16-S-4446 ";"";"";"10070 "
"0,65 ";"13 ";"100 ";"M 30 x 2 ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"16 ";"91 ";"48 ";"M 5 ";"20 ";"30 ";"9 ";"RKH-20-S-4446 ";"";"";"10071 "
"1,5 ";"20 ";"100 ";"M 36 x 2 ";"60 ";"73,0 ";"57 ";"12,0 ";"24,5 ";"18 ";"110 ";"62 ";"M 6 ";"25 ";"41 ";"14 ";"RKH-25-S-4446 ";"";"";"10072 "
"1,9 ";"24 ";"100 ";"M 42 x 2 ";"65 ";"79,0 ";"63 ";"12,0 ";"28,0 ";"20 ";"120 ";"66 ";"M 6 ";"30 ";"46 ";"14 ";"RKH-30-S-4446 ";"";"";"10073 "
"3,7 ";"32 ";"100 ";"M 52 x 2 ";"90 ";"104,0 ";"84 ";"13,5 ";"38,0 ";"22 ";"140 ";"81 ";"M 8 ";"38 ";"60 ";"17 ";"RKH-38-S-4446 ";"";"";"10074 "
