"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EL-DKOL-06-G 1/8''-wd ";"43,53 ";"L ";"9030 "
"500 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"19 ";"12 ";"17 ";"EL-DKOL-08-G 1/4''-wd ";"45,9 ";"L ";"9031 "
"500 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EL-DKOL-10-G 1/4''-wd ";"56,59 ";"L ";"9032 "
"400 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EL-DKOL-12-G 3/8''-wd ";"61,5 ";"L ";"9033 "
"400 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,5 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"EL-DKOL-15-G 1/2''-wd ";"83,36 ";"L ";"9034 "
"400 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EL-DKOL-18-G 1/2''-wd ";"107,35 ";"L ";"9035 "
"250 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EL-DKOL-22-G 3/4''-wd ";"135,88 ";"L ";"9036 "
"250 ";"28 ";"G 1'' ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"EL-DKOL-28-G 1''-wd ";"221,78 ";"L ";"9037 "
"250 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"68,5 ";"51,0 ";"20 ";"50 ";"41 ";"50 ";"EL-DKOL-35-G 1 1/4''-wd ";"328,1 ";"L ";"9038 "
"250 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EL-DKOL-42-G 1 1/2''-wd ";"455,75 ";"L ";"9039 "
"800 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"EL-DKOS-06-G 1/4''-wd ";"47,5 ";"S ";"9040 "
"800 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EL-DKOS-08-G 1/4''-wd ";"50,11 ";"S ";"9041 "
"800 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EL-DKOS-10-G 3/8''-wd ";"62,43 ";"S ";"9042 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"EL-DKOS-12-G 3/8''-wd ";"68,26 ";"S ";"9043 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EL-DKOS-14-G 1/2''-wd ";"87,36 ";"S ";"9044 "
"630 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EL-DKOS-16-G 1/2''-wd ";"110,93 ";"S ";"9045 "
"420 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EL-DKOS-20-G 3/4''-wd ";"141,17 ";"S ";"9046 "
"420 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EL-DKOS-25-G 1''-wd ";"235,5 ";"S ";"9047 "
"420 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EL-DKOS-30-G 1 1/4''-wd ";"339,84 ";"S ";"9048 "
"420 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EL-DKOS-38-G 1 1/2''-wd ";"462,93 ";"S ";"9049 "
