"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"8 ";"M 22 x 1,5 ";"29,0 ";"13,0 ";"14 ";"27 ";"17 ";"GE-L-08-M 22x1,5-wd ";"";"";"12330 "
"500 ";"6 ";"M 10 x 1 ";"23,0 ";"8,5 ";"8 ";"14 ";"14 ";"GE-L-06-M 10x1-wd ";"7,93 ";"L ";"4199 "
"500 ";"6 ";"M 12 x 1,5 ";"27,0 ";"10,0 ";"12 ";"17 ";"14 ";"GE-L-06-M 12x1,5-wd ";"10,44 ";"L ";"4200 "
"500 ";"6 ";"M 14 x 1,5 ";"27,0 ";"10,0 ";"12 ";"19 ";"14 ";"GE-L-06-M 14x1,5-wd ";"10,95 ";"L ";"4201 "
"500 ";"8 ";"M 10 x 1 ";"26,0 ";"9,5 ";"8 ";"17 ";"17 ";"GE-L-08-M 10x1-wd ";"10,98 ";"L ";"4202 "
"500 ";"8 ";"M 12 x 1,5 ";"25,0 ";"10,0 ";"12 ";"17 ";"17 ";"GE-L-08-M 12x1,5-wd ";"9,92 ";"L ";"4203 "
"500 ";"8 ";"M 14 x 1,5 ";"27,0 ";"10,0 ";"12 ";"19 ";"17 ";"GE-L-08-M 14x1,5-wd ";"11,15 ";"L ";"4204 "
"400 ";"8 ";"M 16 x 1,5 ";"27,5 ";"11,5 ";"12 ";"22 ";"17 ";"GE-L-08-M 16x1,5-wd ";"13,98 ";"L ";"4205 "
"400 ";"8 ";"M 18 x 1,5 ";"27,5 ";"11,5 ";"12 ";"24 ";"17 ";"GE-L-08-M 18x1,5-wd ";"16,9 ";"L ";"4206 "
"500 ";"10 ";"M 10 x 1 ";"28,5 ";"11,0 ";"8 ";"17 ";"19 ";"GE-L-10-M 10x1-wd ";"13,2 ";"L ";"4207 "
"500 ";"10 ";"M 12 x 1,5 ";"28,5 ";"11,5 ";"12 ";"17 ";"19 ";"GE-L-10-M 12x1,5-wd ";"14,06 ";"L ";"4208 "
"500 ";"10 ";"M 14 x 1,5 ";"26,0 ";"11,0 ";"12 ";"19 ";"19 ";"GE-L-10-M 14x1,5-wd ";"10,38 ";"L ";"4209 "
"400 ";"10 ";"M 16 x 1,5 ";"30,0 ";"12,5 ";"12 ";"22 ";"19 ";"GE-L-10-M 16x1,5-wd ";"15,7 ";"L ";"4210 "
"400 ";"10 ";"M 18 x 1,5 ";"30,0 ";"12,5 ";"12 ";"24 ";"19 ";"GE-L-10-M 18x1,5-wd ";"16,57 ";"L ";"4211 "
"400 ";"10 ";"M 22 x 1,5 ";"31,5 ";"14,0 ";"14 ";"27 ";"19 ";"GE-L-10-M 22x1,5-wd ";"22,95 ";"L ";"4212 "
"400 ";"12 ";"M 12 x 1,5 ";"28,0 ";"13,0 ";"12 ";"19 ";"22 ";"GE-L-12-M 12x1,5-wd ";"15,5 ";"L ";"4213 "
"400 ";"12 ";"M 14 x 1,5 ";"28,0 ";"12,5 ";"12 ";"19 ";"22 ";"GE-L-12-M 14x1,5-wd ";"15,4 ";"L ";"4214 "
"400 ";"12 ";"M 16 x 1,5 ";"27,0 ";"12,5 ";"12 ";"22 ";"22 ";"GE-L-12-M 16x1,5-wd ";"12,99 ";"L ";"4215 "
"400 ";"12 ";"M 18 x 1,5 ";"30,0 ";"12,5 ";"12 ";"24 ";"22 ";"GE-L-12-M 18x1,5-wd ";"17,07 ";"L ";"4216 "
"400 ";"12 ";"M 22 x 1,5 ";"32,0 ";"14,0 ";"14 ";"27 ";"22 ";"GE-L-12-M 22x1,5-wd ";"23,21 ";"L ";"4217 "
"400 ";"15 ";"M 16 x 1,5 ";"32,0 ";"13,5 ";"12 ";"24 ";"27 ";"GE-L-15-M 16x1,5-wd ";"17,28 ";"L ";"4218 "
"400 ";"15 ";"M 18 x 1,5 ";"29,0 ";"13,5 ";"12 ";"24 ";"27 ";"GE-L-15-M 18x1,5-wd ";"16,34 ";"L ";"4219 "
"400 ";"15 ";"M 22 x 1,5 ";"33,0 ";"15,0 ";"14 ";"27 ";"27 ";"GE-L-15-M 22x1,5-wd ";"23,21 ";"L ";"4220 "
"400 ";"18 ";"M 18 x 1,5 ";"33,0 ";"14,0 ";"12 ";"27 ";"32 ";"GE-L-18-M 18x1,5-wd ";"23,87 ";"L ";"4221 "
"400 ";"18 ";"M 22 x 1,5 ";"31,0 ";"14,5 ";"14 ";"27 ";"32 ";"GE-L-18-M 22x1,5-wd ";"22,7 ";"L ";"4222 "
"250 ";"18 ";"M 26 x 1,5 ";"34,5 ";"14,5 ";"16 ";"32 ";"32 ";"GE-L-18-M 26x1,5-wd ";"32,9 ";"L ";"4223 "
