"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"M 12 x 1,5 ";"32,0 ";"19,0 ";"10,0 ";"12 ";"14 ";"EVGE-L-06-1/8''-NPT-SC ";"11,44 ";"L ";"6130 "
"315 ";"6 ";"1/4'' NPT ";"M 12 x 1,5 ";"40,0 ";"19,0 ";"15,0 ";"14 ";"14 ";"EVGE-L-06-1/4''-NPT-SC ";"12,8 ";"L ";"6131 "
"315 ";"8 ";"1/4'' NPT ";"M 14 x 1,5 ";"40,5 ";"20,0 ";"15,0 ";"14 ";"17 ";"EVGE-L-08-1/4''-NPT-SC ";"12,92 ";"L ";"6132 "
"315 ";"10 ";"1/4'' NPT ";"M 16 x 1,5 ";"40,0 ";"20,5 ";"15,0 ";"14 ";"19 ";"EVGE-L-10-1/4''-NPT-SC ";"14,12 ";"L ";"6133 "
"315 ";"12 ";"1/4'' NPT ";"M 18 x 1,5 ";"42,0 ";"22,0 ";"15,0 ";"14 ";"22 ";"EVGE-L-12-1/4''-NPT-SC ";"15,87 ";"L ";"6134 "
"315 ";"12 ";"3/8'' NPT ";"M 18 x 1,5 ";"43,0 ";"22,0 ";"15,3 ";"19 ";"22 ";"EVGE-L-12-3/8''-NPT-SC ";"17,33 ";"L ";"6135 "
"315 ";"12 ";"1/2'' NPT ";"M 18 x 1,5 ";"50,0 ";"22,0 ";"20,0 ";"22 ";"22 ";"EVGE-L-12-1/2''-NPT-SC ";"17,56 ";"L ";"6136 "
"315 ";"15 ";"3/8'' NPT ";"M 22 x 1,5 ";"43,0 ";"22,0 ";"15,3 ";"19 ";"27 ";"EVGE-L-15-3/8''-NPT-SC ";"19,44 ";"L ";"6137 "
"315 ";"15 ";"1/2'' NPT ";"M 22 x 1,5 ";"48,0 ";"22,0 ";"20,0 ";"22 ";"27 ";"EVGE-L-15-1/2''-NPT-SC ";"23,76 ";"L ";"6138 "
"315 ";"18 ";"1/2'' NPT ";"M 26 x 1,5 ";"50,0 ";"24,0 ";"20,0 ";"22 ";"32 ";"EVGE-L-18-1/2''-NPT-SC ";"37,33 ";"L ";"6139 "
"160 ";"22 ";"3/4'' NPT ";"M 30 x 2 ";"52,0 ";"24,5 ";"20,0 ";"27 ";"36 ";"EVGE-L-22-3/4''-NPT-SC ";"45,58 ";"L ";"6140 "
"160 ";"28 ";"1'' NPT ";"M 36 x 2 ";"58,0 ";"25,5 ";"25,0 ";"36 ";"41 ";"EVGE-L-28-1''-NPT-SC ";"71,03 ";"L ";"6141 "
"160 ";"35 ";"1 1/4'' NPT ";"M 45 x 2 ";"66,0 ";"32,0 ";"25,5 ";"46 ";"50 ";"EVGE-L-35-1 1/4''-NPT-SC ";"118,76 ";"L ";"6142 "
"160 ";"42 ";"1 1/2'' NPT ";"M 52 x 2 ";"68,0 ";"32,0 ";"26,0 ";"50 ";"60 ";"EVGE-L-42-1 1/2''-NPT-SC ";"129,59 ";"L ";"6143 "
"630 ";"6 ";"1/4'' NPT ";"M 14 x 1,5 ";"40,0 ";"19,0 ";"15,0 ";"14 ";"17 ";"EVGE-S-06-1/4''-NPT-SC ";"14,09 ";"S ";"6144 "
"630 ";"8 ";"1/4'' NPT ";"M 16 x 1,5 ";"40,5 ";"20,0 ";"15,0 ";"14 ";"19 ";"EVGE-S-08-1/4''-NPT-SC ";"14,76 ";"S ";"6145 "
"630 ";"10 ";"1/4'' NPT ";"M 18 x 1,5 ";"40,0 ";"20,5 ";"15,0 ";"14 ";"22 ";"EVGE-S-10-1/4''-NPT-SC ";"15,82 ";"S ";"6146 "
"630 ";"10 ";"3/8'' NPT ";"M 18 x 1,5 ";"43,0 ";"22,0 ";"15,3 ";"19 ";"22 ";"EVGE-S-10-3/8''-NPT-SC ";"17,69 ";"S ";"6147 "
"630 ";"12 ";"1/4'' NPT ";"M 20 x 1,5 ";"42,0 ";"22,0 ";"15,0 ";"14 ";"24 ";"EVGE-S-12-1/4''-NPT-SC ";"21,14 ";"S ";"6148 "
"630 ";"12 ";"3/8'' NPT ";"M 20 x 1,5 ";"43,0 ";"22,0 ";"15,3 ";"19 ";"24 ";"EVGE-S-12-3/8''-NPT-SC ";"22,16 ";"S ";"6149 "
"630 ";"12 ";"1/2'' NPT ";"M 20 x 1,5 ";"50,0 ";"22,0 ";"20,0 ";"22 ";"24 ";"EVGE-S-12-1/2''-NPT-SC ";"23,95 ";"S ";"6150 "
"630 ";"14 ";"1/2'' NPT ";"M 22 x 1,5 ";"48,5 ";"24,5 ";"20,0 ";"22 ";"27 ";"EVGE-S-14-1/2''-NPT-SC ";"27,23 ";"S ";"6151 "
"400 ";"16 ";"1/2'' NPT ";"M 24 x 1,5 ";"54,0 ";"24,0 ";"20,0 ";"22 ";"30 ";"EVGE-S-16-1/2''-NPT-SC ";"38,48 ";"S ";"6152 "
"400 ";"20 ";"3/4'' NPT ";"M 30 x 2 ";"58,0 ";"29,0 ";"20,0 ";"27 ";"36 ";"EVGE-S-20-3/4''-NPT-SC ";"49,1 ";"S ";"6153 "
"400 ";"25 ";"1'' NPT ";"M 36 x 2 ";"68,0 ";"33,0 ";"25,0 ";"36 ";"46 ";"EVGE-S-25-1''-NPT-SC ";"79,18 ";"S ";"6154 "
"400 ";"30 ";"1 1/4'' NPT ";"M 42 x 2 ";"73,0 ";"34,0 ";"25,5 ";"46 ";"50 ";"EVGE-S-30-1 1/4''-NPT-SC ";"129,43 ";"S ";"6155 "
"315 ";"38 ";"1 1/2'' NPT ";"M 52 x 2 ";"81,0 ";"40,0 ";"26,0 ";"50 ";"60 ";"EVGE-S-38-1 1/2''-NPT-SC ";"142,16 ";"S ";"6156 "
