"Druck  Pressure  PN";"Gewinde  Thread  G = BSPT";"Gewinde  Thread  G1 = BSPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/4''-19 ";"1/8''-28 ";"26,0 ";"12 ";"8 ";"5,0 ";"5,0 ";"14 ";"1070710-04-02 ";"12 ";"";"1591 "
"400 ";"3/8''-19 ";"1/4''-19 ";"31,0 ";"12 ";"12 ";"8,0 ";"8,0 ";"19 ";"1070710-06-04 ";"10,9 ";"";"1592 "
"400 ";"1/2''-14 ";"3/8''-19 ";"34,0 ";"14 ";"12 ";"11,5 ";"8,0 ";"22 ";"1070710-08-06 ";"11,5 ";"";"1593 "
"400 ";"3/4''-14 ";"1/2''-14 ";"39,0 ";"16 ";"14 ";"18,0 ";"13,5 ";"27 ";"1070710-12-08 ";"18,9 ";"";"1594 "
"400 ";"1''-11 ";"3/4''-14 ";"45,0 ";"18 ";"19 ";"22,5 ";"17,0 ";"36 ";"1070710-16-12 ";"29 ";"";"1595 "
"200 ";"1 1/4''-11 ";"1''-11 ";"50,0 ";"20 ";"18 ";"29,0 ";"22,5 ";"46 ";"1070710-20-16 ";"45 ";"";"1596 "
"200 ";"1 1/2''-11 ";"1 1/4''-11 ";"56,0 ";"22 ";"20 ";"33,5 ";"29,0 ";"50 ";"1070710-24-20 ";"63,9 ";"";"1597 "
