"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"8 ";"6 ";"M 14 x 1,5 ";"38 ";"23,5 ";"12 ";"17 ";"14 ";"RED-DKOL-08/06-SC ";"16,43 ";"L ";"9135 "
"500 ";"10 ";"6 ";"M 16 x 1,5 ";"40 ";"25,0 ";"14 ";"19 ";"14 ";"RED-DKOL-10/06-SC ";"17,04 ";"L ";"9136 "
"500 ";"10 ";"8 ";"M 16 x 1,5 ";"40 ";"25,0 ";"14 ";"19 ";"17 ";"RED-DKOL-10/08-SC ";"18,18 ";"L ";"9137 "
"400 ";"12 ";"6 ";"M 18 x 1,5 ";"40 ";"25,0 ";"17 ";"22 ";"14 ";"RED-DKOL-12/06-SC ";"22,31 ";"L ";"9138 "
"400 ";"12 ";"8 ";"M 18 x 1,5 ";"40 ";"25,0 ";"17 ";"22 ";"17 ";"RED-DKOL-12/08-SC ";"22,94 ";"L ";"9139 "
"400 ";"12 ";"10 ";"M 18 x 1,5 ";"41 ";"26,0 ";"17 ";"22 ";"19 ";"RED-DKOL-12/10-SC ";"24,93 ";"L ";"9140 "
"400 ";"15 ";"6 ";"M 22 x 1,5 ";"43 ";"28,5 ";"19 ";"27 ";"14 ";"RED-DKOL-15/06-SC ";"25,27 ";"L ";"9141 "
"400 ";"15 ";"8 ";"M 22 x 1,5 ";"43 ";"28,5 ";"19 ";"27 ";"17 ";"RED-DKOL-15/08-SC ";"26 ";"L ";"9142 "
"400 ";"15 ";"10 ";"M 22 x 1,5 ";"44 ";"29,5 ";"19 ";"27 ";"19 ";"RED-DKOL-15/10-SC ";"26,52 ";"L ";"9143 "
"400 ";"15 ";"12 ";"M 22 x 1,5 ";"44 ";"29,5 ";"19 ";"27 ";"22 ";"RED-DKOL-15/12-SC ";"27,66 ";"L ";"9144 "
"400 ";"18 ";"6 ";"M 26 x 1,5 ";"43 ";"28,0 ";"24 ";"32 ";"14 ";"RED-DKOL-18/06-SC ";"28,95 ";"L ";"9145 "
