"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EVL-L-06-G 1/8'' ";"33,74 ";"L ";"7352 "
"315 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"19 ";"12 ";"17 ";"EVL-L-08-G 1/4'' ";"37,95 ";"L ";"7353 "
"315 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EVL-L-10-G 1/4'' ";"42,5 ";"L ";"7354 "
"315 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EVL-L-12-G 3/8'' ";"50,05 ";"L ";"7355 "
"315 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,5 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"EVL-L-15-G 1/2'' ";"67,66 ";"L ";"7356 "
"315 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EVL-L-18-G 1/2'' ";"105,3 ";"L ";"7357 "
"160 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EVL-L-22-G 3/4'' ";"115,43 ";"L ";"7358 "
"160 ";"28 ";"G 1'' ";"47 ";"30,5 ";"61,0 ";"43,5 ";"18 ";"41 ";"36 ";"41 ";"EVL-L-28-G 1'' ";"198,26 ";"L ";"7359 "
"160 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"71,5 ";"54,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-L-35-G 1 1/4'' ";"285,66 ";"L ";"7360 "
"160 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-L-42-G 1 1/2'' ";"376,5 ";"L ";"7361 "
"630 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"EVL-S-06-G 1/4'' ";"36,23 ";"S ";"7362 "
"630 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EVL-S-08-G 1/4'' ";"40,83 ";"S ";"7363 "
"630 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EVL-S-10-G 3/8'' ";"52,61 ";"S ";"7364 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"EVL-S-12-G 3/8'' ";"58,13 ";"S ";"7365 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EVL-S-14-G 1/2'' ";"69,97 ";"S ";"7366 "
"400 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EVL-S-16-G 1/2'' ";"107,35 ";"S ";"7367 "
"400 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EVL-S-20-G 3/4'' ";"132,99 ";"S ";"7368 "
"400 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EVL-S-25-G 1'' ";"214,69 ";"S ";"7369 "
"400 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-S-30-G 1 1/4'' ";"265,62 ";"S ";"7370 "
"250 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-S-38-G 1 1/2'' ";"374,68 ";"S ";"7371 "
