"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"R 1/8'' keg ";"15,0 ";"22,0 ";"8 ";"12 ";"GE-L-06-R 1/8''-k-OMD ";"8,12 ";"L ";"4688 "
"315 ";"6 ";"R 1/4'' keg ";"20,0 ";"27,0 ";"12 ";"17 ";"GE-L-06-R 1/4''-k-OMD ";"7,84 ";"L ";"4689 "
"315 ";"6 ";"R 3/8'' keg ";"21,0 ";"27,0 ";"12 ";"17 ";"GE-L-06-R 3/8''-k-OMD ";"9,45 ";"L ";"4690 "
"315 ";"6 ";"R 1/2'' keg ";"23,0 ";"30,0 ";"14 ";"22 ";"GE-L-06-R 1/2''-k-OMD ";"13 ";"L ";"4691 "
"315 ";"8 ";"R 1/8'' keg ";"16,0 ";"23,0 ";"8 ";"14 ";"GE-L-08-R 1/8''-k-OMD ";"8,35 ";"L ";"4692 "
"315 ";"8 ";"R 1/4'' keg ";"20,0 ";"27,0 ";"12 ";"17 ";"GE-L-08-R 1/4''-k-OMD ";"7,6 ";"L ";"4693 "
"315 ";"8 ";"R 3/8'' keg ";"20,0 ";"27,0 ";"12 ";"17 ";"GE-L-08-R 3/8''-k-OMD ";"9,29 ";"L ";"4694 "
"315 ";"8 ";"R 1/2'' keg ";"22,0 ";"30,0 ";"14 ";"22 ";"GE-L-08-R 1/2''-k-OMD ";"13,25 ";"L ";"4695 "
"315 ";"10 ";"R 1/8'' keg ";"17,0 ";"24,0 ";"8 ";"17 ";"GE-L-10-R 1/8''-k-OMD ";"9,37 ";"L ";"4696 "
"315 ";"10 ";"R 1/4'' keg ";"21,0 ";"28,0 ";"12 ";"17 ";"GE-L-10-R 1/4''-k-OMD ";"8,71 ";"L ";"4697 "
"315 ";"10 ";"R 3/8'' keg ";"21,0 ";"28,0 ";"12 ";"17 ";"GE-L-10-R 3/8''-k-OMD ";"9,22 ";"L ";"4698 "
"315 ";"10 ";"R 1/2'' keg ";"24,0 ";"31,0 ";"14 ";"22 ";"GE-L-10-R 1/2''-k-OMD ";"14,08 ";"L ";"4699 "
"315 ";"12 ";"R 1/8'' keg ";"18,0 ";"25,0 ";"8 ";"19 ";"GE-L-12-R 1/8''-k-OMD ";"11,86 ";"L ";"4700 "
"315 ";"12 ";"R 1/4'' keg ";"22,0 ";"29,0 ";"12 ";"19 ";"GE-L-12-R 1/4''-k-OMD ";"10,81 ";"L ";"4701 "
"315 ";"12 ";"R 3/8'' keg ";"22,0 ";"29,0 ";"12 ";"19 ";"GE-L-12-R 3/8''-k-OMD ";"10,81 ";"L ";"4702 "
"315 ";"12 ";"R 1/2'' keg ";"24,0 ";"31,0 ";"14 ";"22 ";"GE-L-12-R 1/2''-k-OMD ";"12,73 ";"L ";"4703 "
"160 ";"12 ";"R 3/4'' keg ";"27,0 ";"34,0 ";"16 ";"27 ";"GE-L-12-R 3/4''-k-OMD ";"21,76 ";"L ";"4704 "
"315 ";"15 ";"R 1/4'' keg ";"26,0 ";"33,0 ";"12 ";"24 ";"GE-L-15-R 1/4''-k-OMD ";"14,76 ";"L ";"4705 "
"315 ";"15 ";"R 3/8'' keg ";"23,0 ";"30,0 ";"12 ";"24 ";"GE-L-15-R 3/8''-k-OMD ";"13,73 ";"L ";"4706 "
"315 ";"15 ";"R 1/2'' keg ";"25,0 ";"32,0 ";"14 ";"24 ";"GE-L-15-R 1/2''-k-OMD ";"13,68 ";"L ";"4707 "
"160 ";"15 ";"R 3/4'' keg ";"28,0 ";"35,0 ";"16,0 ";"27 ";"GE-L-15-R 3/4''-k-OMD ";"21,36 ";"L ";"4708 "
"315 ";"18 ";"R 3/8'' keg ";"23,5 ";"31,0 ";"12 ";"27 ";"GE-L-18-R 3/8''-k-OMD ";"15,92 ";"L ";"4709 "
"315 ";"18 ";"R 1/2'' keg ";"25,5 ";"33,0 ";"14 ";"27 ";"GE-L-18-R 1/2''-k-OMD ";"15,92 ";"L ";"4710 "
"160 ";"18 ";"R 3/4'' keg ";"27,5 ";"35,0 ";"16 ";"27 ";"GE-L-18-R 3/4''-k-OMD ";"23,28 ";"L ";"4711 "
"160 ";"22 ";"R 3/8'' keg ";"25,5 ";"33,0 ";"12 ";"32 ";"GE-L-22-R 3/8''-k-OMD ";"24,41 ";"L ";"4712 "
"160 ";"22 ";"R 1/2'' keg ";"25,5 ";"35,0 ";"14 ";"32 ";"GE-L-22-R 1/2''-k-OMD ";"22,67 ";"L ";"4713 "
"160 ";"22 ";"R 3/4'' keg ";"29,5 ";"37,0 ";"16 ";"32 ";"GE-L-22-R 3/4''-k-OMD ";"22,67 ";"L ";"4714 "
"160 ";"22 ";"R 1'' keg ";"31,5 ";"39,5 ";"18 ";"36 ";"GE-L-22-R 1''-k-OMD ";"43,12 ";"L ";"4715 "
"160 ";"28 ";"R 1/2'' keg ";"28,5 ";"36,0 ";"14 ";"41 ";"GE-L-28-R 1/2''-k-OMD ";"39,09 ";"L ";"4716 "
"160 ";"28 ";"R 3/4'' keg ";"30,5 ";"38,0 ";"16 ";"41 ";"GE-L-28-R 3/4''-k-OMD ";"39,09 ";"L ";"4717 "
"160 ";"28 ";"R 1'' keg ";"32,5 ";"40,0 ";"18 ";"41 ";"GE-L-28-R 1''-k-OMD ";"39,09 ";"L ";"4718 "
"160 ";"28 ";"R 1 1/4'' keg ";"30,5 ";"38,0 ";"15 ";"46 ";"GE-L-28-R 1 1/4''-k-OMD ";"57,75 ";"L ";"4719 "
"160 ";"35 ";"R 1'' keg ";"27,5 ";"42,0 ";"18 ";"46 ";"GE-L-35-R 1''-k-OMD ";"52,52 ";"L ";"4720 "
"160 ";"35 ";"R 1 1/4'' keg ";"34,5 ";"45,0 ";"20 ";"46 ";"GE-L-35-R 1 1/4''-k-OMD ";"52,52 ";"L ";"4721 "
"160 ";"35 ";"R 1 1/2'' keg ";"37,5 ";"48,0 ";"22 ";"50 ";"GE-L-35-R 1 1/2''-k-OMD ";"63,25 ";"L ";"4722 "
"160 ";"42 ";"R 1 1/4'' keg ";"31,0 ";"42,0 ";"20 ";"55 ";"GE-L-42-R 1 1/4''-k-OMD ";"64,09 ";"L ";"4723 "
"160 ";"42 ";"R 1 1/2'' keg ";"38,0 ";"49,0 ";"22 ";"55 ";"GE-L-42-R 1 1/2''-k-OMD ";"62,05 ";"L ";"4724 "
"100 ";"4 ";"R 1/8'' keg ";"16,0 ";"20,0 ";"8 ";"11 ";"GE-LL-04-R 1/8''-k-OMD ";"5,5 ";"LL ";"4683 "
"100 ";"6 ";"R 1/8'' keg ";"14,5 ";"21,0 ";"8 ";"11 ";"GE-LL-06-R 1/8''-k-OMD ";"5,96 ";"LL ";"4684 "
"100 ";"6 ";"R 1/4'' keg ";"18,5 ";"24,0 ";"12 ";"14 ";"GE-LL-06-R 1/4''-k-OMD ";"6,67 ";"LL ";"4685 "
"100 ";"8 ";"R 1/8'' keg ";"16,5 ";"22,0 ";"8 ";"12 ";"GE-LL-08-R 1/8''-k-OMD ";"6,21 ";"LL ";"4686 "
"100 ";"8 ";"R 1/4'' keg ";"20,5 ";"26,0 ";"12 ";"14 ";"GE-LL-08-R 1/4''-k-OMD ";"7,24 ";"LL ";"4687 "
