"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"1/8''-27 ";"15 ";"10,0 ";"12 ";"5280010-02 ";"4,5 ";"";"1609 "
"630 ";"1/4''-18 ";"20 ";"15,0 ";"14 ";"5280010-04 ";"4,6 ";"";"1610 "
"630 ";"3/8''-18 ";"22 ";"15,3 ";"17 ";"5280010-06 ";"5,3 ";"";"1611 "
"630 ";"1/2''-14 ";"27 ";"20,0 ";"22 ";"5280010-08 ";"6,5 ";"";"1612 "
"630 ";"3/4''-14 ";"29 ";"20,0 ";"27 ";"5280010-12 ";"8,75 ";"";"1613 "
"400 ";"1''-11,5 ";"33 ";"25,0 ";"36 ";"5280010-16 ";"13,75 ";"";"1614 "
"400 ";"1 1/4''-11,5 ";"33 ";"25,5 ";"46 ";"5280010-20 ";"21,25 ";"";"1615 "
"400 ";"1 1/2''-11,5 ";"41 ";"26,0 ";"50 ";"5280010-24 ";"27,5 ";"";"1616 "
"315 ";"2''-11,5 ";"44 ";"26,0 ";"65 ";"5280010-32 ";"56,5 ";"";"1617 "
