"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EW-DKOL-06-G 1/8''-wd-OMD ";"27,08 ";"L ";"8707 "
"500 ";"8 ";"G 1/4'' ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"17 ";"12 ";"17 ";"EW-DKOL-08-G 1/4''-wd-OMD ";"28,12 ";"L ";"8708 "
"500 ";"10 ";"G 1/4'' ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EW-DKOL-10-G 1/4''-wd-OMD ";"35,18 ";"L ";"8709 "
"400 ";"12 ";"G 1/4'' ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EW-DKOL-12-G 1/4''-wd-OMD ";"41,71 ";"L ";"8710 "
"400 ";"12 ";"G 3/8'' ";"17,0 ";"43,0 ";"29,5 ";"24,0 ";"14 ";"27 ";"17 ";"22 ";"EW-DKOL-12-G 3/8''-wd-OMD ";"38,93 ";"L ";"8711 "
"400 ";"12 ";"G 1/2'' ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"19 ";"17 ";"22 ";"EW-DKOL-12-G 1/2''-wd-OMD ";"45,39 ";"L ";"8712 "
"400 ";"15 ";"G 1/2'' ";"21,0 ";"46,0 ";"32,5 ";"28,0 ";"14 ";"27 ";"19 ";"27 ";"EW-DKOL-15-G 1/2''-wd-OMD ";"46,93 ";"L ";"8713 "
"400 ";"18 ";"G 1/2'' ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EW-DKOL-18-G 1/2''-wd-OMD ";"65,49 ";"L ";"8714 "
"250 ";"22 ";"G 3/4'' ";"27,5 ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EW-DKOL-22-G 3/4''-wd-OMD ";"84,66 ";"L ";"8715 "
"250 ";"28 ";"G 1'' ";"30,5 ";"59,0 ";"41,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EW-DKOL-28-G 1''-wd-OMD ";"135,34 ";"L ";"8716 "
"250 ";"35 ";"G 1 1/4'' ";"34,5 ";"68,5 ";"51,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EW-DKOL-35-G 1 1/4''-wd-OMD ";"181,72 ";"L ";"8717 "
"250 ";"42 ";"G 1 1/2'' ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EW-DKOL-42-G 1 1/2''-wd-OMD ";"272,37 ";"L ";"8718 "
"800 ";"6 ";"G 1/4'' ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"19 ";"12 ";"17 ";"EW-DKOS-06-G 1/4''-wd-OMD ";"31,42 ";"S ";"8719 "
"800 ";"8 ";"G 1/4'' ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EW-DKOS-08-G 1/4''-wd-OMD ";"33,46 ";"S ";"8720 "
