"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"1/8''-28 ";"1/8''-28 ";"23,5 ";"8,0 ";"11,0 ";"4,5 ";"17 ";"B ";"1050515-02-02 ";"11,85 ";"";"1860 "
"630 ";"1/8''-28 ";"1/4''-19 ";"31,0 ";"8,0 ";"17,0 ";"4,0 ";"19 ";"B ";"1050515-02-04 ";"10,84 ";"";"11152 "
"630 ";"1/8''-28 ";"3/8''-19 ";"32,0 ";"8,0 ";"17,0 ";"4,0 ";"24 ";"B ";"1050515-02-06 ";"12,78 ";"";"11153 "
"630 ";"1/8''-28 ";"1/2''-14 ";"37,0 ";"8,0 ";"20,0 ";"4,0 ";"27 ";"B ";"1050515-02-08 ";"15,88 ";"";"11154 "
"630 ";"1/4''-19 ";"1/8''-28 ";"28,0 ";"12,0 ";"12,0 ";"7,0 ";"19 ";"B ";"1050515-04-02 ";"11,15 ";"";"11155 "
"630 ";"1/4''-19 ";"1/4''-19 ";"32,0 ";"10,0 ";"17,0 ";"6,0 ";"19 ";"B ";"1050515-04-04 ";"10,85 ";"";"1861 "
"630 ";"1/4''-19 ";"3/8''-19 ";"36,0 ";"12,0 ";"17,0 ";"7,0 ";"24 ";"B ";"1050515-04-06 ";"14,57 ";"";"11156 "
"630 ";"1/4''-19 ";"1/2''-14 ";"40,0 ";"12,0 ";"20,0 ";"5,0 ";"27 ";"B ";"1050515-04-08 ";"15,88 ";"";"11157 "
"630 ";"1/4''-19 ";"3/4''-14 ";"43,0 ";"12,0 ";"22,0 ";"6,0 ";"36 ";"B ";"1050515-04-12 ";"26,69 ";"";"11159 "
"400 ";"3/8''-19 ";"1/4''-19 ";"36,0 ";"12,0 ";"17,0 ";"8,0 ";"22 ";"B ";"1050515-06-04 ";"13,81 ";"";"11160 "
"400 ";"3/8''-19 ";"3/8''-19 ";"36,0 ";"12,0 ";"17,0 ";"9,0 ";"24 ";"B ";"1050515-06-06 ";"9,2 ";"";"1862 "
"400 ";"3/8''-19 ";"1/2''-14 ";"41,0 ";"12,0 ";"20,0 ";"8,0 ";"27 ";"B ";"1050515-06-08 ";"15,85 ";"";"11162 "
"400 ";"3/8''-19 ";"3/4''-14 ";"44,0 ";"12,0 ";"22,0 ";"8,0 ";"36 ";"B ";"1050515-06-12 ";"24,29 ";"";"11163 "
"400 ";"3/8''-19 ";"1''-11 ";"46,5 ";"12,0 ";"24,5 ";"8,0 ";"41 ";"B ";"1050515-06-16 ";"31,7 ";"";"11164 "
"400 ";"1/2''-14 ";"3/8''-19 ";"36,0 ";"14,0 ";"17,0 ";"12,0 ";"27 ";"B ";"1050515-08-06 ";"16,11 ";"";"11165 "
"400 ";"1/2''-14 ";"1/2''-14 ";"39,0 ";"14,0 ";"20,0 ";"12,0 ";"27 ";"B ";"1050515-08-08 ";"11,15 ";"";"1863 "
"400 ";"1/2''-14 ";"3/4''-14 ";"46,0 ";"14,0 ";"22,0 ";"12,0 ";"36 ";"B ";"1050515-08-12 ";"23,26 ";"";"11167 "
"400 ";"1/2''-14 ";"1''-11 ";"49,0 ";"14,0 ";"24,5 ";"12,0 ";"41 ";"B ";"1050515-08-16 ";"31,7 ";"";"11168 "
"250 ";"1/2''-14 ";"1 1/4''-11 ";"53,0 ";"14,0 ";"26,5 ";"12,0 ";"55 ";"B ";"1050515-08-20 ";"98,17 ";"";"11169 "
"400 ";"3/4''-14 ";"1/2''-14 ";"41,0 ";"16,0 ";"20,0 ";"16,0 ";"32 ";"B ";"1050515-12-08 ";"26,59 ";"";"11170 "
"400 ";"3/4''-14 ";"3/4''-14 ";"45,0 ";"16,0 ";"22,5 ";"18,0 ";"32 ";"B ";"1050515-12-12 ";"16,5 ";"";"1864 "
