"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"7/16''-20 ";"38,0 ";"16,5 ";"3,0 ";"17 ";"DKJ-7/16''-45∞-DN 05 ";"22,5 ";"";"583 "
"06 ";"1/4'' ";"7/16''-20 ";"38,0 ";"16,5 ";"4,0 ";"17 ";"DKJ-7/16''-45∞-DN 06 ";"21,7 ";"";"584 "
"05 ";"3/16'' ";"1/2''-20 ";"";"";"3,0 ";"17 ";"DKJ-1/2''-45∞-DN 05 ";"";"";"585 "
"06 ";"1/4'' ";"1/2''-20 ";"36,0 ";"15,5 ";"4,0 ";"17 ";"DKJ-1/2''-45∞-DN 06 ";"21,7 ";"";"586 "
"08 ";"5/16'' ";"1/2''-20 ";"38,5 ";"17,0 ";"5,5 ";"17 ";"DKJ-1/2''-45∞-DN 08 ";"24,75 ";"";"587 "
"05 ";"3/16'' ";"9/16''-18 ";"";"";"3,0 ";"19 ";"DKJ-9/16''-45∞-DN 05 ";"";"";"588 "
"06 ";"1/4'' ";"9/16''-18 ";"34,5 ";"14,5 ";"4,0 ";"19 ";"DKJ-9/16''-45∞-DN 06 ";"21,7 ";"";"589 "
"08 ";"5/16'' ";"9/16''-18 ";"44,5 ";"20,0 ";"5,5 ";"19 ";"DKJ-9/16''-45∞-DN 08 ";"24,75 ";"";"590 "
"10 ";"3/8'' ";"9/16''-18 ";"47,0 ";"20,0 ";"7,0 ";"19 ";"DKJ-9/16''-45∞-DN 10 ";"21,7 ";"";"591 "
"10 ";"3/8'' ";"3/4''-16 ";"42,0 ";"18,5 ";"7,0 ";"24 ";"DKJ-3/4''-45∞-DN 10 ";"21,78 ";"";"592 "
"12 ";"1/2'' ";"3/4''-16 ";"57,0 ";"22,5 ";"9,5 ";"24 ";"DKJ-3/4''-45∞-DN 12 ";"21,78 ";"";"593 "
"10 ";"3/8'' ";"7/8''-14 ";"50,5 ";"20,0 ";"7,0 ";"27 ";"DKJ-7/8''-45∞-DN 10 ";"25,05 ";"";"594 "
"12 ";"1/2'' ";"7/8''-14 ";"59,0 ";"22,0 ";"9,5 ";"27 ";"DKJ-7/8''-45∞-DN 12 ";"25,05 ";"";"595 "
"16 ";"5/8'' ";"7/8''-14 ";"66,0 ";"27,0 ";"12,5 ";"27 ";"DKJ-7/8''-45∞-DN 16 ";"26,75 ";"";"596 "
"12 ";"1/2'' ";"1 1/16''-12 ";"66,0 ";"33,0 ";"9,5 ";"32 ";"DKJ-1 1/16''-45∞-DN 12 ";"60,5 ";"";"597 "
"16 ";"5/8'' ";"1 1/16''-12 ";"67,0 ";"26,5 ";"12,5 ";"32 ";"DKJ-1 1/16''-45∞-DN 16 ";"28,45 ";"";"598 "
"19 ";"3/4'' ";"1 1/16''-12 ";"67,5 ";"33,0 ";"14,5 ";"32 ";"DKJ-1 1/16''-45∞-DN 19 ";"33,75 ";"";"599 "
"19 ";"3/4'' ";"1 5/16''-12 ";"82,0 ";"32,5 ";"14,5 ";"41 ";"DKJ-1 5/16''-45∞-DN 19 ";"60,05 ";"";"600 "
"25 ";"1'' ";"1 5/16''-12 ";"97,0 ";"38,0 ";"20,0 ";"41 ";"DKJ-1 5/16''-45∞-DN 25 ";"46,32 ";"";"601 "
"25 ";"1'' ";"1 5/8''-12 ";"123,0 ";"50,5 ";"20,0 ";"50 ";"DKJ-1 5/8''-45∞-DN 25 ";"125,9 ";"";"602 "
"31 ";"1 1/4'' ";"1 5/8''-12 ";"115,0 ";"50,0 ";"25,0 ";"50 ";"DKJ-1 5/8''-45∞-DN 31 ";"100,2 ";"";"603 "
"31 ";"1 1/4'' ";"1 7/8''-12 ";"144,0 ";"49,0 ";"25,0 ";"55 ";"DKJ-1 7/8''-45∞-DN 31 ";"159 ";"";"604 "
"38 ";"1 1/2'' ";"1 7/8''-12 ";"115,5 ";"49,0 ";"31,5 ";"55 ";"DKJ-1 7/8''-45∞-DN 38 ";"135,5 ";"";"605 "
"38 ";"1 1/2'' ";"2 1/2''-12 ";"143,0 ";"64,0 ";"31,5 ";"70 ";"DKJ-2 1/2''-45∞-DN 38 ";"389 ";"";"606 "
"51 ";"2'' ";"2 1/2''-12 ";"170,0 ";"75,0 ";"42,0 ";"70 ";"DKJ-2 1/2''-45∞-DN 51 ";"340 ";"";"607 "
