"Schlauch  Hose  DN";"DN  Bore  in.";"Flanschgrˆﬂe  Flange Dimensions  D";"Flanschgrˆﬂe  Flange Dimensions  in.";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"38,1 ";"3/4'' ";"78,0 ";"70,0 ";"14,5 ";"I-SFL3-3/4''-90∞-DN 19 ";"85 ";"3.000 P.S.I. ";"1135 "
"19 ";"3/4'' ";"44,5 ";"1'' ";"77,0 ";"71,0 ";"14,5 ";"I-SFL3-1''-90∞-DN 19 ";"105 ";"3.000 P.S.I. ";"1136 "
"25 ";"1'' ";"44,5 ";"1'' ";"82,0 ";"75,0 ";"20,0 ";"I-SFL3-1''-90∞-DN 25 ";"98 ";"3.000 P.S.I. ";"1137 "
"25 ";"1'' ";"50,8 ";"1 1/4'' ";"105,0 ";"88,0 ";"20,0 ";"I-SFL3-1 1/4''-90∞-DN 25 ";"180 ";"3.000 P.S.I. ";"1138 "
"31 ";"1 1/4'' ";"50,8 ";"1 1/4'' ";"102,0 ";"91,5 ";"25,0 ";"I-SFL3-1 1/4''-90∞-DN 31 ";"170 ";"3.000 P.S.I. ";"1139 "
"31 ";"1 1/4'' ";"60,3 ";"1 1/2'' ";"123,0 ";"95,0 ";"25,0 ";"I-SFL3-1 1/2''-90∞-DN 31 ";"235 ";"3.000 P.S.I. ";"1140 "
"38 ";"1 1/2'' ";"60,3 ";"1 1/2'' ";"122,5 ";"105,0 ";"31,0 ";"I-SFL3-1 1/2''-90∞-DN 38 ";"215,5 ";"3.000 P.S.I. ";"1141 "
"38 ";"1 1/2'' ";"71,4 ";"2'' ";"124,0 ";"121,0 ";"31,0 ";"I-SFL3-2''-90∞-DN 38 ";"430 ";"3.000 P.S.I. ";"1142 "
"51 ";"2'' ";"71,4 ";"2'' ";"144,0 ";"137,0 ";"41,0 ";"I-SFL3-2''-90∞-DN 51 ";"410 ";"3.000 P.S.I. ";"1143 "
"19 ";"3/4'' ";"41,3 ";"3/4'' ";"78,0 ";"67,0 ";"14,5 ";"I-SFS6-3/4''-90∞-DN 19 ";"85 ";"6.000 P.S.I. ";"1144 "
"25 ";"1'' ";"41,3 ";"3/4'' ";"80,0 ";"81,5 ";"19,0 ";"I-SFS6-3/4''-90∞-DN 25 ";"174,5 ";"6.000 P.S.I. ";"1145 "
"19 ";"3/4'' ";"47,6 ";"1'' ";"77,0 ";"72,0 ";"14,5 ";"I-SFS6-1''-90∞-DN 19 ";"115 ";"6.000 P.S.I. ";"1146 "
"25 ";"1'' ";"47,6 ";"1'' ";"82,0 ";"77,0 ";"20,0 ";"I-SFS6-1''-90∞-DN 25 ";"98 ";"6.000 P.S.I. ";"1147 "
"25 ";"1'' ";"54,0 ";"1 1/4'' ";"108,0 ";"90,0 ";"20,0 ";"I-SFS6-1 1/4''-90∞-DN 25 ";"180 ";"6.000 P.S.I. ";"1148 "
"31 ";"1 1/4'' ";"54,0 ";"1 1/4'' ";"102,0 ";"93,5 ";"25,0 ";"I-SFS6-1 1/4''-90∞-DN 31 ";"170 ";"6.000 P.S.I. ";"1149 "
"31 ";"1 1/4'' ";"63,5 ";"1 1/2'' ";"124,0 ";"96,0 ";"25,0 ";"I-SFS6-1 1/2''-90∞-DN 31 ";"235 ";"6.000 P.S.I. ";"1150 "
"38 ";"1 1/2'' ";"63,5 ";"1 1/2'' ";"122,5 ";"107,0 ";"31,0 ";"I-SFS6-1 1/2''-90∞-DN 38 ";"215,5 ";"6.000 P.S.I. ";"1151 "
"38 ";"1 1/2'' ";"79,4 ";"2'' ";"124,0 ";"121,5 ";"31,0 ";"I-SFS6-2''-90∞-DN 38 ";"430 ";"6.000 P.S.I. ";"1152 "
"51 ";"2'' ";"79,4 ";"2'' ";"144,0 ";"142,0 ";"41,0 ";"I-SFS6-2''-90∞-DN 51 ";"410 ";"6.000 P.S.I. ";"1153 "
