"Baugrˆﬂe  Size  ";"ISO-Grˆﬂe  ISO-Size  DN";"Gewinde  Thread  G";"Gewinde  Thread  G2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"1 ";"6,3 ";"M 12 x 1,5 ";"24 x 2 ";"";"6 ";"";"";"";"10 ";"19 ";"SKM-1-06-L ";"";"L - Muffe / Female ";"10483 "
"2 ";"10,0 ";"M 14 x 1,5 ";"28 x 2 ";"";"8 ";"102 ";"56,0 ";"";"10 ";"22 ";"SKM-2-08-L ";"";"L - Muffe / Female ";"10484 "
"2 ";"10,0 ";"M 16 x 1,5 ";"28 x 2 ";"";"10 ";"104 ";"56,0 ";"";"11 ";"22 ";"SKM-2-10-L ";"";"L - Muffe / Female ";"10485 "
"3 ";"12,5 ";"M 18 x 1,5 ";"36 x 2 ";"";"12 ";"99 ";"54,5 ";"";"11 ";"30 ";"SKM-3-12-L ";"70,2 ";"L - Muffe / Female ";"10486 "
"3 ";"12,5 ";"M 22 x 1,5 ";"36 x 2 ";"";"15 ";"101 ";"54,5 ";"";"12 ";"30 ";"SKM-3-15-L ";"70,2 ";"L - Muffe / Female ";"10487 "
"4 ";"20,0 ";"M 26 x 1,5 ";"42 x 2 ";"";"18 ";"";"";"";"12 ";"36 ";"SKM-4-18-L ";"";"L - Muffe / Female ";"10488 "
"6 ";"25,0 ";"M 30 x 2 ";"48 x 3 ";"";"22 ";"137 ";"79,5 ";"";"14 ";"41 ";"SKM-6-22-L ";"";"L - Muffe / Female ";"10489 "
"6 ";"25,0 ";"M 36 x 2 ";"48 x 3 ";"";"28 ";"";"";"";"14 ";"41 ";"SKM-6-28-L ";"";"L - Muffe / Female ";"10490 "
"8 ";"40,0 ";"M 45 x 2 ";"70 x 3 ";"";"35 ";"";"";"";"16 ";"55 ";"SKM-8-35-L ";"";"L - Muffe / Female ";"10491 "
"8 ";"40,0 ";"M 52 x 2 ";"70 x 3 ";"";"42 ";"";"";"";"16 ";"55 ";"SKM-8-42-L ";"";"L - Muffe / Female ";"10492 "
"1 ";"6,3 ";"M 12 x 1,5 ";"24 x 2 ";"30 ";"6 ";"";"";"";"10 ";"19 ";"SKS-1-06-L ";"";"L - Stecker / Male ";"10493 "
"2 ";"10,0 ";"M 14 x 1,5 ";"28 x 2 ";"35 ";"8 ";"102 ";"";"53,0 ";"10 ";"22 ";"SKS-2-08-L ";"";"L - Stecker / Male ";"10494 "
"2 ";"10,0 ";"M 16 x 1,5 ";"28 x 2 ";"35 ";"10 ";"104 ";"";"53,0 ";"11 ";"22 ";"SKS-2-10-L ";"";"L - Stecker / Male ";"10495 "
"3 ";"12,5 ";"M 18 x 1,5 ";"36 x 2 ";"42 ";"12 ";"99 ";"";"51,0 ";"11 ";"30 ";"SKS-3-12-L ";"88,35 ";"L - Stecker / Male ";"10496 "
"3 ";"12,5 ";"M 22 x 1,5 ";"36 x 2 ";"42 ";"15 ";"101 ";"";"51,0 ";"12 ";"30 ";"SKS-3-15-L ";"88,35 ";"L - Stecker / Male ";"10497 "
"4 ";"20,0 ";"M 26 x 1,5 ";"42 x 2 ";"48 ";"18 ";"";"";"";"12 ";"36 ";"SKS-4-18-L ";"";"L - Stecker / Male ";"10498 "
"6 ";"25,0 ";"M 30 x 2 ";"48 x 3 ";"55 ";"22 ";"137 ";"";"65,0 ";"14 ";"41 ";"SKS-6-22-L ";"";"L - Stecker / Male ";"10499 "
"6 ";"25,0 ";"M 36 x 2 ";"48 x 3 ";"55 ";"28 ";"";"";"";"14 ";"41 ";"SKS-6-28-L ";"";"L - Stecker / Male ";"10500 "
"8 ";"40,0 ";"M 45 x 2 ";"70 x 3 ";"80 ";"35 ";"";"";"";"16 ";"55 ";"SKS-8-35-L ";"";"L - Stecker / Male ";"10501 "
"8 ";"40,0 ";"M 52 x 2 ";"70 x 3 ";"80 ";"42 ";"";"";"";"16 ";"55 ";"SKS-8-42-L ";"";"L - Stecker / Male ";"10502 "
