"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"R 1/8'' keg ";"30 ";"15,0 ";"8 ";"12 ";"14 ";"GE-L-06-R 1/8''-k-SC ";"10,75 ";"L ";"4646 "
"315 ";"6 ";"R 1/4'' keg ";"35 ";"20,0 ";"12 ";"17 ";"14 ";"GE-L-06-R 1/4''-k-SC ";"10,47 ";"L ";"4647 "
"315 ";"6 ";"R 3/8'' keg ";"36 ";"21,0 ";"12 ";"17 ";"14 ";"GE-L-06-R 3/8''-k-SC ";"12,08 ";"L ";"4648 "
"315 ";"6 ";"R 1/2'' keg ";"40 ";"23,0 ";"14 ";"22 ";"14 ";"GE-L-06-R 1/2''-k-SC ";"15,63 ";"L ";"4649 "
"315 ";"8 ";"R 1/8'' keg ";"31 ";"16,0 ";"8 ";"14 ";"17 ";"GE-L-08-R 1/8''-k-SC ";"11,59 ";"L ";"4650 "
"315 ";"8 ";"R 1/4'' keg ";"35 ";"20,0 ";"12 ";"17 ";"17 ";"GE-L-08-R 1/4''-k-SC ";"10,84 ";"L ";"4651 "
"315 ";"8 ";"R 3/8'' keg ";"35 ";"20,0 ";"12 ";"17 ";"17 ";"GE-L-08-R 3/8''-k-SC ";"12,53 ";"L ";"4652 "
"315 ";"8 ";"R 1/2'' keg ";"38 ";"22,0 ";"14 ";"22 ";"17 ";"GE-L-08-R 1/2''-k-SC ";"16,49 ";"L ";"4653 "
"315 ";"10 ";"R 1/8'' keg ";"32 ";"17,0 ";"8 ";"17 ";"19 ";"GE-L-10-R 1/8''-k-SC ";"13,17 ";"L ";"4654 "
"315 ";"10 ";"R 1/4'' keg ";"36 ";"21,0 ";"12 ";"17 ";"19 ";"GE-L-10-R 1/4''-k-SC ";"12,51 ";"L ";"4655 "
"315 ";"10 ";"R 3/8'' keg ";"36 ";"21,0 ";"12 ";"17 ";"19 ";"GE-L-10-R 3/8''-k-SC ";"13,02 ";"L ";"4656 "
"315 ";"10 ";"R 1/2'' keg ";"39 ";"24,0 ";"14 ";"22 ";"19 ";"GE-L-10-R 1/2''-k-SC ";"17,88 ";"L ";"4657 "
"315 ";"12 ";"R 1/8'' keg ";"36 ";"18,0 ";"8 ";"19 ";"22 ";"GE-L-12-R 1/8''-k-SC ";"16,31 ";"L ";"4658 "
"315 ";"12 ";"R 1/4'' keg ";"37 ";"22,0 ";"12 ";"19 ";"22 ";"GE-L-12-R 1/4''-k-SC ";"15,26 ";"L ";"4659 "
"315 ";"12 ";"R 3/8'' keg ";"37 ";"22,0 ";"12 ";"19 ";"22 ";"GE-L-12-R 3/8''-k-SC ";"15,26 ";"L ";"4660 "
"315 ";"12 ";"R 1/2'' keg ";"39 ";"24,0 ";"14 ";"22 ";"22 ";"GE-L-12-R 1/2''-k-SC ";"17,18 ";"L ";"4661 "
"160 ";"12 ";"R 3/4'' keg ";"43 ";"27,0 ";"16 ";"27 ";"22 ";"GE-L-12-R 3/4''-k-SC ";"26,21 ";"L ";"4662 "
"315 ";"15 ";"R 1/4'' keg ";"42 ";"26,0 ";"12 ";"24 ";"27 ";"GE-L-15-R 1/4''-k-SC ";"20,98 ";"L ";"4663 "
"315 ";"15 ";"R 3/8'' keg ";"42 ";"23,0 ";"12 ";"24 ";"27 ";"GE-L-15-R 3/8''-k-SC ";"19,95 ";"L ";"4664 "
"315 ";"15 ";"R 1/2'' keg ";"42 ";"25,0 ";"14 ";"24 ";"27 ";"GE-L-15-R 1/2''-k-SC ";"19,9 ";"L ";"4665 "
"160 ";"15 ";"R 3/4'' keg ";"45 ";"28,0 ";"16 ";"27 ";"27 ";"GE-L-15-R 3/4''-k-SC ";"27,58 ";"L ";"4666 "
"315 ";"18 ";"R 3/8'' keg ";"42 ";"23,5 ";"12 ";"27 ";"32 ";"GE-L-18-R 3/8''-k-SC ";"26,18 ";"L ";"4667 "
"315 ";"18 ";"R 1/2'' keg ";"42 ";"25,5 ";"14 ";"27 ";"32 ";"GE-L-18-R 1/2''-k-SC ";"26,18 ";"L ";"4668 "
"160 ";"18 ";"R 3/4'' keg ";"47 ";"27,5 ";"16 ";"27 ";"32 ";"GE-L-18-R 3/4''-k-SC ";"33,54 ";"L ";"4669 "
"160 ";"22 ";"R 3/8'' keg ";"46 ";"25,5 ";"12 ";"32 ";"36 ";"GE-L-22-R 3/8''-k-SC ";"36,48 ";"L ";"4670 "
"160 ";"22 ";"R 1/2'' keg ";"46 ";"25,5 ";"14 ";"32 ";"36 ";"GE-L-22-R 1/2''-k-SC ";"34,74 ";"L ";"4671 "
"160 ";"22 ";"R 3/4'' keg ";"46 ";"29,5 ";"16 ";"32 ";"36 ";"GE-L-22-R 3/4''-k-SC ";"34,74 ";"L ";"4672 "
"160 ";"22 ";"R 1'' keg ";"50 ";"31,5 ";"18 ";"36 ";"36 ";"GE-L-22-R 1''-k-SC ";"55,19 ";"L ";"4673 "
"160 ";"28 ";"R 1/2'' keg ";"49 ";"28,5 ";"14 ";"41 ";"41 ";"GE-L-28-R 1/2''-k-SC ";"55,94 ";"L ";"4674 "
"160 ";"28 ";"R 3/4'' keg ";"49 ";"30,5 ";"16 ";"41 ";"41 ";"GE-L-28-R 3/4''-k-SC ";"55,94 ";"L ";"4675 "
"160 ";"28 ";"R 1'' keg ";"49 ";"32,5 ";"18 ";"41 ";"41 ";"GE-L-28-R 1''-k-SC ";"55,94 ";"L ";"4676 "
"160 ";"28 ";"R 1 1/4'' keg ";"49 ";"30,5 ";"20 ";"46 ";"41 ";"GE-L-28-R 1 1/4''-k-SC ";"74,6 ";"L ";"4677 "
"160 ";"35 ";"R 1'' keg ";"51 ";"27,5 ";"18 ";"46 ";"50 ";"GE-L-35-R 1''-k-SC ";"77,35 ";"L ";"4678 "
"160 ";"35 ";"R 1 1/4'' keg ";"56 ";"34,5 ";"20 ";"46 ";"50 ";"GE-L-35-R 1 1/4''-k-SC ";"77,35 ";"L ";"4679 "
