"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"27 ";"12,0 ";"20,0 ";"10,0 ";"12 ";"14 ";"TE-L-06-1/8''-NPT-SC ";"30,81 ";"L ";"5621 "
"315 ";"6 ";"1/4'' NPT ";"27 ";"12,0 ";"25,0 ";"15,0 ";"12 ";"14 ";"TE-L-06-1/4''-NPT-SC ";"32,34 ";"L ";"5622 "
"315 ";"8 ";"1/4'' NPT ";"29 ";"14,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"TE-L-08-1/4''-NPT-SC ";"32,81 ";"L ";"5623 "
"315 ";"10 ";"1/4'' NPT ";"30 ";"15,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"TE-L-10-1/4''-NPT-SC ";"36,16 ";"L ";"5624 "
"315 ";"10 ";"3/8'' NPT ";"30 ";"15,0 ";"27,5 ";"15,3 ";"14 ";"19 ";"TE-L-10-3/8''-NPT-SC ";"43,06 ";"L ";"5625 "
"315 ";"10 ";"1/2'' NPT ";"37 ";"21,0 ";"33,0 ";"20,0 ";"17 ";"19 ";"TE-L-10-1/2''-NPT-SC ";"45,26 ";"L ";"5626 "
"315 ";"12 ";"1/4'' NPT ";"32 ";"17,0 ";"28,0 ";"15,0 ";"17 ";"22 ";"TE-L-12-1/4''-NPT-SC ";"43,69 ";"L ";"5627 "
"315 ";"12 ";"3/8'' NPT ";"32 ";"17,0 ";"28,0 ";"15,3 ";"17 ";"22 ";"TE-L-12-3/8''-NPT-SC ";"43,69 ";"L ";"5628 "
"315 ";"12 ";"1/2'' NPT ";"36 ";"21,0 ";"34,0 ";"20,0 ";"17 ";"22 ";"TE-L-12-1/2''-NPT-SC ";"45,86 ";"L ";"5629 "
"315 ";"15 ";"3/8'' NPT ";"36 ";"21,0 ";"34,0 ";"15,3 ";"19 ";"27 ";"TE-L-15-3/8''-NPT-SC ";"";"L ";"5630 "
