"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"17 ";"18 ";"14 ";"THV-L-06-M 10x1-WDS-SC ";"147,51 ";"L ";"11060 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"19 ";"22 ";"17 ";"THV-L-08-M 12x1,5-WDS-SC ";"182,19 ";"L ";"11061 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"19 ";"22 ";"19 ";"THV-L-10-M 14x1,5-WDS-SC ";"191,2 ";"L ";"11062 "
"350 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"24 ";"27 ";"22 ";"THV-L-12-M 16x1,5-WDS-SC ";"211,17 ";"L ";"11063 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27 ";"30 ";"27 ";"THV-L-15-M 18x1,5-WDS-SC ";"284,74 ";"L ";"11064 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"30 ";"32 ";"32 ";"THV-L-18-M 22x1,5-WDS-SC ";"357,53 ";"L ";"11065 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"36 ";"40 ";"36 ";"THV-L-22-M 26x1,5-WDS-SC ";"552,07 ";"L ";"11066 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"46 ";"50 ";"41 ";"THV-L-28-M 33x2-WDS-SC ";"799,43 ";"L ";"11067 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"55 ";"60 ";"50 ";"THV-L-35-M 42x2-WDS-SC ";"1077,57 ";"L ";"11068 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"60 ";"70 ";"60 ";"THV-L-42-M 48x2-WDS-SC ";"1345,06 ";"L ";"11069 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"17 ";"THV-S-06-M 12x1,5-WDS-SC ";"182,19 ";"S ";"11070 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"19 ";"THV-S-08-M 14x1,5-WDS-SC ";"183,53 ";"S ";"11071 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"24 ";"27 ";"22 ";"THV-S-10-M 16x1,5-WDS-SC ";"216,29 ";"S ";"11072 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"27 ";"30 ";"24 ";"THV-S-12-M 18x1,5-WDS-SC ";"230,57 ";"S ";"11073 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"30 ";"32 ";"30 ";"THV-S-16-M 22x1,5-WDS-SC ";"301,15 ";"S ";"11075 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"36 ";"40 ";"36 ";"THV-S-20-M 27x2-WDS-SC ";"554,93 ";"S ";"11076 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"46 ";"50 ";"46 ";"THV-S-25-M 33x2-WDS-SC ";"750,3 ";"S ";"11077 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"55 ";"60 ";"50 ";"THV-S-30-M 42x2-WDS-SC ";"1001,76 ";"S ";"11078 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"60 ";"70 ";"60 ";"THV-S-38-M 48x2-WDS-SC ";"1219,88 ";"S ";"11079 "
