"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"10 ";"29,0 ";"14,0 ";"12 ";"14 ";"ASV-L-06-SC ";"8,5 ";"L ";"9554 "
"500 ";"8 ";"12 ";"31,0 ";"16,0 ";"14 ";"17 ";"ASV-L-08-SC ";"9,46 ";"L ";"9555 "
"500 ";"10 ";"14 ";"33,0 ";"18,0 ";"17 ";"19 ";"ASV-L-10-SC ";"11,33 ";"L ";"9556 "
"400 ";"12 ";"16 ";"33,0 ";"18,0 ";"19 ";"27 ";"ASV-L-12-SC ";"11,83 ";"L ";"9557 "
"400 ";"15 ";"19 ";"37,0 ";"22,0 ";"22 ";"27 ";"ASV-L-15-SC ";"15,27 ";"L ";"9558 "
"400 ";"18 ";"22 ";"40,0 ";"23,5 ";"27 ";"32 ";"ASV-L-18-SC ";"25,06 ";"L ";"9559 "
"250 ";"22 ";"27 ";"45,0 ";"28,5 ";"32 ";"36 ";"ASV-L-22-SC ";"32,95 ";"L ";"9560 "
"250 ";"28 ";"32 ";"47,0 ";"30,5 ";"41 ";"41 ";"ASV-L-28-SC ";"47,51 ";"L ";"9561 "
"250 ";"35 ";"40 ";"54,0 ";"32,5 ";"46 ";"50 ";"ASV-L-35-SC ";"62,52 ";"L ";"9562 "
"250 ";"42 ";"46 ";"58,0 ";"35,0 ";"55 ";"60 ";"ASV-L-42-SC ";"83,57 ";"L ";"9563 "
"800 ";"6 ";"11 ";"34,0 ";"19,0 ";"14 ";"17 ";"ASV-S-06-SC ";"11,23 ";"S ";"9564 "
"800 ";"8 ";"13 ";"36,0 ";"21,0 ";"17 ";"19 ";"ASV-S-08-SC ";"12,66 ";"S ";"9565 "
"800 ";"10 ";"15 ";"39,0 ";"22,5 ";"19 ";"22 ";"ASV-S-10-SC ";"13,93 ";"S ";"9566 "
"630 ";"12 ";"17 ";"41,0 ";"24,5 ";"22 ";"24 ";"ASV-S-12-SC ";"14,39 ";"S ";"9567 "
"630 ";"14 ";"19 ";"45,0 ";"27,0 ";"24 ";"27 ";"ASV-S-14-SC ";"19,61 ";"S ";"9568 "
"630 ";"16 ";"21 ";"45,0 ";"26,5 ";"27 ";"30 ";"ASV-S-16-SC ";"25,44 ";"S ";"9569 "
"420 ";"20 ";"26 ";"51,0 ";"29,5 ";"32 ";"36 ";"ASV-S-20-SC ";"35,11 ";"S ";"9570 "
"420 ";"25 ";"31 ";"56,0 ";"32,0 ";"41 ";"46 ";"ASV-S-25-SC ";"54,39 ";"S ";"9571 "
"420 ";"30 ";"36 ";"62,0 ";"35,5 ";"46 ";"50 ";"ASV-S-30-SC ";"67,56 ";"S ";"9572 "
"420 ";"38 ";"44 ";"69,0 ";"38,0 ";"55 ";"60 ";"ASV-S-38-SC ";"90 ";"S ";"9573 "
