"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"19,0 ";"26,0 ";"12,0 ";"14 ";"GAI-L-06-G 1/8''-OMD ";"9,71 ";"L ";"6442 "
"315 ";"6 ";"G 1/4'' ";"24,0 ";"31,0 ";"17,0 ";"19 ";"GAI-L-06-G 1/4''-OMD ";"11,75 ";"L ";"6443 "
"315 ";"6 ";"G 3/8'' ";"24,0 ";"32,0 ";"17,0 ";"24 ";"GAI-L-06-G 3/8''-OMD ";"15,81 ";"L ";"6444 "
"315 ";"6 ";"G 1/2'' ";"31,0 ";"36,0 ";"20,0 ";"27 ";"GAI-L-06-G 1/2''-OMD ";"20,39 ";"L ";"6445 "
"315 ";"8 ";"G 1/8'' ";"19,0 ";"26,0 ";"12,0 ";"14 ";"GAI-L-08-G 1/8''-OMD ";"13,4 ";"L ";"6446 "
"315 ";"8 ";"G 1/4'' ";"24,0 ";"31,0 ";"17,0 ";"19 ";"GAI-L-08-G 1/4''-OMD ";"13,05 ";"L ";"6447 "
"315 ";"8 ";"G 3/8'' ";"25,0 ";"32,0 ";"17,0 ";"24 ";"GAI-L-08-G 3/8''-OMD ";"15,32 ";"L ";"6448 "
"315 ";"8 ";"G 1/2'' ";"32,0 ";"36,0 ";"20,0 ";"27 ";"GAI-L-08-G 1/2''-OMD ";"20,39 ";"L ";"6449 "
"315 ";"10 ";"G 1/8'' ";"19,0 ";"26,0 ";"12,0 ";"17 ";"GAI-L-10-G 1/8''-OMD ";"12,89 ";"L ";"6450 "
"315 ";"10 ";"G 1/4'' ";"25,0 ";"32,0 ";"17,0 ";"19 ";"GAI-L-10-G 1/4''-OMD ";"12,44 ";"L ";"6451 "
"315 ";"10 ";"G 3/8'' ";"26,0 ";"33,0 ";"17,0 ";"24 ";"GAI-L-10-G 3/8''-OMD ";"15,81 ";"L ";"6452 "
"315 ";"10 ";"G 1/2'' ";"30,0 ";"37,0 ";"20,0 ";"27 ";"GAI-L-10-G 1/2''-OMD ";"20,39 ";"L ";"6453 "
"315 ";"12 ";"G 1/4'' ";"25,0 ";"32,0 ";"17,0 ";"19 ";"GAI-L-12-G 1/4''-OMD ";"14,77 ";"L ";"6454 "
"315 ";"12 ";"G 3/8'' ";"26,0 ";"33,0 ";"17,0 ";"24 ";"GAI-L-12-G 3/8''-OMD ";"14,77 ";"L ";"6455 "
"315 ";"12 ";"G 1/2'' ";"30,0 ";"38,0 ";"20,0 ";"27 ";"GAI-L-12-G 1/2''-OMD ";"17,81 ";"L ";"6456 "
"315 ";"15 ";"G 3/8'' ";"27,0 ";"34,0 ";"17,5 ";"24 ";"GAI-L-15-G 3/8''-OMD ";"16,85 ";"L ";"6457 "
"315 ";"15 ";"G 1/2'' ";"31,0 ";"38,0 ";"20,0 ";"27 ";"GAI-L-15-G 1/2''-OMD ";"19,76 ";"L ";"6458 "
"160 ";"15 ";"G 3/4'' ";"34,0 ";"41,0 ";"22,0 ";"32 ";"GAI-L-15-G 3/4''-OMD ";"34,51 ";"L ";"6459 "
"315 ";"18 ";"G 3/8'' ";"26,5 ";"35,0 ";"17,5 ";"27 ";"GAI-L-18-G 3/8''-OMD ";"21,21 ";"L ";"6460 "
"315 ";"18 ";"G 1/2'' ";"30,5 ";"38,0 ";"20,0 ";"27 ";"GAI-L-18-G 1/2''-OMD ";"21,21 ";"L ";"6461 "
"160 ";"18 ";"G 3/4'' ";"33,5 ";"41,0 ";"22,0 ";"36 ";"GAI-L-18-G 3/4''-OMD ";"34,51 ";"L ";"6462 "
"160 ";"22 ";"G 1/2'' ";"33,5 ";"41,0 ";"20,0 ";"32 ";"GAI-L-22-G 1/2''-OMD ";"29,9 ";"L ";"6463 "
"160 ";"22 ";"G 3/4'' ";"35,5 ";"43,0 ";"22,0 ";"36 ";"GAI-L-22-G 3/4''-OMD ";"28,09 ";"L ";"6464 "
"160 ";"28 ";"G 3/4'' ";"35,0 ";"42,5 ";"22,0 ";"41 ";"GAI-L-28-G 3/4''-OMD ";"54,35 ";"L ";"6465 "
"160 ";"28 ";"G 1'' ";"38,0 ";"45,5 ";"24,5 ";"41 ";"GAI-L-28-G 1''-OMD ";"39,3 ";"L ";"6466 "
"160 ";"35 ";"G 1 1/4'' ";"41,0 ";"51,5 ";"26,5 ";"55 ";"GAI-L-35-G 1 1/4''-OMD ";"68,37 ";"L ";"6467 "
"160 ";"42 ";"G 1 1/2'' ";"42,5 ";"53,5 ";"28,5 ";"60 ";"GAI-L-42-G 1 1/2''-OMD ";"85,06 ";"L ";"6468 "
