"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"G 1/8'' ";"13,0 ";"28,0 ";"8 ";"14 ";"GE-SR-06-G 1/8''-OMD ";"4,47 ";"S ";"3871 "
"630 ";"6 ";"G 1/4'' ";"13,0 ";"32,0 ";"12 ";"19 ";"GE-SR-06-G 1/4''-OMD ";"4,47 ";"S ";"3872 "
"630 ";"6 ";"G 3/8'' ";"15,5 ";"34,5 ";"12 ";"22 ";"GE-SR-06-G 3/8''-OMD ";"6,72 ";"S ";"3873 "
"630 ";"6 ";"G 1/2'' ";"17,0 ";"38,0 ";"14 ";"27 ";"GE-SR-06-G 1/2''-OMD ";"12,55 ";"S ";"3874 "
"630 ";"8 ";"G 1/8'' ";"14,0 ";"29,0 ";"8 ";"17 ";"GE-SR-08-G 1/8''-OMD ";"7 ";"S ";"3875 "
"630 ";"8 ";"G 1/4'' ";"15,0 ";"34,0 ";"12 ";"19 ";"GE-SR-08-G 1/4''-OMD ";"5,29 ";"S ";"3876 "
"630 ";"8 ";"G 3/8'' ";"15,5 ";"34,0 ";"12 ";"22 ";"GE-SR-08-G 3/8''-OMD ";"6,59 ";"S ";"3877 "
"630 ";"8 ";"G 1/2'' ";"15,0 ";"36,0 ";"14 ";"27 ";"GE-SR-08-G 1/2''-OMD ";"12,14 ";"S ";"3878 "
"630 ";"10 ";"G 1/8'' ";"13,5 ";"29,0 ";"8 ";"19 ";"GE-SR-10-G 1/8''-OMD ";"8,79 ";"S ";"3879 "
"630 ";"10 ";"G 1/4'' ";"14,5 ";"34,0 ";"12 ";"19 ";"GE-SR-10-G 1/4''-OMD ";"7,31 ";"S ";"3880 "
"630 ";"10 ";"G 3/8'' ";"15,0 ";"34,5 ";"12 ";"22 ";"GE-SR-10-G 3/8''-OMD ";"7 ";"S ";"3881 "
"630 ";"10 ";"G 1/2'' ";"13,5 ";"35,0 ";"14 ";"27 ";"GE-SR-10-G 1/2''-OMD ";"12,17 ";"S ";"3882 "
"630 ";"10 ";"G 3/4'' ";"17,5 ";"41,0 ";"16 ";"32 ";"GE-SR-10-G 3/4''-OMD ";"22,39 ";"S ";"3883 "
