"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"27 ";"12,0 ";"20,0 ";"10,0 ";"12 ";"14 ";"LE-L-06-1/8''-NPT ";"30,17 ";"L ";"5854 "
"315 ";"6 ";"1/4'' NPT ";"29 ";"14,0 ";"26,0 ";"15,0 ";"12 ";"14 ";"LE-L-06-1/4''-NPT ";"30,63 ";"L ";"5855 "
"315 ";"8 ";"1/4'' NPT ";"29 ";"14,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"LE-L-08-1/4''-NPT ";"31,93 ";"L ";"5856 "
"315 ";"10 ";"1/4'' NPT ";"30 ";"15,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"LE-L-10-1/4''-NPT ";"35,28 ";"L ";"5857 "
"315 ";"10 ";"3/8'' NPT ";"30 ";"15,0 ";"28,0 ";"15,3 ";"14 ";"19 ";"LE-L-10-3/8''-NPT ";"";"L ";"5858 "
"315 ";"10 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"19 ";"LE-L-10-1/2''-NPT ";"";"L ";"5859 "
"315 ";"12 ";"1/4'' NPT ";"32 ";"17,0 ";"28,0 ";"15,0 ";"17 ";"22 ";"LE-L-12-1/4''-NPT ";"44,43 ";"L ";"5860 "
"315 ";"12 ";"3/8'' NPT ";"32 ";"17,0 ";"28,0 ";"15,3 ";"17 ";"22 ";"LE-L-12-3/8''-NPT ";"42,57 ";"L ";"5861 "
"315 ";"12 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"22 ";"LE-L-12-1/2''-NPT ";"45,97 ";"L ";"5862 "
"315 ";"15 ";"3/8'' NPT ";"36 ";"21,0 ";"32,0 ";"15,3 ";"19 ";"27 ";"LE-L-15-3/8''-NPT ";"";"L ";"5863 "
"315 ";"15 ";"1/2'' NPT ";"36 ";"21,0 ";"34,0 ";"20,0 ";"19 ";"27 ";"LE-L-15-1/2''-NPT ";"58,54 ";"L ";"5864 "
"315 ";"18 ";"1/2'' NPT ";"40 ";"23,5 ";"36,0 ";"20,0 ";"24 ";"32 ";"LE-L-18-1/2''-NPT ";"94,59 ";"L ";"5865 "
"160 ";"22 ";"3/4'' NPT ";"44 ";"27,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"LE-L-22-3/4''-NPT ";"99,7 ";"L ";"5866 "
"160 ";"28 ";"1'' NPT ";"47 ";"30,5 ";"48,0 ";"25,0 ";"36 ";"41 ";"LE-L-28-1''-NPT ";"163,62 ";"L ";"5867 "
"160 ";"35 ";"1 1/4'' NPT ";"56 ";"34,5 ";"54,0 ";"25,5 ";"41 ";"50 ";"LE-L-35-1 1/4''-NPT ";"310,87 ";"L ";"5868 "
"160 ";"42 ";"1 1/2'' NPT ";"63 ";"40,0 ";"61,0 ";"26,0 ";"50 ";"60 ";"LE-L-42-1 1/2''-NPT ";"319,31 ";"L ";"5869 "
"100 ";"4 ";"1/8'' NPT ";"21 ";"11,0 ";"17,0 ";"10,0 ";"9 ";"10 ";"LE-LL-04-1/8''-NPT ";"";"LL ";"5851 "
"100 ";"6 ";"1/8'' NPT ";"21 ";"9,5 ";"17,0 ";"10,0 ";"9 ";"14 ";"LE-LL-06-1/8''-NPT ";"";"LL ";"5852 "
"100 ";"8 ";"1/8'' NPT ";"23 ";"11,5 ";"20,0 ";"10,0 ";"12 ";"17 ";"LE-LL-08-1/8''-NPT ";"";"LL ";"5853 "
"630 ";"6 ";"1/4'' NPT ";"31 ";"16,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"LE-S-06-1/4''-NPT ";"32,88 ";"S ";"5870 "
"630 ";"8 ";"1/4'' NPT ";"32 ";"17,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"LE-S-08-1/4''-NPT ";"33,59 ";"S ";"5871 "
"630 ";"10 ";"1/4'' NPT ";"34 ";"17,5 ";"28,0 ";"15,0 ";"17 ";"22 ";"LE-S-10-1/4''-NPT ";"";"S ";"5872 "
"630 ";"10 ";"3/8'' NPT ";"34 ";"17,5 ";"28,0 ";"15,3 ";"17 ";"22 ";"LE-S-10-3/8''-NPT ";"40,98 ";"S ";"5873 "
"630 ";"10 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"22 ";"LE-S-10-1/2''-NPT ";"";"S ";"5874 "
"630 ";"12 ";"1/4'' NPT ";"";"";"";"15,0 ";"17 ";"24 ";"LE-S-12-1/4''-NPT ";"";"S ";"5875 "
"630 ";"12 ";"3/8'' NPT ";"38 ";"21,5 ";"28,0 ";"15,3 ";"17 ";"24 ";"LE-S-12-3/8''-NPT ";"47,93 ";"S ";"5876 "
"630 ";"12 ";"1/2'' NPT ";"38 ";"21,5 ";"32,5 ";"20,0 ";"17 ";"24 ";"LE-S-12-1/2''-NPT ";"58,8 ";"S ";"5877 "
"630 ";"14 ";"1/2'' NPT ";"40 ";"22,0 ";"34,0 ";"20,0 ";"19 ";"27 ";"LE-S-14-1/2''-NPT ";"58,8 ";"S ";"5878 "
"400 ";"16 ";"1/2'' NPT ";"43 ";"24,5 ";"36,0 ";"20,0 ";"24 ";"30 ";"LE-S-16-1/2''-NPT ";"92,03 ";"S ";"5879 "
"400 ";"20 ";"3/4'' NPT ";"48 ";"26,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"LE-S-20-3/4''-NPT ";"112,49 ";"S ";"5880 "
"400 ";"25 ";"1'' NPT ";"54 ";"30,0 ";"48,0 ";"25,0 ";"36 ";"46 ";"LE-S-25-1''-NPT ";"175,89 ";"S ";"5881 "
"400 ";"30 ";"1 1/4'' NPT ";"62 ";"35,5 ";"54,0 ";"25,5 ";"41 ";"50 ";"LE-S-30-1 1/4''-NPT ";"233,66 ";"S ";"5882 "
"315 ";"38 ";"1 1/2'' NPT ";"72 ";"41,0 ";"61,0 ";"26,0 ";"50 ";"60 ";"LE-S-38-1 1/2''-NPT ";"432,3 ";"S ";"5883 "
