"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"26,0 ";"12 ";"14 ";"EW-DKOL-06-SC ";"24,1 ";"L ";"8561 "
"500 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"27,5 ";"12 ";"17 ";"EW-DKOL-08-SC ";"24,65 ";"L ";"8562 "
"500 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"29,0 ";"14 ";"19 ";"EW-DKOL-10-SC ";"31,91 ";"L ";"8563 "
"400 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"29,5 ";"17 ";"22 ";"EW-DKOL-12-SC ";"35,02 ";"L ";"8564 "
"400 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"32,5 ";"19 ";"27 ";"EW-DKOL-15-SC ";"41,37 ";"L ";"8565 "
"400 ";"18 ";"M 26 x 1,5 ";"40 ";"23,5 ";"35,5 ";"24 ";"32 ";"EW-DKOL-18-SC ";"63 ";"L ";"8566 "
"250 ";"22 ";"M 30 x 2 ";"44 ";"27,5 ";"38,5 ";"27 ";"36 ";"EW-DKOL-22-SC ";"78,45 ";"L ";"8567 "
"250 ";"28 ";"M 36 x 2 ";"47 ";"30,5 ";"41,5 ";"36 ";"41 ";"EW-DKOL-28-SC ";"122,16 ";"L ";"8568 "
"250 ";"35 ";"M 45 x 2 ";"56 ";"34,5 ";"51,0 ";"41 ";"50 ";"EW-DKOL-35-SC ";"172,45 ";"L ";"8569 "
"250 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"56,0 ";"50 ";"60 ";"EW-DKOL-42-SC ";"254,86 ";"L ";"8570 "
"800 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"27,0 ";"12 ";"17 ";"EW-DKOS-06-SC ";"26,59 ";"S ";"8571 "
"800 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"27,5 ";"14 ";"19 ";"EW-DKOS-08-SC ";"29,76 ";"S ";"8572 "
"800 ";"10 ";"M 18 x 1,5 ";"34 ";"17,5 ";"30,0 ";"17 ";"22 ";"EW-DKOS-10-SC ";"35,94 ";"S ";"8573 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,5 ";"31,0 ";"17 ";"24 ";"EW-DKOS-12-SC ";"41,72 ";"S ";"8574 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"35,0 ";"19 ";"27 ";"EW-DKOS-14-SC ";"50,67 ";"S ";"8575 "
"630 ";"16 ";"M 24 x 1,5 ";"43 ";"24,5 ";"36,5 ";"24 ";"30 ";"EW-DKOS-16-SC ";"65,47 ";"S ";"8576 "
"420 ";"20 ";"M 30 x 2 ";"48 ";"26,5 ";"44,5 ";"27 ";"36 ";"EW-DKOS-20-SC ";"83,69 ";"S ";"8577 "
"420 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"50,0 ";"36 ";"46 ";"EW-DKOS-25-SC ";"135,94 ";"S ";"8578 "
"420 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"55,0 ";"41 ";"50 ";"EW-DKOS-30-SC ";"185,67 ";"S ";"8579 "
"420 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"63,0 ";"50 ";"60 ";"EW-DKOS-38-SC ";"268,96 ";"S ";"8580 "
