"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"G 1/4'' ";"42,0 ";"26,0 ";"17,0 ";"19 ";"17 ";"GAI-S-06-G 1/4''-SC ";"16,37 ";"S ";"12100 "
"630 ";"6 ";"G 3/8'' ";"";"";"17,0 ";"24 ";"17 ";"GAI-S-06-G 3/8''-SC ";"";"S ";"12101 "
"630 ";"6 ";"G 1/2'' ";"48,0 ";"31,0 ";"20,0 ";"27 ";"17 ";"GAI-S-06-G 1/2''-SC ";"";"S ";"12102 "
"630 ";"8 ";"G 1/4'' ";"43,0 ";"26,0 ";"17,0 ";"19 ";"19 ";"GAI-S-08-G 1/4''-SC ";"16,75 ";"S ";"12103 "
"630 ";"8 ";"G 3/8'' ";"44,0 ";"27,0 ";"17,0 ";"24 ";"19 ";"GAI-S-08-G 3/8''-SC ";"22,24 ";"S ";"12104 "
"630 ";"8 ";"G 1/2'' ";"48,0 ";"31,0 ";"20,0 ";"27 ";"19 ";"GAI-S-08-G 1/2''-SC ";"24,14 ";"S ";"12105 "
"630 ";"10 ";"G 3/8'' ";"45,0 ";"26,5 ";"17,0 ";"24 ";"22 ";"GAI-S-10-G 3/8''-SC ";"22,03 ";"S ";"12106 "
"630 ";"10 ";"G 1/2'' ";"49,5 ";"30,5 ";"20,0 ";"27 ";"22 ";"GAI-S-10-G 1/2''-SC ";"24,08 ";"S ";"12107 "
"630 ";"12 ";"G 1/4'' ";"46,0 ";"27,5 ";"17,0 ";"22 ";"24 ";"GAI-S-12-G 1/4''-SC ";"23,85 ";"S ";"12108 "
"630 ";"12 ";"G 3/8'' ";"45,0 ";"26,5 ";"17,0 ";"24 ";"24 ";"GAI-S-12-G 3/8''-SC ";"23,21 ";"S ";"12109 "
"630 ";"12 ";"G 1/2'' ";"50,0 ";"30,5 ";"20,0 ";"27 ";"24 ";"GAI-S-12-G 1/2''-SC ";"24,36 ";"S ";"12110 "
"630 ";"14 ";"G 3/8'' ";"50,0 ";"30,0 ";"17,0 ";"24 ";"27 ";"GAI-S-14-G 3/8''-SC ";"31,75 ";"S ";"12111 "
"630 ";"14 ";"G 1/2'' ";"52,0 ";"32,0 ";"20,0 ";"27 ";"27 ";"GAI-S-14-G 1/2''-SC ";"29,68 ";"S ";"12112 "
"400 ";"16 ";"G 3/8'' ";"48,0 ";"26,5 ";"17,5 ";"27 ";"30 ";"GAI-S-16-G 3/8''-SC ";"31,37 ";"S ";"12113 "
"400 ";"16 ";"G 1/2'' ";"53,0 ";"31,5 ";"20,0 ";"27 ";"30 ";"GAI-S-16-G 1/2''-SC ";"31,37 ";"S ";"12114 "
"400 ";"16 ";"G 3/4'' ";"55,0 ";"34,5 ";"22,0 ";"36 ";"30 ";"GAI-S-16-G 3/4''-SC ";"66,64 ";"S ";"12115 "
"400 ";"20 ";"G 1/2'' ";"57,0 ";"32,5 ";"20,0 ";"32 ";"36 ";"GAI-S-20-G 1/2''-SC ";"41,22 ";"S ";"12116 "
"400 ";"20 ";"G 3/4'' ";"60,0 ";"34,5 ";"22,0 ";"36 ";"36 ";"GAI-S-20-G 3/4''-SC ";"45,01 ";"S ";"12117 "
"400 ";"25 ";"G 3/4'' ";"60,0 ";"35,0 ";"22,0 ";"41 ";"46 ";"GAI-S-25-G 3/4''-SC ";"63,03 ";"S ";"12118 "
"400 ";"25 ";"G 1'' ";"66,5 ";"37,5 ";"24,5 ";"41 ";"46 ";"GAI-S-25-G 1''-SC ";"63,03 ";"S ";"12119 "
"400 ";"30 ";"G 1 1/4'' ";"72,5 ";"42,0 ";"26,5 ";"55 ";"50 ";"GAI-S-30-G 1 1/4''-SC ";"108,98 ";"S ";"12120 "
"315 ";"38 ";"G 1 1/2'' ";"79,5 ";"43,5 ";"28,5 ";"60 ";"60 ";"GAI-S-38-G 1 1/2''-SC ";"133,46 ";"S ";"12121 "
