"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"G 1/8'' ";"32,5 ";"19,0 ";"8 ";"14 ";"17 ";"EVGE-S-06-G 1/8''-wd-SC ";"15,11 ";"S ";"12058 "
"630 ";"6 ";"G 1/4'' ";"39,5 ";"20,5 ";"12 ";"19 ";"17 ";"EVGE-S-06-G 1/4''-wd-SC ";"15,11 ";"S ";"12059 "
"630 ";"8 ";"G 1/4'' ";"41,0 ";"20,5 ";"12 ";"19 ";"19 ";"EVGE-S-08-G 1/4''-wd-SC ";"15,63 ";"S ";"12060 "
"630 ";"8 ";"G 3/8'' ";"42,5 ";"20,5 ";"12 ";"22 ";"19 ";"EVGE-S-08-G 3/8''-wd-SC ";"18,34 ";"S ";"12061 "
"630 ";"10 ";"G 1/4'' ";"39,5 ";"20,5 ";"12 ";"19 ";"22 ";"EVGE-S-10-G 1/4''-wd-SC ";"17,48 ";"S ";"12062 "
"630 ";"10 ";"G 3/8'' ";"44,0 ";"21,0 ";"12 ";"22 ";"22 ";"EVGE-S-10-G 3/8''-wd-SC ";"18,71 ";"S ";"12063 "
"630 ";"10 ";"G 1/2'' ";"47,0 ";"21,0 ";"14 ";"27 ";"22 ";"EVGE-S-10-G 1/2''-wd-SC ";"22,44 ";"S ";"12064 "
"630 ";"12 ";"G 1/4'' ";"42,0 ";"21,5 ";"12 ";"19 ";"24 ";"EVGE-S-12-G 1/4''-wd-SC ";"18,48 ";"S ";"12065 "
"630 ";"12 ";"G 3/8'' ";"45,0 ";"22,0 ";"12 ";"22 ";"24 ";"EVGE-S-12-G 3/8''-wd-SC ";"19,81 ";"S ";"12066 "
"630 ";"12 ";"G 1/2'' ";"48,5 ";"22,5 ";"14 ";"27 ";"24 ";"EVGE-S-12-G 1/2''-wd-SC ";"24,23 ";"S ";"12067 "
"630 ";"14 ";"G 1/2'' ";"51,0 ";"24,5 ";"14 ";"27 ";"27 ";"EVGE-S-14-G 1/2''-wd-SC ";"26,84 ";"S ";"12068 "
"400 ";"16 ";"G 3/8'' ";"48,5 ";"26,0 ";"12 ";"22 ";"30 ";"EVGE-S-16-G 3/8''-wd-SC ";"37,3 ";"S ";"12069 "
"400 ";"16 ";"G 1/2'' ";"51,0 ";"26,0 ";"14 ";"27 ";"30 ";"EVGE-S-16-G 1/2''-wd-SC ";"36,02 ";"S ";"12070 "
"400 ";"16 ";"G 3/4'' ";"54,5 ";"26,0 ";"16 ";"32 ";"30 ";"EVGE-S-16-G 3/4''-wd-SC ";"40,29 ";"S ";"12071 "
"400 ";"20 ";"G 1/2'' ";"56,5 ";"29,5 ";"14 ";"27 ";"36 ";"EVGE-S-20-G 1/2''-wd-SC ";"39,62 ";"S ";"12072 "
"400 ";"20 ";"G 3/4'' ";"59,0 ";"29,0 ";"16 ";"32 ";"36 ";"EVGE-S-20-G 3/4''-wd-SC ";"46,54 ";"S ";"12073 "
"400 ";"25 ";"G 3/4'' ";"63,0 ";"33,0 ";"16 ";"32 ";"46 ";"EVGE-S-25-G 3/4''-wd-SC ";"72,03 ";"S ";"12074 "
"400 ";"25 ";"G 1'' ";"66,0 ";"33,0 ";"18 ";"41 ";"46 ";"EVGE-S-25-G 1''-wd-SC ";"72,03 ";"S ";"12075 "
"400 ";"30 ";"G 1 1/4'' ";"71,0 ";"34,0 ";"20 ";"50 ";"50 ";"EVGE-S-30-G 1 1/4''-wd-SC ";"88,35 ";"S ";"12076 "
"315 ";"38 ";"G 1 1/2'' ";"83,5 ";"40,0 ";"22 ";"55 ";"60 ";"EVGE-S-38-G 1 1/2''-wd-SC ";"122,73 ";"S ";"12077 "
