"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"17 ";"18 ";"14 ";"WHV-L-06-G 1/8'' ";"76,69 ";"L ";"6644 "
"400 ";"8 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"17 ";"WHV-L-08-G 1/4'' ";"81,81 ";"L ";"6645 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"19 ";"WHV-L-10-G 1/4'' ";"89,48 ";"L ";"6646 "
"350 ";"10 ";"G 3/8'' ";"17,5 ";"35 ";"24 ";"27 ";"19 ";"WHV-L-10-G 3/8'' ";"117,4 ";"L ";"6647 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"22 ";"WHV-L-12-G 1/4'' ";"117,4 ";"L ";"6648 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"24 ";"27 ";"22 ";"WHV-L-12-G 3/8'' ";"107,37 ";"L ";"6649 "
"315 ";"12 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"22 ";"WHV-L-12-G 1/2'' ";"130,38 ";"L ";"6650 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"27 ";"WHV-L-15-G 1/2'' ";"130,38 ";"L ";"6651 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"30 ";"32 ";"32 ";"WHV-L-18-G 1/2'' ";"166,17 ";"L ";"6652 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"36 ";"40 ";"36 ";"WHV-L-22-G 3/4'' ";"258,21 ";"L ";"6653 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"46 ";"50 ";"41 ";"WHV-L-28-G 1'' ";"383,47 ";"L ";"6654 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"55 ";"60 ";"50 ";"WHV-L-35-G 1 1/4'' ";"567,54 ";"L ";"6655 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"60 ";"70 ";"60 ";"WHV-L-42-G 1 1/2'' ";"802,74 ";"L ";"6656 "
"100 ";"4 ";"G 1/8'' ";"11,0 ";"24 ";"17 ";"18 ";"10 ";"WHV-LL-04-G 1/8'' ";"77,46 ";"LL ";"6641 "
"100 ";"6 ";"G 1/8'' ";"11,5 ";"24 ";"17 ";"18 ";"12 ";"WHV-LL-06-G 1/8'' ";"77,46 ";"LL ";"6642 "
"100 ";"8 ";"G 1/8'' ";"12,5 ";"24 ";"17 ";"18 ";"14 ";"WHV-LL-08-G 1/8'' ";"79,15 ";"LL ";"6643 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"17 ";"WHV-S-06-G 1/4'' ";"84,36 ";"S ";"6657 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"19 ";"WHV-S-08-G 1/4'' ";"92,03 ";"S ";"6658 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"22 ";"WHV-S-10-G 1/4'' ";"115,9 ";"S ";"6659 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"22 ";"WHV-S-10-G 3/8'' ";"104,82 ";"S ";"6660 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"24 ";"WHV-S-12-G 3/8'' ";"117,6 ";"S ";"6661 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30 ";"32 ";"27 ";"WHV-S-14-G 1/2'' ";"138,05 ";"S ";"6662 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30 ";"32 ";"30 ";"WHV-S-16-G 1/2'' ";"171,29 ";"S ";"6663 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"36 ";"40 ";"36 ";"WHV-S-20-G 3/4'' ";"260,76 ";"S ";"6664 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"46 ";"50 ";"46 ";"WHV-S-25-G 1'' ";"411,6 ";"S ";"6665 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"55 ";"60 ";"50 ";"WHV-S-30-G 1 1/4'' ";"608,45 ";"S ";"6666 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"60 ";"70 ";"60 ";"WHV-S-38-G 1 1/2'' ";"856,43 ";"S ";"6667 "
