"Gewicht  Weight  kg";"    DN";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"0,35 ";"5 ";"100 ";"G 1/8'' ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"9 ";"69 ";"36 ";"M 5 ";"22 ";"9 ";"RKH-G 1/8''-4445 ";"";"";"9997 "
"0,35 ";"6 ";"100 ";"G 1/4'' ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"69 ";"36 ";"M 5 ";"22 ";"9 ";"RKH-G 1/4''-4445 ";"";"";"9998 "
"0,5 ";"10 ";"100 ";"G 3/8'' ";"42 ";"49,5 ";"38 ";"8,0 ";"16,5 ";"12 ";"73 ";"43 ";"M 5 ";"27 ";"9 ";"RKH-G 3/8''-4445 ";"";"";"9999 "
"0,65 ";"13 ";"100 ";"G 1/2'' ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"14 ";"85 ";"48 ";"M 5 ";"30 ";"9 ";"RKH-G 1/2''-4445 ";"";"";"10000 "
"0,75 ";"16 ";"100 ";"G 5/8'' ";"50 ";"62,0 ";"46 ";"12,0 ";"19,0 ";"14 ";"84 ";"48 ";"M 6 ";"32 ";"12 ";"RKH-G 5/8''-4445 ";"";"";"10001 "
"1,5 ";"20 ";"100 ";"G 3/4'' ";"60 ";"73,0 ";"57 ";"12,0 ";"24,5 ";"17 ";"96 ";"62 ";"M 6 ";"41 ";"14 ";"RKH-G 3/4''-4445 ";"";"";"10002 "
"1,8 ";"24 ";"100 ";"G 1'' ";"65 ";"79,0 ";"63 ";"12,0 ";"28,0 ";"19 ";"113 ";"66 ";"M 6 ";"46 ";"14 ";"RKH-G 1''-4445 ";"";"";"10003 "
"3,8 ";"32 ";"100 ";"G 1 1/4'' ";"90 ";"104,0 ";"84 ";"13,5 ";"38,0 ";"20 ";"110 ";"81 ";"M 8 ";"60 ";"17 ";"RKH-G 1 1/4''-4445 ";"";"";"10004 "
"6,1 ";"38 ";"100 ";"G 1 1/2'' ";"100 ";"112,0 ";"93 ";"13,5 ";"42,5 ";"22 ";"120 ";"86 ";"M 8 ";"70 ";"17 ";"RKH-G 1 1/2''-4445 ";"";"";"10005 "
"9,1 ";"48 ";"100 ";"G 2'' ";"120 ";"131,0 ";"111 ";"13,5 ";"50,0 ";"28 ";"140 ";"101 ";"M 8 ";"85 ";"17 ";"RKH-G 2''-4445 ";"";"";"10006 "
