"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"31 ";"1 1/4'' ";"59,0 ";"66,5 ";"P8-DN 31 ";"30,65 ";"";"65 "
"38 ";"1 1/2'' ";"67,0 ";"67,0 ";"P8-DN 38 ";"39,8 ";"";"66 "
"51 ";"2'' ";"80,0 ";"75,0 ";"P8-DN 51 ";"53,8 ";"";"67 "
"60 ";"2 3/8'' ";"82,5 ";"72,0 ";"P8-DN 60 ";"105 ";"";"68 "
"63 ";"2 1/2'' ";"89,0 ";"69,0 ";"P8-DN 63 ";"219 ";"";"11508 "
"76 ";"3'' ";"103,0 ";"75,0 ";"P8-DN 76 ";"190 ";"";"69 "
