"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"ET-DKOL-06-G 1/8''-wd-SC ";"44,17 ";"L ";"8870 "
"500 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOL-08-G 1/4''-wd-SC ";"46,78 ";"L ";"8871 "
"500 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOL-10-G 1/4''-wd-SC ";"56,48 ";"L ";"8872 "
"400 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOL-12-G 3/8''-wd-SC ";"62,62 ";"L ";"8873 "
"400 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,5 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOL-15-G 1/2''-wd-SC ";"85,52 ";"L ";"8874 "
"400 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"ET-DKOL-18-G 1/2''-wd-SC ";"110,63 ";"L ";"8875 "
"250 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"65,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOL-22-G 3/4''-wd-SC ";"131,73 ";"L ";"8876 "
"250 ";"28 ";"G 1'' ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"ET-DKOL-28-G 1''-wd-SC ";"225,78 ";"L ";"8877 "
"250 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"68,5 ";"51,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOL-35-G 1 1/4''-wd-SC ";"322,76 ";"L ";"8878 "
"250 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOL-42-G 1 1/2''-wd-SC ";"433,71 ";"L ";"8879 "
"800 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"ET-DKOS-06-G 1/4''-wd-SC ";"48,38 ";"S ";"8880 "
"800 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOS-08-G 1/4''-wd-SC ";"50,99 ";"S ";"8881 "
"800 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOS-10-G 3/8''-wd-SC ";"63,6 ";"S ";"8882 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"ET-DKOS-12-G 3/8''-wd-SC ";"69,43 ";"S ";"8883 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOS-14-G 1/2''-wd-SC ";"90,48 ";"S ";"8884 "
"630 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"ET-DKOS-16-G 1/2''-wd-SC ";"114,05 ";"S ";"8885 "
"420 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOS-20-G 3/4''-wd-SC ";"144,93 ";"S ";"8886 "
"420 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"ET-DKOS-25-G 1''-wd-SC ";"231,28 ";"S ";"8887 "
"420 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOS-30-G 1 1/4''-wd-SC ";"297,03 ";"S ";"8888 "
"420 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOS-38-G 1 1/2''-wd-SC ";"440,98 ";"S ";"8889 "
