"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"R 1/8'' keg ";"12,0 ";"20,0 ";"19,0 ";"8 ";"12 ";"TE-L-06-R 1/8''-k-OMD ";"19,31 ";"L ";"5469 "
"315 ";"6 ";"R 1/4'' keg ";"14,0 ";"26,0 ";"21,0 ";"12 ";"12 ";"TE-L-06-R 1/4''-k-OMD ";"23,71 ";"L ";"5470 "
"315 ";"8 ";"R 1/8'' keg ";"14,0 ";"26,0 ";"21,0 ";"12 ";"12 ";"TE-L-08-R 1/8''-k-OMD ";"30,52 ";"L ";"11901 "
"315 ";"8 ";"R 1/4'' keg ";"14,0 ";"26,0 ";"21,0 ";"12 ";"12 ";"TE-L-08-R 1/4''-k-OMD ";"22,73 ";"L ";"5471 "
"315 ";"8 ";"R 3/8'' keg ";"15,0 ";"28,0 ";"22,0 ";"12 ";"14 ";"TE-L-08-R 3/8''-k-OMD ";"25,54 ";"L ";"5472 "
"315 ";"10 ";"R 1/8'' keg ";"15,0 ";"27,0 ";"22,0 ";"8 ";"14 ";"TE-L-10-R 1/8''-k-OMD ";"28,95 ";"L ";"5473 "
"315 ";"10 ";"R 1/4'' keg ";"15,0 ";"27,0 ";"22,0 ";"12 ";"14 ";"TE-L-10-R 1/4''-k-OMD ";"24,35 ";"L ";"5474 "
"315 ";"10 ";"R 3/8'' keg ";"15,0 ";"27,0 ";"22,0 ";"12 ";"14 ";"TE-L-10-R 3/8''-k-OMD ";"27,54 ";"L ";"5475 "
"315 ";"10 ";"R 1/2'' keg ";"21,0 ";"33,0 ";"28,0 ";"14 ";"17 ";"TE-L-10-R 1/2''-k-OMD ";"28,74 ";"L ";"5476 "
"315 ";"12 ";"R 1/4'' keg ";"17,0 ";"28,0 ";"24,0 ";"12 ";"17 ";"TE-L-12-R 1/4''-k-OMD ";"26,99 ";"L ";"5477 "
"315 ";"12 ";"R 3/8'' keg ";"17,0 ";"28,0 ";"24,0 ";"12 ";"17 ";"TE-L-12-R 3/8''-k-OMD ";"26,99 ";"L ";"5478 "
"315 ";"12 ";"R 1/2'' keg ";"20,5 ";"32,5 ";"27,5 ";"14 ";"17 ";"TE-L-12-R 1/2''-k-OMD ";"32,1 ";"L ";"5479 "
"315 ";"15 ";"R 3/8'' keg ";"21,0 ";"32,0 ";"28,0 ";"12 ";"19 ";"TE-L-15-R 3/8''-k-OMD ";"39,53 ";"L ";"5480 "
"315 ";"15 ";"R 1/2'' keg ";"21,0 ";"34,0 ";"28,0 ";"14 ";"19 ";"TE-L-15-R 1/2''-k-OMD ";"37,25 ";"L ";"5481 "
"315 ";"18 ";"R 1/2'' keg ";"23,5 ";"36,0 ";"";"14 ";"24 ";"TE-L-18-R 1/2''-k-OMD ";"51,79 ";"L ";"5482 "
"100 ";"4 ";"R 1/8'' keg ";"11,0 ";"17,0 ";"15,0 ";"8 ";"9 ";"TE-LL-04-R 1/8''-k-OMD ";"23,12 ";"LL ";"5466 "
"100 ";"6 ";"R 1/8'' keg ";"9,5 ";"17,0 ";"15,0 ";"8 ";"9 ";"TE-LL-06-R 1/8''-k-OMD ";"23,16 ";"LL ";"5467 "
"100 ";"8 ";"R 1/8'' keg ";"11,5 ";"20,0 ";"17,0 ";"8 ";"12 ";"TE-LL-08-R 1/8''-k-OMD ";"23,93 ";"LL ";"5468 "
"630 ** ";"6 ";"R 1/4'' keg ";"16,0 ";"26,0 ";"23,0 ";"12 ";"12 ";"TE-S-06-R 1/4''-k-OMD ";"23,05 ";"S ";"5483 "
"630 ** ";"8 ";"R 1/4'' keg ";"17,0 ";"27,0 ";"24,0 ";"12 ";"14 ";"TE-S-08-R 1/4''-k-OMD ";"24,66 ";"S ";"5484 "
"630 ** ";"10 ";"R 3/8'' keg ";"17,5 ";"28,0 ";"25,0 ";"12 ";"17 ";"TE-S-10-R 3/8''-k-OMD ";"27,17 ";"S ";"5485 "
"630 ** ";"12 ";"R 3/8'' keg ";"21,05 ";"28,0 ";"29,0 ";"12 ";"17 ";"TE-S-12-R 3/8''-k-OMD ";"35,53 ";"S ";"5486 "
"630 ** ";"12 ";"R 1/2'' keg ";"21,5 ";"32,5 ";"29,0 ";"14 ";"17 ";"TE-S-12-R 1/2''-k-OMD ";"48,16 ";"S ";"5487 "
"630 ** ";"14 ";"R 1/2'' keg ";"22,0 ";"32,0 ";"30,0 ";"14 ";"19 ";"TE-S-14-R 1/2''-k-OMD ";"38,93 ";"S ";"5488 "
"400 ** ";"16 ";"R 1/2'' keg ";"24,5 ";"32,0 ";"33,0 ";"14 ";"24 ";"TE-S-16-R 1/2''-k-OMD ";"52,61 ";"S ";"5489 "
