"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 12 x 1,5 ";"6 ";"29,0 ";"33,0 ";"3,0 ";"14 ";"DKL-M 12x1,5-90∞-DN 05 ";"24,9 ";"L ";"264 "
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"29,0 ";"28,0 ";"4,0 ";"14 ";"DKL-M 12x1,5-90∞-DN 06 ";"22,9 ";"L ";"265 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"28,5 ";"27,0 ";"4,0 ";"17 ";"DKL-M 14x1,5-90∞-DN 06 ";"22,9 ";"L ";"266 "
"08 ";"5/16'' ";"M 14 x 1,5 ";"8 ";"35,5 ";"41,0 ";"5,5 ";"17 ";"DKL-M 14x1,5-90∞-DN 08 ";"29,95 ";"L ";"267 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"10 ";"30,5 ";"27,0 ";"4,0 ";"19 ";"DKL-M 16x1,5-90∞-DN 06 ";"26,9 ";"L ";"268 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"32,5 ";"35,0 ";"5,5 ";"19 ";"DKL-M 16x1,5-90∞-DN 08 ";"23,6 ";"L ";"269 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"35,0 ";"33,0 ";"7,0 ";"19 ";"DKL-M 16x1,5-90∞-DN 10 ";"23,6 ";"L ";"270 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"12 ";"34,0 ";"36,0 ";"5,5 ";"22 ";"DKL-M 18x1,5-90∞-DN 08 ";"23,6 ";"L ";"271 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"34,5 ";"35,0 ";"7,0 ";"22 ";"DKL-M 18x1,5-90∞-DN 10 ";"23,6 ";"L ";"272 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"15 ";"";"";"";"27 ";"DKL-M 22x1,5-90∞-DN 10 ";"";"L ";"273 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"44,0 ";"40,0 ";"9,5 ";"27 ";"DKL-M 22x1,5-90∞-DN 12 ";"26 ";"L ";"274 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"55,0 ";"49,0 ";"12,5 ";"32 ";"DKL-M 26x1,5-90∞-DN 16 ";"31,5 ";"L ";"275 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"61,0 ";"53,0 ";"14,5 ";"36 ";"DKL-M 30x2-90∞-DN 19 ";"43,5 ";"L ";"276 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"80,0 ";"67,5 ";"20,0 ";"41 ";"DKL-M 36x2-90∞-DN 25 ";"46,5 ";"L ";"277 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"87,0 ";"81,0 ";"25,0 ";"50 ";"DKL-M 45x2-90∞-DN 31 ";"105 ";"L ";"278 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"104,0 ";"100,0 ";"31,5 ";"60 ";"DKL-M 52x2-90∞-DN 38 ";"133,5 ";"L ";"279 "
"19 ";"3/4'' ";"M 30 x 1,5** ";"";"61,0 ";"53,0 ";"14,5 ";"36 ";"DKLL-M 30x1,5-90∞-DN 19 ";"48,3 ";"LL ";"280 "
"25 ";"1'' ";"M 38 x 1,5** ";"";"80,0 ";"67,5 ";"20,0 ";"46 ";"DKLL-M 38x1,5-90∞-DN 25 ";"62,75 ";"LL ";"281 "
"31 ";"1 1/4'' ";"M 45 x 1,5** ";"";"87,0 ";"81,0 ";"25,0 ";"55 ";"DKLL-M 45x1,5-90∞-DN 31 ";"116,2 ";"LL ";"282 "
"38 ";"1 1/2'' ";"M 52 x 1,5** ";"";"104,0 ";"100,0 ";"31,0 ";"60 ";"DKLL-M 52x1,5-90∞-DN 38 ";"150 ";"LL ";"283 "
"51 ";"2'' ";"M 65 x 2** ";"";"145,0 ";"127,0 ";"40,0 ";"75 ";"DKLL-M 65x2-90∞-DN 51 ";"285 ";"LL ";"284 "
"60 ";"2 3/8'' ";"M 78 x 2** ";"";"";"";"";"90 ";"DKLL-M 78x2-90∞-DN 60 ";"";"LL ";"285 "
"80 ";"3'' ";"M 100 x 2** ";"";"";"";"";"110 ";"DKLL-M 100x2-90∞-DN 80 ";"";"LL ";"286 "
