"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"38,5 ";"14,5 ";"36 ";"20 x 2,0 ";"I-DKOL-22-DN 19 ";"36,9 ";"";"1154 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"38,0 ";"20,0 ";"41 ";"25 x 2,0 ";"I-DKOL-28-DN 25 ";"54,5 ";"";"1155 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"42,0 ";"25,0 ";"50 ";"31 x 2,5 ";"I-DKOL-35-DN 31 ";"85,9 ";"";"1156 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"41,0 ";"31,5 ";"60 ";"38 x 2,5 ";"I-DKOL-42-DN 38 ";"141,5 ";"";"1157 "
