"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"7/16''-20 UNF ";"28,0 ";"13,0 ";"9,2 ";"17 ";"17 ";"8,92 x 1,83 ";"GE-S-06-7/16''-UNF ";"23,19 ";"S ";"4929 "
"630 ";"6 ";"9/16''-18 UNF ";"29,0 ";"13,0 ";"10,0 ";"19 ";"17 ";"11,90 x 1,98 ";"GE-S-06-9/16''-UNF ";"23,9 ";"S ";"4930 "
"630 ";"8 ";"7/16''-20 UNF ";"30,0 ";"15,0 ";"9,2 ";"17 ";"19 ";"8,92 x 1,83 ";"GE-S-08-7/16''-UNF ";"23,6 ";"S ";"4931 "
"630 ";"8 ";"1/2''-20 UNF ";"30,0 ";"15,0 ";"9,2 ";"17 ";"19 ";"10,52 x 1,83 ";"GE-S-08-1/2''-UNF ";"23,6 ";"S ";"4932 "
"630 ";"8 ";"9/16''-18 UNF ";"30,0 ";"13,0 ";"10,0 ";"19 ";"19 ";"11,90 x 1,98 ";"GE-S-08-9/16''-UNF ";"23,6 ";"S ";"4933 "
"630 ";"10 ";"7/16''-20 UNF ";"41,0 ";"13,5 ";"9,2 ";"19 ";"22 ";"8,92 x 1,83 ";"GE-S-10-7/16''-UNF ";"29,95 ";"S ";"12159 "
"630 ";"10 ";"9/16''-18 UNF ";"31,0 ";"15,5 ";"10,0 ";"19 ";"22 ";"11,90 x 1,98 ";"GE-S-10-9/16''-UNF ";"24,34 ";"S ";"4934 "
"630 ";"10 ";"3/4''-16 UNF ";"31,0 ";"15,0 ";"11,2 ";"24 ";"22 ";"16,36 x 2,20 ";"GE-S-10-3/4''-UNF ";"25,99 ";"S ";"4935 "
"630 ";"12 ";"9/16''-18 UNF ";"33,5 ";"14,5 ";"10,0 ";"22 ";"24 ";"11,90 x 1,98 ";"GE-S-12-9/16''-UNF ";"26,4 ";"S ";"4936 "
"630 ";"12 ";"3/4''-16 UNF ";"33,5 ";"17,5 ";"11,2 ";"24 ";"24 ";"16,36 x 2,20 ";"GE-S-12-3/4''-UNF ";"26,5 ";"S ";"4937 "
"630 ";"12 ";"7/8''-14 UNF ";"32,5 ";"14,8 ";"12,7 ";"27 ";"24 ";"19,18 x 2,46 ";"GE-S-12-7/8''-UNF ";"27,2 ";"S ";"4938 "
"630 ";"14 ";"9/16''-18 UNF ";"37,0 ";"19,0 ";"10,0 ";"24 ";"27 ";"11,90 x 1,98 ";"GE-S-14-9/16''-UNF ";"39,9 ";"S ";"4939 "
"630 ";"14 ";"3/4''-16 UNF ";"37,0 ";"19,0 ";"11,2 ";"24 ";"27 ";"16,36 x 2,20 ";"GE-S-14-3/4''-UNF ";"30,26 ";"S ";"4940 "
"400 ";"16 ";"9/16''-18 UNF ";"51,0 ";"19,5 ";"10,0 ";"27 ";"30 ";"11,90 x 1,98 ";"GE-S-16-9/16''-UNF ";"43,5 ";"S ";"12160 "
"400 ";"16 ";"3/4''-16 UNF ";"37,0 ";"18,5 ";"11,2 ";"27 ";"30 ";"16,36 x 2,20 ";"GE-S-16-3/4''-UNF ";"30,26 ";"S ";"4941 "
"400 ";"16 ";"7/8''-14 UNF ";"33,5 ";"15,5 ";"14,0 ";"30 ";"30 ";"19,18 x 2,46 ";"GE-S-16-7/8''-UNF ";"32,06 ";"S ";"4942 "
"400 ";"16 ";"1 1/16''-12 UN ";"37,0 ";"18,5 ";"15,0 ";"32 ";"30 ";"23,47 x 2,95 ";"GE-S-16-1 1/16''-UN ";"44,31 ";"S ";"4943 "
"400 ";"20 ";"3/4''-16 UNF ";"45,0 ";"20,5 ";"11,2 ";"32 ";"36 ";"16,36 x 2,20 ";"GE-S-20-3/4''-UNF ";"46,68 ";"S ";"4944 "
"400 ";"20 ";"7/8''-14 UNF ";"46,5 ";"20,5 ";"12,7 ";"32 ";"36 ";"19,18 x 2,46 ";"GE-S-20-7/8''-UNF ";"46,68 ";"S ";"4945 "
"400 ";"20 ";"1 1/16''-12 UN ";"45,0 ";"20,5 ";"15,0 ";"32 ";"36 ";"23,47 x 2,95 ";"GE-S-20-1 1/16''-UN ";"46,68 ";"S ";"4946 "
"400 ";"20 ";"1 5/16''-12 UN ";"45,0 ";"22,5 ";"15,0 ";"41 ";"36 ";"29,74 x 2,95 ";"GE-S-20-1 5/16''-UN ";"72,15 ";"S ";"4947 "
"400 ";"25 ";"1 1/16''-12 UN ";"47,0 ";"23,0 ";"15,0 ";"41 ";"46 ";"23,47 x 2,95 ";"GE-S-25-1 1/16''-UN ";"72,57 ";"S ";"4948 "
"400 ";"25 ";"1 5/16''-12 UN ";"47,0 ";"23,0 ";"15,0 ";"41 ";"46 ";"29,74 x 2,95 ";"GE-S-25-1 5/16''-UN ";"72,57 ";"S ";"4949 "
"400 ";"30 ";"1 1/16''-12 UN ";"50,0 ";"23,5 ";"15,0 ";"46 ";"50 ";"23,47 x 2,95 ";"GE-S-30-1 1/16''-UN ";"174,88 ";"S ";"4950 "
"400 ";"30 ";"1 5/16''-12 UN ";"50,0 ";"23,5 ";"15,0 ";"46 ";"50 ";"29,74 x 2,95 ";"GE-S-30-1 5/16''-UN ";"151,44 ";"S ";"4951 "
"400 ";"30 ";"1 5/8''-12 UN ";"50,0 ";"23,5 ";"15,0 ";"50 ";"50 ";"37,46 x 3,00 ";"GE-S-30-1 5/8''-UN ";"151,44 ";"S ";"4952 "
"315 ";"38 ";"1 5/16''-12 UN ";"57,0 ";"26,0 ";"15,0 ";"55 ";"60 ";"29,74 x 2,95 ";"GE-S-38-1 5/16''-UN ";"228,5 ";"S ";"11773 "
"315 ";"38 ";"1 5/8''-12 UN ";"57,0 ";"26,0 ";"15,0 ";"55 ";"60 ";"37,46 x 3,00 ";"GE-S-38-1 5/8''-UN ";"201,21 ";"S ";"4953 "
"315 ";"38 ";"1 7/8''-12 UN ";"57,0 ";"26,0 ";"15,0 ";"55 ";"60 ";"43,69 x 3,00 ";"GE-S-38-1 7/8''-UN ";"201,21 ";"S ";"11774 "
