"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"17 ";"18 ";"14 ";"WHV-L-06-G 1/8''-SC ";"77,01 ";"L ";"6668 "
"400 ";"8 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"17 ";"WHV-L-08-G 1/4''-SC ";"82,25 ";"L ";"6669 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"19 ";"WHV-L-10-G 1/4''-SC ";"89,92 ";"L ";"6670 "
"350 ";"10 ";"G 3/8'' ";"17,5 ";"35 ";"24 ";"27 ";"19 ";"WHV-L-10-G 3/8''-SC ";"117,96 ";"L ";"6671 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"22 ";"WHV-L-12-G 1/4''-SC ";"117,96 ";"L ";"6672 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"24 ";"27 ";"22 ";"WHV-L-12-G 3/8''-SC ";"107,93 ";"L ";"6673 "
"315 ";"12 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"22 ";"WHV-L-12-G 1/2''-SC ";"131,46 ";"L ";"6674 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"27 ";"WHV-L-15-G 1/2''-SC ";"131,46 ";"L ";"6675 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"30 ";"32 ";"32 ";"WHV-L-18-G 1/2''-SC ";"167,81 ";"L ";"6676 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"36 ";"40 ";"36 ";"WHV-L-22-G 3/4''-SC ";"259,97 ";"L ";"6677 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"46 ";"50 ";"41 ";"WHV-L-28-G 1''-SC ";"385,47 ";"L ";"6678 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"55 ";"60 ";"50 ";"WHV-L-35-G 1 1/4''-SC ";"571,26 ";"L ";"6679 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"60 ";"70 ";"60 ";"WHV-L-42-G 1 1/2''-SC ";"807,06 ";"L ";"6680 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"17 ";"WHV-S-06-G 1/4''-SC ";"84,8 ";"S ";"6681 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"19 ";"WHV-S-08-G 1/4''-SC ";"92,47 ";"S ";"6682 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"22 ";"WHV-S-10-G 1/4''-SC ";"116,46 ";"S ";"6683 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"22 ";"WHV-S-10-G 3/8''-SC ";"105,38 ";"S ";"6684 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"24 ";"WHV-S-12-G 3/8''-SC ";"118,44 ";"S ";"6685 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30 ";"32 ";"27 ";"WHV-S-14-G 1/2''-SC ";"139,61 ";"S ";"6686 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30 ";"32 ";"30 ";"WHV-S-16-G 1/2''-SC ";"172,85 ";"S ";"6687 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"36 ";"40 ";"36 ";"WHV-S-20-G 3/4''-SC ";"262,64 ";"S ";"6688 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"46 ";"50 ";"46 ";"WHV-S-25-G 1''-SC ";"414,6 ";"S ";"6689 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"55 ";"60 ";"50 ";"WHV-S-30-G 1 1/4''-SC ";"612,61 ";"S ";"6690 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"60 ";"70 ";"60 ";"WHV-S-38-G 1 1/2''-SC ";"862,07 ";"S ";"6691 "
