"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"20,0 ";"20,0 ";"8,6 ";"17 ";"1450520-02 ";"30,8 ";"";"1783 "
"400 ";"1/4''-19 ";"22,5 ";"22,5 ";"11,8 ";"19 ";"1450520-04 ";"30,8 ";"";"1784 "
"400 ";"3/8''-19 ";"26,2 ";"26,2 ";"15,2 ";"24 ";"1450520-06 ";"37,4 ";"";"1785 "
"400 ";"1/2''-14 ";"31,5 ";"31,5 ";"19,0 ";"27 ";"1450520-08 ";"51,7 ";"";"1786 "
"400 ";"3/4''-14 ";"33,5 ";"33,5 ";"24,6 ";"36 ";"1450520-12 ";"65,2 ";"";"1787 "
"400 ";"1''-11 ";"43,0 ";"43,0 ";"30,7 ";"41 ";"1450520-16 ";"75,3 ";"";"1788 "
"200 ";"1 1/4''-11 ";"51,0 ";"51,0 ";"39,3 ";"50 ";"1450520-20 ";"178 ";"";"1789 "
"200 ";"1 1/2''-11 ";"53,0 ";"53,0 ";"45,2 ";"65 ";"1450520-24 ";"622 ";"";"1790 "
"100 ";"2''-11 ";"63,0 ";"63,0 ";"56,9 ";"70 ";"1450520-32 ";"649 ";"";"1791 "
