"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"M 12 x 1,5 = 06-L ";"6 ";"17 ";"GM-12x1,5 ";"1,71 ";"";"8241 "
"M 14 x 1,5 = 08-L + 06-S ";"6 ";"19 ";"GM-14x1,5 ";"1,99 ";"";"8242 "
"M 16 x 1,5 = 10-L + 08-S ";"6 ";"22 ";"GM-16x1,5 ";"2,66 ";"";"8243 "
"M 18 x 1,5 = 12-L + 10-S ";"6 ";"24 ";"GM-18x1,5 ";"2,74 ";"";"8244 "
"M 20 x 1,5 = 12-S ";"6 ";"27 ";"GM-20x1,5 ";"3,3 ";"";"8245 "
"M 22 x 1,5 = 15-L + 14-S ";"7 ";"30 ";"GM-22x1,5 ";"4,53 ";"";"8246 "
"M 24 x 1,5 = 16-S ";"7 ";"32 ";"GM-24x1,5 ";"6,42 ";"";"8247 "
"M 26 x 1,5 = 18-L ";"8 ";"36 ";"GM-26x1,5 ";"10,15 ";"";"8248 "
"M 30 x 2 = 22-L + 20-S ";"8 ";"41 ";"GM-30x2 ";"12,63 ";"";"8249 "
"M 36 x 2 = 28-L + 25-S ";"9 ";"46 ";"GM-36x2 ";"18,33 ";"";"8250 "
"M 42 x 2 = 30-S ";"9 ";"50 ";"GM-42x2 ";"20,86 ";"";"8251 "
"M 45 x 2 = 35-L ";"9 ";"55 ";"GM-45x2 ";"25,39 ";"";"8252 "
"M 52 x 2 = 42-L + 38-S ";"10 ";"65 ";"GM-52x2 ";"31,55 ";"";"8253 "
