"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G = UN";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"1 1/16''-12 ";"48,5 ";"14,5 ";"30 ";"I-AGJ-1 1/16''-DN 19 ";"33,1 ";"";"1239 "
"25 ";"1'' ";"1 5/16''-12 ";"48,0 ";"20,0 ";"36 ";"I-AGJ-1 5/16''-DN 25 ";"57 ";"";"1240 "
"31 ";"1 1/4'' ";"1 5/8''-12 ";"48,0 ";"25,0 ";"46 ";"I-AGJ-1 5/8''-DN 31 ";"80 ";"";"1241 "
"38 ";"1 1/2'' ";"1 7/8''-12 ";"57,0 ";"31,5 ";"50 ";"I-AGJ-1 7/8''-DN 38 ";"111 ";"";"1242 "
"51 ";"2'' ";"2 1/2''-12 ";"60,0 ";"42,0 ";"65 ";"I-AGJ-2 1/2''-DN 51 ";"164 ";"";"1243 "
