"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = UNF/UN";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"7/16''-20 ";"23 ";"26 ";"14 ";"11 ";"9,17 x 1,83 ";"1252533-04-04 ";"34,2 ";"";"2350 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/2''-20 ";"24 ";"29 ";"17 ";"14 ";"10,52 x 1,83 ";"1252533-05-05 ";"34,9 ";"";"2351 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"9/16''-18 ";"27 ";"32 ";"17 ";"14 ";"11,89 x 1,98 ";"1252533-06-06 ";"38,9 ";"";"2352 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"3/4''-16 ";"32 ";"37 ";"22 ";"19 ";"16,36 x 2,21 ";"1252533-08-08 ";"49,9 ";"";"2353 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 ";"7/8''-14 ";"37 ";"43 ";"27 ";"22 ";"19,18 x 2,46 ";"1252533-10-10 ";"56,8 ";"";"2354 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 ";"1 1/16''-12 ";"42 ";"49 ";"32 ";"27 ";"23,74 x 2,95 ";"1252533-12-12 ";"72,7 ";"";"2355 "
"280 ";"25 ";"1'' ";"1 5/16''-12 ";"1 5/16''-12 ";"46 ";"52 ";"41 ";"33 ";"29,74 x 2,95 ";"1252533-16-16 ";"99,9 ";"";"2356 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 5/8''-12 ";"52 ";"57 ";"50 ";"41 ";"37,47 x 3,00 ";"1252533-20-20 ";"193,7 ";"";"2357 "
"140 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 7/8''-12 ";"59 ";"61 ";"55 ";"50 ";"43,69 x 3,00 ";"1252533-24-24 ";"317,5 ";"";"2358 "
