"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"27 ";"12,0 ";"12 ";"14 ";"WV-L-06 ";"15,67 ";"L ";"2897 "
"500 ";"8 ";"29 ";"14,0 ";"12 ";"17 ";"WV-L-08 ";"16,44 ";"L ";"2898 "
"500 ";"10 ";"30 ";"15,0 ";"14 ";"19 ";"WV-L-10 ";"19,17 ";"L ";"2899 "
"400 ";"12 ";"32 ";"17,0 ";"17 ";"22 ";"WV-L-12 ";"21,99 ";"L ";"2900 "
"400 ";"15 ";"36 ";"21,0 ";"19 ";"27 ";"WV-L-15 ";"28,94 ";"L ";"2901 "
"400 ";"18 ";"40 ";"23,5 ";"24 ";"32 ";"WV-L-18 ";"41,47 ";"L ";"2902 "
"250 ";"22 ";"44 ";"27,5 ";"27 ";"36 ";"WV-L-22 ";"52,54 ";"L ";"2903 "
"250 ";"28 ";"47 ";"30,5 ";"36 ";"41 ";"WV-L-28 ";"97,15 ";"L ";"2904 "
"250 ";"35 ";"56 ";"34,5 ";"41 ";"50 ";"WV-L-35 ";"150,83 ";"L ";"2905 "
"250 ";"42 ";"63 ";"40,0 ";"50 ";"60 ";"WV-L-42 ";"237,75 ";"L ";"2906 "
"100 ";"4 ";"21 ";"11,0 ";"9 ";"10 ";"WV-LL-04 ";"19,17 ";"LL ";"2894 "
"100 ";"6 ";"21 ";"9,5 ";"9 ";"12 ";"WV-LL-06 ";"19,43 ";"LL ";"2895 "
"100 ";"8 ";"23 ";"11,5 ";"12 ";"14 ";"WV-LL-08 ";"20,84 ";"LL ";"2896 "
"800 ";"6 ";"31 ";"16,0 ";"12 ";"17 ";"WV-S-06 ";"17,13 ";"S ";"2907 "
"800 ";"8 ";"32 ";"17,0 ";"14 ";"19 ";"WV-S-08 ";"19,69 ";"S ";"2908 "
"800 ";"10 ";"34 ";"17,5 ";"17 ";"22 ";"WV-S-10 ";"23,32 ";"S ";"2909 "
"630 ";"12 ";"38 ";"21,5 ";"17 ";"24 ";"WV-S-12 ";"26,51 ";"S ";"2910 "
"630 ";"14 ";"40 ";"22,0 ";"19 ";"27 ";"WV-S-14 ";"31,91 ";"S ";"2911 "
"630 ";"16 ";"43 ";"24,5 ";"24 ";"30 ";"WV-S-16 ";"41,88 ";"S ";"2912 "
"420 ";"20 ";"48 ";"26,5 ";"27 ";"36 ";"WV-S-20 ";"55,99 ";"S ";"2913 "
"420 ";"25 ";"54 ";"30,0 ";"36 ";"46 ";"WV-S-25 ";"107,37 ";"S ";"2914 "
"420 ";"30 ";"62 ";"35,5 ";"41 ";"50 ";"WV-S-30 ";"150,32 ";"S ";"2915 "
"420 ";"38 ";"72 ";"41,0 ";"50 ";"60 ";"WV-S-38 ";"230,08 ";"S ";"2916 "
