"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EL-DKOL-06-G 1/8''-wd-OMD ";"38,91 ";"L ";"9070 "
"500 ";"8 ";"G 1/4'' ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"19 ";"12 ";"17 ";"EL-DKOL-08-G 1/4''-wd-OMD ";"40,3 ";"L ";"9071 "
"500 ";"10 ";"G 1/4'' ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EL-DKOL-10-G 1/4''-wd-OMD ";"49,87 ";"L ";"9072 "
"400 ";"12 ";"G 3/8'' ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EL-DKOL-12-G 3/8''-wd-OMD ";"53,72 ";"L ";"9073 "
"400 ";"15 ";"G 1/2'' ";"21,0 ";"46,5 ";"32,5 ";"28,0 ";"14 ";"27 ";"19 ";"27 ";"EL-DKOL-15-G 1/2''-wd-OMD ";"73,08 ";"L ";"9074 "
"400 ";"18 ";"G 1/2'' ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EL-DKOL-18-G 1/2''-wd-OMD ";"90,11 ";"L ";"9075 "
"250 ";"22 ";"G 3/4'' ";"27,5 ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EL-DKOL-22-G 3/4''-wd-OMD ";"115,26 ";"L ";"9076 "
"250 ";"28 ";"G 1'' ";"30,5 ";"59,0 ";"41,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EL-DKOL-28-G 1''-wd-OMD ";"192,08 ";"L ";"9077 "
"250 ";"35 ";"G 1 1/4'' ";"34,5 ";"68,5 ";"51,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EL-DKOL-35-G 1 1/4''-wd-OMD ";"285,88 ";"L ";"9078 "
"250 ";"42 ";"G 1 1/2'' ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EL-DKOL-42-G 1 1/2''-wd-OMD ";"400,89 ";"L ";"9079 "
"800 ";"6 ";"G 1/4'' ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"19 ";"12 ";"17 ";"EL-DKOS-06-G 1/4''-wd-OMD ";"41,92 ";"S ";"9080 "
"800 ";"8 ";"G 1/4'' ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EL-DKOS-08-G 1/4''-wd-OMD ";"43,71 ";"S ";"9081 "
"800 ";"10 ";"G 3/8'' ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"EL-DKOS-10-G 3/8''-wd-OMD ";"54,55 ";"S ";"9082 "
"630 ";"12 ";"G 3/8'' ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"22 ";"17 ";"24 ";"EL-DKOS-12-G 3/8''-wd-OMD ";"59,36 ";"S ";"9083 "
"630 ";"14 ";"G 1/2'' ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"EL-DKOS-14-G 1/2''-wd-OMD ";"76,36 ";"S ";"9084 "
"630 ";"16 ";"G 1/2'' ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"EL-DKOS-16-G 1/2''-wd-OMD ";"94,51 ";"S ";"9085 "
"420 ";"20 ";"G 3/4'' ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"EL-DKOS-20-G 3/4''-wd-OMD ";"120,01 ";"S ";"9086 "
"420 ";"25 ";"G 1'' ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"EL-DKOS-25-G 1''-wd-OMD ";"198,26 ";"S ";"9087 "
"420 ";"30 ";"G 1 1/4'' ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"EL-DKOS-30-G 1 1/4''-wd-OMD ";"292,96 ";"S ";"9088 "
"420 ";"38 ";"G 1 1/2'' ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"EL-DKOS-38-G 1 1/2''-wd-OMD ";"399,65 ";"S ";"9089 "
